closeDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,0.2520,0.6902,39635,108572,48.6319,132.8911,32.3236,40.5499,157305,192.5398,817,165188,45778,0.2170,210966,202.1885,56.0318,258.2203,0.2186,0.0702,17010,152620,12568,193,20.8201,186.8054,15.3831,0.2362,157305,0.0187
17:00:30,0.2479,0.6944,70853,198485,46.4610,129.9836,30.8770,38.2739,285830,187.1840,1527,300324,87982,0.2266,388306,196.6758,57.6176,254.2934,0.2259,0.0706,32222,275560,24764,60,21.1015,180.4584,16.2174,0.0393,443135,0.0526
17:01:00,0.2453,0.6965,70109,199105,47.9214,135.8151,30.8443,39.2970,285866,194.9973,1466,300266,85594,0.2218,385860,204.8199,58.3861,263.2060,0.2224,0.0703,31576,277552,22714,263,21.5389,189.3261,15.4939,0.1794,729001,0.0866
17:01:30,0.2519,0.6878,64637,176501,49.8358,135.7700,31.6820,38.7789,256630,197.4077,1300,269784,76026,0.2198,345810,207.5262,58.4815,266.0077,0.2204,0.0698,27475,248358,21426,232,21.1346,191.0446,16.4815,0.1785,985631,0.1170
17:02:00,0.2498,0.6901,55437,153146,50.5351,139.4772,30.6167,39.3037,221918,202.1111,1098,233573,65570,0.2192,299143,212.7259,59.7177,272.4435,0.2198,0.0701,23363,215673,17900,289,21.2778,196.4235,16.3024,0.2632,1207549,0.1434
17:02:30,0.2519,0.6862,49310,134346,51.9600,141.1197,32.3005,40.3706,195782,205.6534,952,205985,58515,0.2212,264500,216.3708,61.4653,277.8361,0.2228,0.0685,19378,189709,16276,175,20.3550,199.2742,17.0966,0.1838,1403331,0.1666
17:03:00,0.2526,0.6858,48885,132715,52.5081,142.3981,33.0563,38.0693,193527,207.6470,932,203436,55991,0.2158,259427,218.2790,60.0762,278.3552,0.2161,0.0666,19332,187591,15845,56,20.7425,201.2779,17.0011,0.0601,1596858,0.1896
17:03:30,0.2542,0.6826,42083,113010,53.3371,142.8698,31.7440,41.2797,165549,209.2908,791,174074,47075,0.2129,221149,220.0683,59.5133,279.5815,0.2136,0.0686,16096,159277,14797,394,20.3489,201.3616,18.7067,0.4981,1762407,0.2092
17:04:00,0.2635,0.6718,41741,106396,55.7290,142.0507,33.6740,38.9906,158382,211.4579,749,166478,45530,0.2148,212008,222.2670,60.7877,283.0547,0.2159,0.0680,15503,153155,13323,22,20.6983,204.4793,17.7877,0.0294,1920789,0.2280
17:04:30,0.2491,0.6881,35692,98602,53.1131,146.7292,31.1600,40.7282,143306,213.2530,672,150861,41477,0.2156,192338,224.4955,61.7217,286.2173,0.2162,0.0695,14100,138508,12353,33,20.9821,206.1131,18.3824,0.0491,2064095,0.2451
17:05:00,0.2523,0.6857,30255,82230,54.5135,147.8957,31.4157,41.0794,119917,215.6781,556,126197,34286,0.2136,160483,226.9730,61.6655,288.6385,0.2156,0.0721,11953,115891,10306,165,21.4982,208.4371,18.5360,0.2968,2184012,0.2593
17:05:30,0.2581,0.6769,34578,90678,57.8227,151.6355,32.7743,41.5919,133952,224.0000,598,141168,37970,0.2120,179138,236.0669,63.4950,299.5619,0.2131,0.0656,12433,130345,10823,169,20.7910,217.9682,18.0987,0.2826,2317964,0.2752
17:06:00,0.2539,0.6821,28232,75850,56.0159,149.9012,34.2014,42.2668,111205,219.7727,506,117121,31008,0.2093,148129,231.4644,61.2806,292.7451,0.2104,0.0635,10398,106814,10307,66,20.5494,211.0949,20.3696,0.1304,2429169,0.2884
17:06:30,0.2558,0.6807,25464,67758,57.0942,151.9238,33.9790,38.5644,99537,223.1771,446,104632,28232,0.2125,132864,234.6009,63.3004,297.9013,0.2133,0.0627,9805,96143,8489,157,21.9843,215.5673,19.0336,0.3520,2528706,0.3002
17:07:00,0.2639,0.6683,23929,60598,61.0434,154.5867,35.2444,40.7252,90681,231.3291,392,95621,25085,0.2078,120706,243.9311,63.9923,307.9235,0.2099,0.0652,8105,87063,8558,53,20.6760,222.0995,21.8316,0.1352,2619387,0.3110
17:07:30,0.2607,0.6718,23045,59383,61.2899,157.9335,35.7819,42.8817,88399,235.1037,376,93228,23463,0.2011,116691,247.9468,62.4016,310.3484,0.2038,0.0666,7410,85093,8135,79,19.7074,226.3112,21.6356,0.2101,2707786,0.3215
17:08:00,0.2620,0.6715,20621,52846,59.7710,153.1768,33.0090,39.4350,78704,228.1275,345,82851,22090,0.2105,104941,240.1478,64.0290,304.1768,0.2096,0.0624,7762,76580,6271,30,22.4986,221.9710,18.1768,0.0870,2786490,0.3308
17:08:30,0.2594,0.6752,20021,52117,60.1231,156.5075,34.4828,43.3682,77189,231.7988,333,81362,21407,0.2083,102769,244.3303,64.2853,308.6156,0.2116,0.0662,6859,74227,7135,49,20.5976,222.9039,21.4264,0.1471,2863679,0.3400
17:09:00,0.2364,0.6980,18790,55477,55.7567,164.6202,33.0168,42.2078,79483,235.8546,337,83907,22150,0.2088,106057,248.9822,65.7270,314.7092,0.2110,0.0634,7058,76693,7214,148,20.9436,227.5757,21.4065,0.4392,2943162,0.3494
17:09:30,0.2412,0.6969,15054,43499,56.5940,163.5301,33.4050,39.8901,62420,234.6617,266,65867,17780,0.2126,83647,247.6203,66.8421,314.4624,0.2143,0.0599,5837,60635,5232,123,21.9436,227.9511,19.6692,0.4624,3005582,0.3568
17:10:00,0.2530,0.6791,19249,51661,62.0935,166.1125,33.5252,43.2522,76077,244.6206,311,80127,20506,0.2038,100633,257.6431,65.9357,323.5788,0.2055,0.0607,6581,73539,6588,285,21.1608,236.4598,21.1833,0.9164,3081659,0.3659
17:10:30,0.2693,0.6641,16177,39884,65.2298,160.8226,32.8006,43.2895,60061,242.1815,248,63222,16932,0.2112,80154,254.9274,68.2742,323.2016,0.2130,0.0610,5347,58665,4557,345,21.5605,236.5524,18.3750,1.3911,3141720,0.3730
17:11:00,0.2642,0.6702,16114,40876,64.4560,163.5040,35.8738,42.1224,60991,243.9640,250,64132,17015,0.2097,81147,256.5280,68.0600,324.5880,0.2107,0.0617,5500,58940,5192,36,22.0000,235.7600,20.7680,0.1440,3202711,0.3802
17:11:30,0.2566,0.6758,13233,34849,63.3158,166.7416,37.8649,41.4612,51568,246.7368,209,54232,13778,0.2026,68010,259.4833,65.9234,325.4067,0.2057,0.0612,4715,50011,4221,194,22.5598,239.2871,20.1962,0.9282,3254279,0.3864
17:12:00,0.2456,0.6911,12818,36066,59.3426,166.9722,32.8253,44.4858,52184,241.5926,216,55075,14773,0.2115,69848,254.9769,68.3935,323.3704,0.2147,0.0700,5069,51288,3787,213,23.4676,237.4444,17.5324,0.9861,3306463,0.3926
17:12:30,0.2462,0.6894,12050,33740,59.9502,167.8607,34.9297,41.4292,48938,243.4726,201,51553,13458,0.2070,65011,256.4826,66.9552,323.4378,0.2089,0.0624,4440,47484,4069,38,22.0896,236.2388,20.2438,0.1891,3355401,0.3984
17:13:00,0.2449,0.6924,12388,35027,59.5577,168.3990,30.4021,38.4008,50588,243.2115,208,53477,14778,0.2165,68255,257.1010,71.0481,328.1490,0.2176,0.0625,4737,49639,3838,85,22.7740,238.6490,18.4519,0.4087,3405989,0.4044
17:13:30,0.2658,0.6712,12345,31171,65.3175,164.9259,36.4081,36.6980,46444,245.7354,189,48968,13388,0.2147,62356,259.0899,70.8360,329.9259,0.2167,0.0620,4472,44735,4233,6,23.6614,236.6931,22.3968,0.0317,3452433,0.4099
17:14:00,0.2356,0.6999,10835,32192,58.8859,173.0753,31.9327,41.1043,45998,247.3011,186,48617,12292,0.2018,60909,261.3817,66.0860,327.4677,0.2032,0.0570,4457,43819,4798,129,23.9624,235.5860,25.7957,0.6935,3498431,0.4153
17:14:30,0.2342,0.6985,10122,30185,59.8935,178.6095,34.5793,37.0541,43215,255.7101,169,45612,12044,0.2089,57656,269.8935,71.2663,341.1598,0.2111,0.0638,4204,42067,3545,4,24.8757,248.9172,20.9763,0.0237,3541646,0.4205
17:15:00,0.2426,0.6958,10706,30707,60.4859,173.4859,35.2125,39.9165,44131,249.3277,177,46475,12764,0.2155,59239,262.5706,72.1130,334.6836,0.2178,0.0701,4534,42795,3680,60,25.6158,241.7797,20.7910,0.3390,3585777,0.4257
17:15:30,0.2535,0.6787,12482,33413,65.0104,174.0260,34.9155,40.6715,49231,256.4115,192,51802,13387,0.2054,65189,269.8021,69.7240,339.5260,0.2048,0.0578,4431,47110,4692,24,23.0781,245.3646,24.4375,0.1250,3635008,0.4316
17:16:00,0.2537,0.6775,10234,27328,66.8889,178.6144,33.0720,40.7004,40335,263.6275,153,42461,10556,0.1991,53017,277.5229,68.9935,346.5163,0.2006,0.0582,3468,39341,3120,120,22.6667,257.1307,20.3922,0.7843,3675343,0.4364
17:16:30,0.2683,0.6658,9711,24101,68.3873,169.7254,34.0379,39.9391,36201,254.9366,142,38214,9786,0.2039,48000,269.1127,68.9155,338.0282,0.2066,0.0567,3342,35087,3127,22,23.5352,247.0915,22.0211,0.1549,3711544,0.4407
17:17:00,0.2492,0.6871,8845,24391,63.6331,175.4748,33.5898,40.3396,35500,255.3957,139,37353,9918,0.2098,47271,268.7266,71.3525,340.0791,0.2126,0.0635,3181,34145,3208,48,22.8849,245.6475,23.0791,0.3453,3747044,0.4449
17:17:30,0.2570,0.6768,9889,26041,65.4901,172.4570,33.8217,42.8399,38475,254.8013,151,40536,10693,0.2087,51229,268.4503,70.8146,339.2649,0.2112,0.0625,3582,37006,3530,66,23.7219,245.0728,23.3775,0.4371,3785519,0.4494
17:18:00,0.2612,0.6758,7996,20687,66.6333,172.3917,36.4712,37.1403,30609,255.0750,120,32171,9017,0.2189,41188,268.0917,75.1417,343.2333,0.2205,0.0580,3233,29844,2327,4,26.9417,248.7000,19.3917,0.0333,3816128,0.4531
17:18:30,0.2605,0.6739,8029,20775,68.0424,176.0593,36.8606,41.6275,30827,261.2458,118,32370,8362,0.2053,40732,274.3220,70.8644,345.1864,0.2084,0.0611,2805,29857,2513,1,23.7712,253.0254,21.2966,0.0085,3846955,0.4567
17:19:00,0.2559,0.6768,10064,26611,66.6490,176.2318,33.3286,41.5537,39321,260.4040,151,41451,10406,0.2007,51857,274.5099,68.9139,343.4238,0.2029,0.0549,3595,37467,3984,14,23.8079,248.1258,26.3841,0.0927,3886276,0.4614
17:19:30,0.2539,0.6812,9066,24325,65.2230,175.0000,35.3985,39.1047,35710,256.9065,139,37668,9951,0.2090,47619,270.9928,71.5899,342.5827,0.2091,0.0611,3603,34462,3206,15,25.9209,247.9281,23.0647,0.1079,3921986,0.4656
17:20:00,0.2642,0.6734,9425,24023,69.8148,177.9481,35.8214,36.9956,35675,264.2593,135,37703,9836,0.2069,47539,279.2815,72.8593,352.1407,0.2076,0.0617,3514,34750,2953,22,26.0296,257.4074,21.8741,0.1630,3957661,0.4699
17:20:30,0.2470,0.6907,8165,22831,65.3200,181.1984,31.1984,38.0516,33053,262.3254,126,34868,9048,0.2060,43916,276.7302,71.8095,348.5397,0.2076,0.0567,3306,32241,2627,49,26.2381,255.8810,20.8492,0.3889,3990714,0.4738
17:21:00,0.2573,0.6813,7785,20616,66.5385,176.2051,36.2608,41.5031,30258,258.6154,117,31830,8460,0.2100,40290,272.0513,72.3077,344.3590,0.2107,0.0627,2758,29134,2696,27,23.5726,249.0085,23.0427,0.2308,4020972,0.4774
17:21:30,0.2515,0.6875,8181,22361,64.4173,176.0709,32.1704,40.4596,32527,256.1181,127,34278,8989,0.2078,43267,269.9055,70.7795,340.6850,0.2076,0.0547,3317,31612,2666,89,26.1181,248.9134,20.9921,0.7008,4053499,0.4812
17:22:00,0.2461,0.6901,6714,18831,65.1845,182.8252,32.7677,41.0109,27286,264.9126,103,28759,7557,0.2081,36316,279.2136,73.3689,352.5825,0.2091,0.0537,2466,26271,2488,12,23.9417,255.0583,24.1553,0.1165,4080785,0.4845
17:22:30,0.2586,0.6753,8812,23014,69.3858,181.2126,36.4826,40.9156,34081,268.3543,127,35961,9171,0.2032,45132,283.1575,72.2126,355.3701,0.2057,0.0508,3180,33425,2536,64,25.0394,263.1890,19.9685,0.5039,4114866,0.4885
17:23:00,0.2582,0.6837,7517,19906,67.7207,179.3333,37.7324,36.7343,29113,262.2793,111,30657,8091,0.2088,38748,276.1892,72.8919,349.0811,0.2091,0.0534,2943,28075,2582,3,26.5135,252.9279,23.2613,0.0270,4143979,0.4920
