emissionDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,0.3017,0.6350,124,261,62.0000,130.5000,26.0000,9.5000,411,205.5000,2,430,83,0.1618,513,215.0000,41.5000,256.5000,0.1658,0.0545,22,389,41,0,11.0000,194.5000,20.5000,0.0000,411,0.0000
17:00:30,0.2356,0.7139,1240,3758,44.2857,134.2143,21.5471,37.6330,5264,188.0000,28,5557,1602,0.2238,7159,198.4643,57.2143,255.6786,0.2210,0.0726,543,5131,426,0,19.3929,183.2500,15.2143,0.0000,5675,0.0007
17:01:00,0.2420,0.6936,2439,6989,47.8235,137.0392,27.7628,39.2363,10077,197.5882,51,10718,2827,0.2087,13545,210.1569,55.4314,265.5882,0.2134,0.0724,936,9927,791,22,18.3529,194.6471,15.5098,0.4314,15752,0.0019
17:01:30,0.2794,0.6588,6754,15927,57.7265,136.1282,33.0564,40.0776,24175,206.6239,117,25331,6850,0.2129,32181,216.5043,58.5470,275.0513,0.2118,0.0662,2126,23147,2184,32,18.1709,197.8376,18.6667,0.2735,39927,0.0047
17:02:00,0.2709,0.6696,20585,50886,53.8874,132.8616,33.3723,40.5418,76000,198.4334,383,79877,22980,0.2234,102857,208.5561,60.0000,268.5561,0.2242,0.0726,7635,73169,6708,139,19.9347,191.0418,17.5144,0.3629,115927,0.0138
17:02:30,0.2544,0.6867,37709,101795,50.0119,134.8278,32.0945,39.9187,148235,196.3377,755,155616,43323,0.2178,198939,206.1139,57.3815,263.4954,0.2187,0.0694,15457,143958,11658,210,20.4728,190.6728,15.4411,0.2781,264162,0.0314
17:03:00,0.2577,0.6823,49356,130669,50.4147,133.3357,32.2176,38.6583,191518,195.4265,980,201080,56028,0.2179,257108,205.1837,57.1714,262.3551,0.2183,0.0706,20418,185176,15904,157,20.8347,188.9551,16.2286,0.1602,455680,0.0541
17:03:30,0.2499,0.6901,53964,149023,49.1475,135.7222,31.4412,40.2352,215949,196.6749,1098,226994,63622,0.2189,290616,206.7341,57.9435,264.6776,0.2198,0.0684,22766,209145,17849,110,20.7341,190.4781,16.2559,0.1002,671629,0.0797
17:04:00,0.2479,0.6917,51616,144052,49.4880,137.8488,31.0924,38.2113,208249,199.2813,1045,218984,62183,0.2212,281167,209.5541,59.5053,269.0593,0.2222,0.0692,21757,202534,16450,141,20.8201,193.8124,15.7416,0.1349,879878,0.1045
17:04:30,0.2546,0.6845,51730,139089,50.9154,136.4956,31.4057,40.6338,203189,199.4004,1019,213711,61333,0.2230,275044,209.7262,60.1894,269.9156,0.2242,0.0708,21117,197622,16089,59,20.7233,193.9372,15.7890,0.0579,1083067,0.1286
