generationDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:30,"0,2130","0,7160",36,121,"36,0000","121,0000","0,0000","0,0000",169,"169,0000",1,183,47,"0,2043",230,"183,0000","47,0000","230,0000","0,2043",NaN,16,162,21,0,"16,0000","162,0000","21,0000","0,0000",169,"0,0000"
17:01:00,"0,2405","0,6848",164,467,"54,6667","155,6667","11,8977","3,3993",682,"227,3333",3,735,174,"0,1914",909,"245,0000","58,0000","303,0000","0,1906","0,0193",41,689,46,0,"13,6667","229,6667","15,3333","0,0000",851,"0,0001"
17:01:30,"0,2542","0,6906",1105,3002,"50,2273","136,4545","29,7183","36,2714",4347,"197,5909",22,4573,1286,"0,2195",5859,"207,8636","58,4545","266,3182","0,2237","0,0670",394,4190,383,22,"17,9091","190,4545","17,4091","1,0000",5198,"0,0006"
17:02:00,"0,2438","0,6959",2711,7740,"48,4107","138,2143","26,3647","39,4261",11122,"198,6071",56,11740,3146,"0,2113",14886,"209,6429","56,1786","265,8214","0,2115","0,0723",977,10957,783,27,"17,4464","195,6607","13,9821","0,4821",16320,"0,0019"
17:02:30,"0,2709","0,6674",6731,16582,"53,8480","132,6560","29,5638","41,4409",24845,"198,7600",125,26151,7694,"0,2273",33845,"209,2080","61,5520","270,7600","0,2286","0,0729",1840,24283,1868,5,"14,7200","194,2640","14,9440","0,0400",41165,"0,0049"
17:03:00,"0,2624","0,6739",18871,48460,"53,9171","138,0627","33,6471","42,9332",71906,"204,8604",351,75743,20819,"0,2156",96562,"215,7920","59,3134","275,1054","0,2176","0,0692",6133,69187,6556,18,"17,4729","197,1140","18,6781","0,0513",113071,"0,0134"
17:03:30,"0,2544","0,6842",29574,79544,"49,2900","132,5733","31,9273","38,9390",116261,"193,7683",600,121961,34535,"0,2207",156496,"203,2683","57,5583","260,8267","0,2217","0,0699",11577,112481,9480,164,"19,2950","187,4683","15,8000","0,2733",229332,"0,0272"
17:04:00,"0,2505","0,6906",42751,117882,"48,6359","133,8048","30,0263","39,6339",170694,"193,7503",881,179492,50808,"0,2206",230300,"203,7367","57,6708","261,4075","0,2210","0,0707",17949,165406,14086,158,"20,3734","187,7480","15,9886","0,1793",400026,"0,0475"
17:04:30,"0,2488","0,6904",45704,126794,"49,2500","136,6315","31,6769","39,7336",183662,"197,9116",928,193062,53817,"0,2180",246879,"208,0409","57,9925","266,0334","0,2189","0,0710",18833,178214,14848,106,"20,2942","192,0409","16,0000","0,1142",583688,"0,0693"
17:05:00,"0,2530","0,6875",52203,141830,"50,0988","135,9827","30,4283","38,9012",206301,"197,7958",1043,216892,61358,"0,2205",278250,"207,9501","58,8284","266,7785","0,2213","0,0691",22021,200656,16236,12,"21,1131","192,3835","15,5666","0,0115",789989,"0,0938"
17:05:30,"0,2602","0,6780",50398,131306,"52,0640","135,5067","33,8927","39,7853",193656,"199,8514",969,203519,57948,"0,2216",261467,"210,0299","59,8019","269,8318","0,2224","0,0694",19903,187564,15955,148,"20,5397","193,5645","16,4654","0,1527",983645,"0,1168"
17:06:00,"0,2491","0,6919",48199,133864,"50,3121","139,2966","30,6011","39,5627",193461,"201,3122",961,203494,57011,"0,2188",260505,"211,7523","59,3247","271,0770","0,2189","0,0680",20825,187813,15681,82,"21,6701","195,4350","16,3174","0,0853",1177106,"0,1398"
17:06:30,"0,2516","0,6858",43715,119148,"51,9181","141,1706","32,3423","38,7110",173733,"205,8448",844,182548,50039,"0,2151",232587,"216,2891","59,2879","275,5770","0,2154","0,0702",18037,168137,14411,273,"21,3709","199,2145","17,0746","0,3235",1350839,"0,1604"
17:07:00,"0,2515","0,6861",43976,119976,"52,4773","142,6587","32,7959","41,0564",174858,"207,9168",841,183648,50843,"0,2168",234491,"218,3686","60,4554","278,8240","0,2181","0,0694",17079,168623,15025,254,"20,3080","200,5030","17,8656","0,3020",1525697,"0,1811"
17:07:30,"0,2570","0,6815",42732,113315,"53,2154","141,1146","32,8466","40,0702",166276,"207,0685",803,174892,48446,"0,2169",223338,"217,7983","60,3313","278,1295","0,2176","0,0708",16485,161048,13844,296,"20,5293","200,5579","17,2403","0,3686",1691973,"0,2009"
17:08:00,"0,2451","0,6929",33166,93746,"51,5000","145,1176","32,2650","39,7970",135296,"209,4365",646,142315,38770,"0,2141",181085,"220,3019","60,0155","280,3173","0,2153","0,0665",14098,131116,11199,10,"21,8235","202,9659","17,3359","0,0155",1827269,"0,2169"
17:08:30,"0,2566","0,6806",37326,98985,"54,6501","144,9268","32,1220","41,6238",145447,"212,9531",683,152997,41289,"0,2125",194286,"224,0073","60,4524","284,4597","0,2132","0,0644",14556,140257,12740,181,"21,3119","205,3543","18,6530","0,2650",1972716,"0,2342"
17:09:00,"0,2512","0,6862",32745,89459,"53,5049","145,9364","31,8720","39,5656",130375,"212,6835",613,137454,37870,"0,2160",175324,"224,2316","61,7781","286,0098","0,2178","0,0681",13350,126293,11161,77,"21,7781","206,0245","18,2072","0,1256",2103091,"0,2497"
17:09:30,"0,2524","0,6842",31532,85475,"56,9170","153,7320","32,1485","39,4061",124933,"224,6996",556,131631,34720,"0,2087",166351,"236,7464","62,4460","299,1924","0,2109","0,0628",12019,121045,10586,242,"21,6169","217,7068","19,0396","0,4353",2228024,"0,2645"
17:10:00,"0,2519","0,6820",28385,76843,"54,1698","146,6469","34,8945","41,8614",112676,"215,0305",524,118700,33118,"0,2181",151818,"226,5267","63,2023","289,7290","0,2194","0,0674",10864,107449,11251,117,"20,7328","205,0553","21,4714","0,2233",2340700,"0,2779"
17:10:30,"0,2582","0,6776",26519,69595,"57,7756","151,6231","34,1771","40,3525",102712,"223,7734",459,108207,28964,"0,2112",137171,"235,7451","63,1024","298,8475","0,2136","0,0683",8909,99166,9041,79,"19,4096","216,0479","19,6972","0,1721",2443412,"0,2901"
17:11:00,"0,2532","0,6837",24222,65404,"55,9400","150,7005","34,9467","43,7363",95664,"220,4240",434,100708,27136,"0,2123",127844,"232,0461","62,5253","294,5714","0,2133","0,0704",9844,92593,8115,94,"22,6820","213,3479","18,6982","0,2166",2539076,"0,3015"
17:11:30,"0,2591","0,6757",22536,58771,"57,0532","148,4116","34,0071","40,1627",86974,"219,6313",396,91672,25401,"0,2170",117073,"231,4949","64,1439","295,6389","0,2190","0,0625",8581,84924,6748,28,"21,6692","214,4545","17,0404","0,0707",2626050,"0,3118"
17:12:00,"0,2608","0,6726",21788,56188,"59,6932","153,9397","34,0616","44,6963",83534,"228,8603",365,87930,23336,"0,2097",111266,"240,9041","63,9342","304,8384","0,2120","0,0697",7901,80952,6978,37,"21,6466","221,7863","19,1178","0,1014",2709584,"0,3217"
