onlyPresidentVotesRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,votersReleasedByCodeRatio,votersReleasedByCodeRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
1.0900 .. 1.0920,0.0798,0.8896,13,145,13.0000,145.0000,0.0000,0.0000,163,163.0000,1,217,97,0.3089,314,217.0000,97.0000,314.0000,0.0415,NaN,0.3089,NaN,9,195,22,0,9.0000,195.0000,22.0000,0.0000,163,0.0000
1.08 .. 1.09,0.1674,0.7811,39,182,19.5000,91.0000,1.5000,15.0000,233,116.5000,2,289,88,0.2334,377,144.5000,44.0000,188.5000,0.2188,0.0332,0.2146,0.1207,64,272,17,0,32.0000,136.0000,8.5000,0.0000,396,0.0000
1.0700 .. 1.0727,0.1636,0.7818,9,43,9.0000,43.0000,0.0000,0.0000,55,55.0000,1,61,9,0.1286,70,61.0000,9.0000,70.0000,0.1475,NaN,0.1286,NaN,9,43,18,0,9.0000,43.0000,18.0000,0.0000,451,0.0001
1.0600 .. 1.0600,0.0800,0.9000,4,45,4.0000,45.0000,0.0000,0.0000,50,50.0000,1,53,32,0.3765,85,53.0000,32.0000,85.0000,0.1132,NaN,0.3765,NaN,6,48,5,0,6.0000,48.0000,5.0000,0.0000,501,0.0001
1.0400 .. 1.0402,0.2212,0.7220,269,878,29.8889,97.5556,27.2985,36.4055,1216,135.1111,9,1336,455,0.2540,1791,148.4444,50.5556,199.0000,0.1251,0.0705,0.2541,0.0812,169,1196,140,0,18.7778,132.8889,15.5556,0.0000,1717,0.0002
1.04 .. 1.03,0.1791,0.7654,274,1171,21.0769,90.0769,13.2227,36.3920,1530,117.6923,13,1713,662,0.2787,2375,131.7692,50.9231,182.6923,0.1379,0.1246,0.2695,0.0766,257,1451,262,0,19.7692,111.6154,20.1538,0.0000,3247,0.0004
1.0200 .. 1.0201,0.2231,0.7240,3028,9827,38.3291,124.3924,23.0869,49.4653,13574,171.8228,79,14788,5053,0.2547,19841,187.1899,63.9620,251.1519,0.1447,0.0981,0.2515,0.0821,2024,13563,1225,0,25.6203,171.6835,15.5063,0.0000,16821,0.0020
1.02 .. 1.01,0.2319,0.7102,15198,46550,45.2321,138.5417,30.9978,45.9415,65543,195.0685,336,70067,19700,0.2195,89767,208.5327,58.6310,267.1637,0.1348,0.1018,0.2168,0.0644,8738,64373,5694,7,26.0060,191.5863,16.9464,0.0208,82364,0.0098
1.01 .. 1.00,0.2568,0.6747,42040,110449,61.2828,161.0044,37.0979,43.3113,163690,238.6152,686,173631,45793,0.2087,219424,253.1064,66.7536,319.8601,0.1160,0.0995,0.2103,0.0636,18470,160751,12880,4,26.9242,234.3309,18.7755,0.0058,246054,0.0292
1.00 .. 0.99,0.2484,0.6867,176299,487469,58.4934,161.4136,36.9378,48.1943,709870,235.0563,3020,748788,201213,0.2118,950001,247.9430,66.6268,314.5699,0.1170,0.0976,0.2136,0.0641,80651,689835,58953,52,26.7056,228.4222,19.5209,0.0172,955924,0.1135
0.99 .. 0.98,0.2437,0.6933,288975,822157,60.0655,170.7491,34.3228,46.6754,1185781,246.2681,4815,1249488,332151,0.2100,1581639,259.4991,68.9826,328.4816,0.1138,0.0910,0.2113,0.0607,131173,1150280,99208,99,27.2426,238.8951,20.6039,0.0206,2141705,0.2543
0.98 .. 0.97,0.2395,0.7004,381403,1115325,59.6408,174.2968,31.8936,45.5621,1592317,248.8384,6399,1677771,448643,0.2110,2126414,262.1927,70.1114,332.3041,0.1134,0.0907,0.2119,0.0594,177523,1549212,128559,179,27.7423,242.1022,20.0905,0.0280,3734022,0.4433
