votersReleasedByCodeRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,onlyPresidentVotesRatio,onlyPresidentVotesRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
0.00 .. 0.01,"0,2411","0,6915",15309,43905,"55,0683","157,9317","30,3385","59,8886",63488,"228,3741",278,67123,17459,"0,2064",84582,"241,4496","62,8022","304,2518","0,9681","0,0202","0,2111","0,0714",355,53902,13221,108,"1,2770","193,8921","47,5576","0,3885",63488,"0,0075"
0.01 .. 0.02,"0,2538","0,6717",67496,178600,"68,3850","180,7692","28,5132","50,0861",265893,"269,1225",988,282126,67522,"0,1931",349648,"285,5526","68,3421","353,8947","0,9673","0,0231","0,1954","0,0536",4522,250846,31280,603,"4,5769","253,8927","31,6599","0,6103",329381,"0,0391"
0.02 .. 0.03,"0,2584","0,6663",149460,385461,"72,3077","186,3931","29,8579","45,6510",578513,"279,7452",2068,613993,147799,"0,1940",761792,"296,9018","71,4695","368,3714","0,9680","0,0218","0,1955","0,0526",15615,560896,53097,1025,"7,5508","271,2263","25,6755","0,4956",907894,"0,1078"
0.03 .. 0.04,"0,2627","0,6626",201056,507103,"73,1113","184,4011","30,8804","46,0352",765357,"278,3116",2750,811248,196207,"0,1948",1007455,"294,9993","71,3480","366,3473","0,9673","0,0242","0,1965","0,0534",28430,747720,63528,1497,"10,3382","271,8982","23,1011","0,5444",1673251,"0,1987"
0.04 .. 0.05,"0,2644","0,6634",208148,522131,"71,3569","178,9345","32,4207","47,2301",787100,"269,7395",2918,832398,206787,"0,1990",1039185,"285,2632","70,8660","356,1292","0,9662","0,0251","0,2004","0,0570",37388,767807,64591,1573,"12,8129","263,1278","22,1354","0,5391",2460351,"0,2921"
0.05 .. 0.06,"0,2617","0,6703",186104,476616,"68,5466","175,5492","33,5726","46,7568",711002,"261,8792",2715,750672,194762,"0,2060",945434,"276,4906","71,7355","348,2262","0,9650","0,0239","0,2069","0,0598",41161,693093,57579,947,"15,1606","255,2829","21,2077","0,3488",3171353,"0,3765"
0.06 .. 0.07,"0,2678","0,6688",156999,392020,"67,2085","167,7450","35,3871","46,4879",586170,"250,8216",2337,617686,168068,"0,2139",785754,"264,3072","71,9161","336,2234","0,9644","0,0248","0,2148","0,0652",40114,568879,48807,919,"17,1647","243,4228","20,8845","0,3932",3757523,"0,4461"
0.07 .. 0.08,"0,2634","0,6762",119933,307877,"64,8286","166,4200","35,8187","46,6769",455302,"246,1092",1850,478992,131915,"0,2159",610907,"258,9146","71,3054","330,2200","0,9640","0,0231","0,2165","0,0640",35790,442699,36293,540,"19,3459","239,2968","19,6178","0,2919",4212825,"0,5002"
0.08 .. 0.09,"0,2562","0,6879",104474,280532,"61,3470","164,7281","34,3637","45,4401",407818,"239,4703",1703,429218,121224,"0,2202",550442,"252,0364","71,1826","323,2190","0,9638","0,0236","0,2212","0,0650",36418,396545,32673,430,"21,3846","232,8509","19,1856","0,2525",4620643,"0,5486"
0.09 .. 0.10,"0,2471","0,7001",86422,244876,"58,7106","166,2430","34,3445","45,8558",349761,"237,4481",1473,367512,104200,"0,2209",471712,"249,4990","70,7400","320,2390","0,9641","0,0236","0,2211","0,0633",34827,339763,27749,269,"23,6436","230,6606","18,8384","0,1826",4970404,"0,5901"
0.10 .. 0.11,"0,2457","0,7031",77402,221502,"57,2500","163,8328","32,9012","43,1758",315037,"233,0155",1352,331167,94084,"0,2212",425251,"244,9460","69,5888","314,5348","0,9640","0,0268","0,2209","0,0645",34732,304957,26210,469,"25,6893","225,5599","19,3861","0,3469",5285441,"0,6275"
0.11 .. 0.12,"0,2386","0,7107",66985,199537,"54,8159","163,2872","31,6619","45,2181",280775,"229,7668",1222,295450,85378,"0,2242",380828,"241,7758","69,8674","311,6432","0,9633","0,0227","0,2238","0,0634",33939,273294,22156,118,"27,7733","223,6448","18,1309","0,0966",5566216,"0,6608"
0.12 .. 0.13,"0,2346","0,7145",65873,200604,"54,2165","165,1062","32,5388","45,1713",280760,"231,0782",1215,295028,84037,"0,2217",379065,"242,8214","69,1663","311,9877","0,9632","0,0218","0,2215","0,0619",36859,273019,22009,154,"30,3366","224,7070","18,1144","0,1267",5846976,"0,6942"
0.13 .. 0.14,"0,2323","0,7189",58768,181860,"53,9651","166,6911","32,5038","43,6309",252974,"231,8735",1091,265812,76252,"0,2229",342064,"243,6407","69,8918","313,5325","0,9640","0,0251","0,2224","0,0609",35859,245931,19881,344,"32,8680","225,4180","18,2227","0,3153",6099950,"0,7242"
0.14 .. 0.15,"0,2316","0,7182",56058,173824,"53,8501","166,6577","31,4232","43,1471",242037,"232,0585",1043,254463,71122,"0,2184",325585,"243,9722","68,1898","312,1620","0,9634","0,0231","0,2186","0,0582",36909,235978,18485,111,"35,3873","226,2493","17,7229","0,1064",6341987,"0,7529"
0.15 .. 0.16,"0,2304","0,7199",51699,161531,"53,8531","168,2615","31,0888","42,3831",224389,"233,7385",960,235309,67380,"0,2226",302689,"245,1135","70,1875","315,3010","0,9646","0,0215","0,2218","0,0580",36473,217356,17953,67,"37,9927","226,4125","18,7010","0,0698",6566376,"0,7796"
0.16 .. 0.17,"0,2326","0,7172",55601,171424,"53,8248","165,9477","33,1311","42,8700",239027,"231,3911",1033,251086,70809,"0,2200",321895,"243,0649","68,5470","311,6118","0,9639","0,0236","0,2189","0,0575",41396,232856,18230,92,"40,0736","225,4172","17,6476","0,0891",6805403,"0,8080"
0.17 .. 0.18,"0,2239","0,7272",43949,142755,"51,5229","166,9649","31,5426","44,4513",196303,"229,5942",855,206018,59430,"0,2239",265448,"240,9567","69,5088","310,4655","0,9642","0,0232","0,2229","0,0610",36056,190711,15307,103,"42,1708","223,0538","17,9029","0,1205",7001706,"0,8313"
0.18 .. 0.19,"0,2173","0,7350",37725,127586,"49,2493","166,5614","29,5379","43,8742",173576,"226,6005",766,182128,52505,"0,2238",234633,"237,7650","68,5444","306,3094","0,9657","0,0219","0,2220","0,0620",33632,169212,12916,75,"43,9060","220,9034","16,8616","0,0979",7175282,"0,8519"
0.19 .. 0.20,"0,2173","0,7346",34082,115195,"49,6099","167,4346","29,3025","41,9294",156815,"227,9288",688,164533,46866,"0,2217",211399,"239,1468","68,1192","307,2660","0,9646","0,0208","0,2205","0,0574",32093,152705,11828,31,"46,6468","221,9549","17,1919","0,0451",7332097,"0,8705"
0.20 .. 0.21,"0,2199","0,7310",30810,102408,"50,3431","167,0604","29,6429","42,8001",140094,"228,5383",613,146967,42355,"0,2237",189322,"239,7504","69,0946","308,8450","0,9659","0,0225","0,2228","0,0591",30166,136401,10566,7,"49,2104","222,5139","17,2365","0,0114",7472191,"0,8871"
0.21 .. 0.22,"0,2125","0,7406",24345,84823,"47,7353","165,9941","27,7210","42,7610",114538,"224,1448",511,120056,34108,"0,2212",154164,"234,9432","66,7476","301,6908","0,9654","0,0246","0,2195","0,0591",25795,111399,8657,2,"50,4795","218,0020","16,9413","0,0039",7586729,"0,9007"
0.22 .. 0.23,"0,1993","0,7549",22053,83520,"44,0180","166,7066","25,7295","43,3774",110643,"220,8443",501,115997,33581,"0,2245",149578,"231,5309","67,0279","298,5589","0,9678","0,0229","0,2233","0,0574",26110,108073,7924,2,"52,1158","215,7146","15,8164","0,0040",7697372,"0,9139"
0.23 .. 0.24,"0,1973","0,7576",19366,74353,"43,2277","165,9665","27,4549","43,3427",98147,"219,0781",448,102851,29771,"0,2245",132622,"229,5781","66,4531","296,0313","0,9673","0,0213","0,2222","0,0569",24173,95392,7459,0,"53,9576","212,9286","16,6496","0,0000",7795519,"0,9255"
0.24 .. 0.25,"0,1925","0,7610",17008,67220,"41,0821","161,5865","24,4684","44,4006",88335,"212,3438",416,92634,27703,"0,2302",120337,"222,6779","66,5938","289,2716","0,9672","0,0258","0,2288","0,0605",22731,86069,6565,5,"54,6418","206,8966","15,7813","0,0120",7883854,"0,9360"
0.25 .. 0.26,"0,1835","0,7717",11648,48977,"39,2189","164,3523","23,5192","45,4259",63464,"212,9664",298,66469,19842,"0,2299",86311,"223,0503","66,5839","289,6342","0,9688","0,0217","0,2267","0,0610",16979,61799,4670,9,"56,9765","207,3792","15,6711","0,0302",7947318,"0,9435"
0.26 .. 0.27,"0,1784","0,7782",11362,49565,"37,8733","165,2167","21,8682","44,6685",63689,"212,2967",300,66714,19492,"0,2261",86206,"222,3800","64,9733","287,3533","0,9662","0,0233","0,2238","0,0580",17680,62143,4571,5,"58,9333","207,1433","15,2367","0,0167",8011007,"0,9511"
0.27 .. 0.28,"0,1722","0,7843",10073,45889,"37,0331","168,7096","23,2378","45,0189",58511,"215,1140",272,61273,18738,"0,2342",80011,"225,2684","68,8897","294,1581","0,9661","0,0235","0,2313","0,0578",16869,57080,4193,1,"62,0184","209,8529","15,4154","0,0037",8069518,"0,9581"
0.28 .. 0.29,"0,1748","0,7834",7974,35732,"37,2617","166,9720","25,0433","47,2901",45611,"213,1355",214,47775,14955,"0,2384",62730,"223,2477","69,8832","293,1308","0,9687","0,0232","0,2387","0,0690",13628,44670,3105,2,"63,6822","208,7383","14,5093","0,0093",8115129,"0,9635"
0.29 .. 0.30,"0,1735","0,7809",7085,31894,"36,1480","161,8985","23,3164","45,9106",40841,"207,3147",197,42782,13302,"0,2372",56084,"217,1675","67,5228","284,6904","0,9681","0,0228","0,2334","0,0602",12604,40010,2772,2,"63,9797","203,0964","14,0711","0,0102",8155970,"0,9683"
0.30 .. 0.31,"0,1756","0,7825",6719,29939,"36,7158","162,7120","21,4462","44,1172",38260,"207,9348",184,40247,13184,"0,2467",53431,"218,7337","71,6522","290,3859","0,9693","0,0218","0,2431","0,0611",12277,37406,2841,0,"66,7228","203,2935","15,4402","0,0000",8194230,"0,9729"
0.31 .. 0.32,"0,1674","0,7906",5511,26035,"34,8797","163,7421","21,8894","47,3664",32929,"207,1006",159,34267,11311,"0,2482",45578,"215,5157","71,1384","286,6541","0,9697","0,0200","0,2431","0,0646",10792,31701,2566,3,"67,8742","199,3774","16,1384","0,0189",8227159,"0,9768"
0.32 .. 0.33,"0,1601","0,7959",4535,22541,"31,9366","158,7394","19,7239","49,9247",28321,"199,4437",142,29629,8970,"0,2324",38599,"208,6549","63,1690","271,8239","0,9693","0,0208","0,2291","0,0634",9638,27636,1993,0,"67,8732","194,6197","14,0352","0,0000",8255480,"0,9801"
0.33 .. 0.34,"0,1647","0,7923",3856,18552,"32,9573","158,5641","18,9838","48,6223",23416,"200,1368",117,24515,7972,"0,2454",32487,"209,5299","68,1368","277,6667","0,9688","0,0242","0,2391","0,0706",8209,22739,1776,0,"70,1624","194,3504","15,1795","0,0000",8278896,"0,9829"
