closeDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,0.4517,0.4652,354484,365085,100.2217,103.1897,38.4910,31.8722,784711,221.7951,3538,824287,232219,0.2198,1056506,232.9811,65.6357,298.6167,0.2211,0.0624,65675,551136,273151,1035,18.5627,155.7761,77.2049,0.2925,784711,0.0653
17:00:30,0.4426,0.4749,551002,591142,96.4471,103.4188,39.2802,31.6544,1244852,217.7838,5716,1308915,376745,0.2235,1685660,228.9914,65.9106,294.9020,0.2251,0.0658,103446,875495,433420,1469,18.0976,153.1657,75.8258,0.2570,2029563,0.1689
17:01:00,0.4431,0.4738,486526,520235,98.9075,105.7603,39.7897,31.5612,1097943,223.2045,4919,1154682,328492,0.2215,1483174,234.7392,66.7802,301.5194,0.2232,0.0658,89344,777657,377025,1156,18.1630,158.0925,76.6467,0.2350,3127506,0.2603
17:01:30,0.4431,0.4740,401180,429119,99.8457,106.7992,39.4103,31.4943,905372,225.3290,4018,952734,268361,0.2198,1221095,237.1165,66.7897,303.9062,0.2212,0.0651,73225,646272,306462,1187,18.2242,160.8442,76.2723,0.2954,4032878,0.3356
17:02:00,0.4393,0.4781,321202,349564,100.0318,108.8306,39.5252,31.0449,731200,227.6463,3212,769032,220965,0.2232,989997,239.4247,68.7936,308.2182,0.2245,0.0662,58511,522254,246778,797,18.2164,162.5946,76.8300,0.2481,4764078,0.3965
17:02:30,0.4387,0.4789,267381,291868,100.2553,109.4368,40.0709,31.3443,609503,228.5351,2667,641353,181127,0.2202,822480,240.4773,67.9141,308.3915,0.2217,0.0661,48263,435267,206086,545,18.0964,163.2047,77.2726,0.2043,5373581,0.4472
17:03:00,0.4402,0.4771,216369,234524,101.3438,109.8473,39.5422,31.6373,491575,230.2459,2135,517292,146610,0.2208,663902,242.2913,68.6698,310.9611,0.2214,0.0638,40397,354748,162544,665,18.9213,166.1583,76.1330,0.3115,5865156,0.4881
17:03:30,0.4447,0.4722,190881,202666,103.5708,109.9653,39.9078,30.4488,429205,232.8839,1843,451448,127491,0.2202,578939,244.9528,69.1758,314.1286,0.2210,0.0632,34484,305192,146256,308,18.7108,165.5952,79.3576,0.1671,6294361,0.5238
17:04:00,0.4331,0.4852,148494,166363,100.8106,112.9416,40.3656,32.5251,342877,232.7746,1473,360988,104857,0.2251,465845,245.0699,71.1860,316.2559,0.2265,0.0663,27516,241400,119588,389,18.6802,163.8832,81.1867,0.2641,6637238,0.5524
17:04:30,0.4360,0.4821,134207,148398,102.0586,112.7644,40.4418,31.5680,307806,233.8951,1316,324350,91459,0.2200,415809,246.4666,69.4977,315.9643,0.2220,0.0673,24646,220930,103420,236,18.7280,167.8799,78.5866,0.1793,6945044,0.5780
17:05:00,0.4418,0.4756,113980,122720,104.4730,112.4840,40.6762,31.4312,258014,236.4931,1091,271560,77248,0.2215,348808,248.9093,70.8048,319.7140,0.2229,0.0635,20478,190410,81150,195,18.7699,174.5280,74.3813,0.1787,7203058,0.5994
17:05:30,0.4348,0.4848,96015,107051,103.8000,115.7308,42.0736,32.4026,220829,238.7341,925,232569,66056,0.2212,298625,251.4259,71.4119,322.8378,0.2240,0.0657,17796,159043,73526,238,19.2389,171.9384,79.4876,0.2573,7423887,0.6178
17:06:00,0.4330,0.4867,85389,95966,103.1268,115.9010,41.4376,33.1611,197188,238.1498,828,207598,60864,0.2267,268462,250.7222,73.5072,324.2295,0.2291,0.0655,15490,138547,69051,292,18.7077,167.3273,83.3949,0.3527,7621075,0.6342
17:06:30,0.4389,0.4796,72764,79516,106.5359,116.4217,40.2099,31.6783,165791,242.7394,683,174792,49348,0.2202,224140,255.9180,72.2518,328.1698,0.2222,0.0618,13359,118267,56525,210,19.5593,173.1581,82.7599,0.3075,7786866,0.6480
17:07:00,0.4322,0.4866,66866,75286,104.6416,117.8185,41.9879,31.0242,154710,242.1127,639,163255,46961,0.2234,210216,255.4851,73.4914,328.9765,0.2256,0.0648,12456,110174,53081,152,19.4930,172.4163,83.0689,0.2379,7941576,0.6609
17:07:30,0.4314,0.4872,58415,65975,106.0163,119.5199,40.8047,30.4379,135405,245.2989,552,142760,41447,0.2250,184207,258.6232,75.0851,333.7083,0.2277,0.0634,10669,96285,46475,122,19.3279,174.4293,84.1938,0.2210,8076981,0.6722
17:08:00,0.4373,0.4819,49996,55085,107.0578,117.9550,41.1841,30.9152,114317,244.7901,467,120474,34224,0.2212,154698,257.9743,73.2848,331.2591,0.2231,0.0661,9326,81508,38966,90,19.9700,174.5353,83.4390,0.1927,8191298,0.6817
17:08:30,0.4415,0.4783,47872,51869,109.2968,118.4224,41.2941,31.4398,108442,247.5845,438,114351,32432,0.2210,146783,261.0753,74.0457,335.1210,0.2212,0.0647,9048,78738,35613,50,20.6575,179.7671,81.3082,0.1142,8299740,0.6907
17:09:00,0.4489,0.4720,45650,48003,112.9950,118.8193,42.3292,30.2746,101699,251.7302,404,107290,30544,0.2216,137834,265.5693,75.6040,341.1733,0.2226,0.0623,7908,72132,35158,48,19.5743,178.5446,87.0248,0.1188,8401439,0.6992
17:09:30,0.4436,0.4763,40927,43947,111.8224,120.0738,42.2544,29.6640,92263,252.0847,366,97299,28253,0.2250,125552,265.8443,77.1940,343.0383,0.2273,0.0598,7645,66113,31186,82,20.8880,180.6366,85.2077,0.2240,8493702,0.7068
17:10:00,0.4378,0.4792,33156,36294,112.0135,122.6149,41.7442,31.1974,75732,255.8514,296,79836,23317,0.2260,103153,269.7162,78.7736,348.4899,0.2276,0.0578,5692,54955,24881,115,19.2297,185.6588,84.0574,0.3885,8569434,0.7131
17:10:30,0.4354,0.4821,32440,35915,112.6389,124.7049,43.6788,32.6866,74500,258.6806,288,78391,22288,0.2214,100679,272.1910,77.3889,349.5799,0.2233,0.0602,5782,53126,25265,113,20.0764,184.4653,87.7257,0.3924,8643934,0.7193
17:11:00,0.4391,0.4782,32390,35276,113.2517,123.3427,40.1169,30.9507,73763,257.9126,286,77704,22674,0.2259,100378,271.6923,79.2797,350.9720,0.2265,0.0589,6145,53489,24215,100,21.4860,187.0245,84.6678,0.3497,8717697,0.7255
17:11:30,0.4317,0.4875,29243,33025,109.5243,123.6891,41.3474,32.4078,67744,253.7228,267,71454,20423,0.2223,91877,267.6180,76.4906,344.1086,0.2233,0.0621,5485,48461,22993,46,20.5431,181.5019,86.1161,0.1723,8785441,0.7311
17:12:00,0.4302,0.4893,25444,28940,112.0881,127.4890,43.7654,30.8188,59151,260.5771,227,62457,18738,0.2308,81195,275.1410,82.5463,357.6872,0.2325,0.0639,4807,41887,20570,83,21.1762,184.5242,90.6167,0.3656,8844592,0.7360
17:12:30,0.4435,0.4766,24104,25900,117.0097,125.1208,43.4973,29.9774,54344,262.5314,207,57200,15844,0.2169,73044,276.3285,76.5411,352.8696,0.2186,0.0648,4010,38691,18509,23,19.3720,186.9130,89.4155,0.1111,8898936,0.7406
