emissionDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,"0,4816","0,4358",1073,971,"107,3000","97,1000","40,5587","26,4894",2228,"222,8000",10,2308,630,"0,2144",2938,"230,8000","63,0000","293,8000","0,2061","0,0596",224,1319,989,1,"22,4000","131,9000","98,9000","0,1000",2228,"0,0002"
17:00:30,"0,4369","0,4862",6743,7504,"97,7246","108,7536","38,6241","33,1756",15433,"223,6667",69,16258,4733,"0,2255",20991,"235,6232","68,5942","304,2174","0,2249","0,0578",1300,10938,5320,23,"18,8406","158,5217","77,1014","0,3333",17661,"0,0015"
17:01:00,"0,4541","0,4631",12683,12934,"107,4831","109,6102","34,7774","33,2984",27931,"236,7034",118,29347,8040,"0,2150",37387,"248,7034","68,1356","316,8390","0,2142","0,0560",2193,19503,9844,5,"18,5847","165,2797","83,4237","0,0424",45592,"0,0038"
17:01:30,"0,4645","0,4516",53228,51754,"105,6111","102,6865","35,8175","30,7358",114593,"227,3671",504,120135,32362,"0,2122",152497,"238,3631","64,2103","302,5734","0,2125","0,0585",9865,84144,35991,92,"19,5734","166,9524","71,4107","0,1825",160185,"0,0133"
17:02:00,"0,4507","0,4659",171800,177600,"100,6444","103,9813","37,8987","32,2607",381181,"223,1739",1708,400556,111779,"0,2182",512335,"234,5176","65,4444","299,9619","0,2194","0,0625",31931,275872,124684,516,"18,6950","161,5176","73,0000","0,3021",541366,"0,0451"
17:02:30,"0,4465","0,4700",300795,316645,"98,6537","103,8521","37,8671","31,0110",673653,"220,9423",3049,708304,199436,"0,2197",907740,"232,3070","65,4103","297,7173","0,2207","0,0632",55413,483794,224510,700,"18,1742","158,6730","73,6340","0,2296",1215019,"0,1011"
17:03:00,"0,4444","0,4725",365414,388538,"98,7872","105,0103","38,5391","31,4328",822263,"222,2332",3700,864418,242585,"0,2191",1107003,"233,6265","65,5635","299,1900","0,2204","0,0637",66466,589080,275338,1135,"17,9638","159,2108","74,4157","0,3068",2037282,"0,1695"
17:03:30,"0,4443","0,4731",358968,382198,"99,1624","105,5504","39,0065","31,6444",807857,"223,1033",3621,849943,241098,"0,2210",1091041,"234,7260","66,5833","301,3093","0,2225","0,0656",65118,575427,274516,960,"17,9834","158,9138","75,8122","0,2651",2845139,"0,2368"
17:04:00,"0,4466","0,4705",361538,380884,"100,6509","106,0072","39,8756","30,7244",809590,"225,3242",3593,851221,243098,"0,2221",1094319,"236,9109","67,6588","304,5697","0,2239","0,0641",66310,577636,273585,997,"18,4553","160,7670","76,1439","0,2775",3654729,"0,3041"
17:04:30,"0,4397","0,4778",314476,341758,"99,9924","108,6325","39,2916","31,6749",715266,"227,3573",3146,752735,213150,"0,2207",965885,"239,2673","67,7527","307,0200","0,2222","0,0659",58077,507794,244941,931,"18,4606","161,4094","77,8579","0,2959",4369995,"0,3637"
