generationDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:30,0.3537,0.5624,156,248,78.0000,124.0000,34.0000,27.0000,441,220.5000,2,461,150,0.2455,611,230.5000,75.0000,305.5000,0.2415,0.0698,33,293,168,0,16.5000,146.5000,84.0000,0.0000,441,0.0000
17:01:00,0.4480,0.4752,1102,1169,100.1818,106.2727,23.9082,29.7691,2460,223.6364,11,2591,646,0.1996,3237,235.5455,58.7273,294.2727,0.1930,0.0673,141,1657,934,0,12.8182,150.6364,84.9091,0.0000,2901,0.0002
17:01:30,0.4300,0.4855,3707,4185,102.9722,116.2500,38.5252,32.5938,8620,239.4444,36,9113,2352,0.2051,11465,253.1389,65.3333,318.4722,0.2039,0.0477,629,6518,2595,0,17.4722,181.0556,72.0833,0.0000,11521,0.0010
17:02:00,0.4399,0.4772,8874,9628,100.8409,109.4091,39.9400,30.6878,20174,229.2500,88,21203,5874,0.2169,27077,240.9432,66.7500,307.6932,0.2166,0.0639,1366,13526,7677,0,15.5227,153.7045,87.2386,0.0000,31695,0.0026
17:02:30,0.4465,0.4639,42226,43872,100.5381,104.4571,38.1321,32.1227,94564,225.1524,420,99651,25670,0.2048,125321,237.2643,61.1190,298.3833,0.2058,0.0619,6272,67200,32451,122,14.9333,160.0000,77.2643,0.2905,126259,0.0105
17:03:00,0.4462,0.4669,123178,128902,98.9382,103.4526,38.3116,32.5433,276066,221.5618,1246,290598,78505,0.2127,369103,233.2247,63.0056,296.2303,0.2139,0.0610,20543,198389,92209,314,16.4872,159.2207,74.0040,0.2520,402325,0.0335
17:03:30,0.4420,0.4744,227870,244541,97.5053,104.6389,37.7713,32.2877,515518,220.5896,2337,542382,148770,0.2152,691152,232.0847,63.6585,295.7433,0.2165,0.0637,39381,371198,171184,357,16.8511,158.8353,73.2495,0.1528,917843,0.0764
17:04:00,0.4454,0.4705,295327,312001,99.2029,104.7686,38.3122,31.0538,663133,222.6773,2978,697693,193986,0.2176,891679,234.2824,65.1397,299.4221,0.2190,0.0634,53303,478761,218932,761,17.8989,160.7660,73.5165,0.2555,1580976,0.1316
17:04:30,0.4473,0.4698,350048,367642,99.4737,104.4437,39.1447,30.9412,782601,222.3298,3520,823407,233149,0.2207,1056556,233.9224,66.2355,300.1580,0.2222,0.0647,63152,560417,262990,849,17.9409,159.2094,74.7131,0.2412,2363577,0.1967
17:05:00,0.4436,0.4740,333176,356063,99.6042,106.4145,39.4921,31.3126,751141,224.4892,3346,789760,224247,0.2211,1014007,236.0311,67.0194,303.0505,0.2224,0.0645,60470,538275,251485,919,18.0723,160.8712,75.1599,0.2747,3114718,0.2592
17:05:30,0.4427,0.4742,312142,334340,99.8854,106.9546,39.5951,31.1310,705048,225.5432,3126,741341,212203,0.2225,953544,237.1532,67.8832,305.0365,0.2243,0.0662,57944,502454,238887,959,18.5361,160.7338,76.4194,0.3068,3819766,0.3179
