onlyPresidentVotesRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,votersReleasedByCodeRatio,votersReleasedByCodeRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
1.0400 .. 1.0444,"0,1236","0,8427",11,75,"5,5000","37,5000","0,5000","0,5000",89,"44,5000",2,98,62,"0,3875",160,"49,0000","31,0000","80,0000","0,1384","0,1035","0,3839","0,0450",14,49,49,0,"7,0000","24,5000","24,5000","0,0000",89,"0,0000"
1.0200 .. 1.0213,"0,2667","0,6804",136,347,"19,4286","49,5714","14,8407","20,5347",510,"72,8571",7,597,240,"0,2867",837,"85,2857","34,2857","119,5714","0,1075","0,1024","0,2703","0,0960",71,313,284,0,"10,1429","44,7143","40,5714","0,0000",599,"0,0000"
1.0100 .. 1.0105,"0,4722","0,4275",1416,1282,"74,5263","67,4737","66,3399","42,7137",2999,"157,8421",19,3213,971,"0,2321",4184,"169,1053","51,1053","220,2105","0,1063","0,0658","0,2575","0,0953",293,2233,980,0,"15,4211","117,5263","51,5789","0,0000",3598,"0,0003"
1.0000 .. 1.0023,"0,5341","0,3451",1990,1286,"142,1429","91,8571","51,5514","40,4914",3726,"266,1429",14,3878,1135,"0,2264",5013,"277,0000","81,0714","358,0714","0,0579","0,0346","0,2345","0,0640",193,2486,1392,0,"13,7857","177,5714","99,4286","0,0000",7324,"0,0006"
1.00 .. 0.99,"0,5152","0,3664",22987,16349,"130,6080","92,8920","62,5007","39,1228",44621,"253,5284",176,46160,12532,"0,2135",58692,"262,2727","71,2045","333,4773","0,0763","0,0550","0,2165","0,0634",3003,34247,11913,23,"17,0625","194,5852","67,6875","0,1307",51945,"0,0043"
0.99 .. 0.98,"0,5144","0,3654",67016,47605,"141,0863","100,0105","54,3063","36,3626",130292,"273,7227",476,134218,36048,"0,2117",170266,"281,9706","75,7311","357,7017","0,0751","0,0678","0,2146","0,0598",8843,100267,33951,49,"18,5777","210,6450","71,3256","0,1029",182237,"0,0152"
0.98 .. 0.97,"0,4997","0,3941",108030,85198,"127,3939","100,4693","52,3367","38,0630",216173,"254,9210",848,224190,62147,"0,2170",286337,"264,3750","73,2866","337,6616","0,0829","0,0645","0,2200","0,0600",16669,162123,62067,128,"19,6568","191,1828","73,1922","0,1509",398410,"0,0332"
0.97 .. 0.96,"0,5011","0,4013",187197,149916,"123,4809","98,8892","48,9466","34,8226",373583,"246,4268",1516,388693,110289,"0,2210",498982,"256,3938","72,7500","329,1438","0,0862","0,0691","0,2224","0,0630",30673,272923,115770,300,"20,2328","180,0284","76,3654","0,1979",771993,"0,0642"
0.96 .. 0.95,"0,4897","0,4191",268727,229971,"121,4860","103,9182","45,5068","35,3043",548735,"247,9598",2213,572590,163582,"0,2222",736172,"258,7393","73,9187","332,6579","0,0836","0,0642","0,2240","0,0621",44008,397324,175266,380,"19,8861","179,5409","79,1984","0,1717",1320728,"0,1099"
0.95 .. 0.94,"0,4807","0,4317",380027,341264,"117,2199","105,2310","43,4939","34,6475",790535,"243,7666",3243,827692,237497,"0,2230",1065189,"255,2242","73,2337","328,4579","0,0857","0,0625","0,2245","0,0614",66042,560797,266895,670,"20,3645","172,9254","82,2988","0,2066",2111263,"0,1757"
0.9300 .. 0.9300,"0,4711","0,4452",471123,445232,"114,9080","108,5932","43,6234","33,8315",1000081,"243,9222",4100,1048615,303011,"0,2242",1351626,"255,7598","73,9051","329,6649","0,0850","0,0602","0,2262","0,0626",83321,696250,352365,834,"20,3222","169,8171","85,9427","0,2034",3111344,"0,2589"
0.93 .. 0.92,"0,4598","0,4581",541843,539788,"111,6281","111,1590","41,5548","33,3745",1178333,"242,6551",4856,1237699,358090,"0,2244",1595789,"254,8804","73,7418","328,6221","0,0854","0,0592","0,2259","0,0632",99694,828662,409037,947,"20,5301","170,6470","84,2333","0,1950",4289677,"0,3570"
0.92 .. 0.91,"0,4463","0,4743",564342,599810,"107,8842","114,6645","40,2485","32,6462",1264588,"241,7488",5231,1329957,385947,"0,2249",1715904,"254,2453","73,7807","328,0260","0,0841","0,0578","0,2261","0,0627",106322,884431,445526,965,"20,3254","169,0749","85,1703","0,1845",5554265,"0,4622"
0.91 .. 0.90,"0,4375","0,4842",518419,573747,"105,0069","116,2137","38,8156","32,3775",1184952,"240,0146",4937,1247419,360851,"0,2244",1608270,"252,6674","73,0911","325,7586","0,0848","0,0577","0,2250","0,0633",101484,837723,409696,889,"20,5558","169,6826","82,9848","0,1801",6739217,"0,5608"
0.90 .. 0.89,"0,4281","0,4942",485500,560494,"102,8166","118,6733","37,1924","31,3382",1134129,"240,1289",4723,1195670,344170,"0,2235",1539840,"253,1590","72,8711","326,0301","0,0842","0,0605","0,2245","0,0633",96200,806203,389467,1047,"20,3684","170,6972","82,4618","0,2217",7873346,"0,6552"
0.89 .. 0.88,"0,4120","0,5115",395745,491355,"97,9809","121,6225","36,5035","32,0711",960611,"237,7750",4040,1014549,293938,"0,2246",1308487,"251,1260","72,7569","323,8829","0,0841","0,0572","0,2257","0,0628",82142,686940,327609,781,"20,3322","170,0347","81,0913","0,1933",8833957,"0,7352"
0.88 .. 0.87,"0,4041","0,5199",326879,420577,"95,4670","122,8321","35,3769","31,4356",808901,"236,2445",3424,855673,245690,"0,2231",1101363,"249,9045","71,7553","321,6598","0,0830","0,0542","0,2237","0,0630",68821,579797,275876,694,"20,0996","169,3332","80,5713","0,2027",9642858,"0,8025"
0.87 .. 0.86,"0,3977","0,5249",255345,337018,"94,0844","124,1776","34,5523","30,6299",642058,"236,5726",2714,680594,194105,"0,2219",874699,"250,7716","71,5199","322,2915","0,0805","0,0541","0,2230","0,0643",53210,468164,212430,593,"19,6057","172,4996","78,2719","0,2185",10284916,"0,8559"
0.86 .. 0.85,"0,3895","0,5351",192348,264266,"91,8129","126,1413","33,3282","31,7839",493891,"235,7475",2095,524169,147848,"0,2200",672017,"250,2000","70,5718","320,7718","0,0815","0,0563","0,2205","0,0651",41546,358508,165661,718,"19,8310","171,1255","79,0745","0,3427",10778807,"0,8970"
0.85 .. 0.84,"0,3797","0,5454",142854,205212,"88,2905","126,8307","33,1300","32,4102",376256,"232,5439",1618,399971,113555,"0,2211",513526,"247,2009","70,1823","317,3832","0,0781","0,0485","0,2222","0,0657",30300,276895,123076,452,"18,7268","171,1341","76,0667","0,2794",11155063,"0,9283"
