votersReleasedByCodeRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,onlyPresidentVotesRatio,onlyPresidentVotesRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
0.00 .. 0.01,"0,4054","0,5137",45086,57125,"90,7163","114,7088","51,4442","43,1642",111208,"223,3092",498,117295,31092,"0,2095",148387,"235,5321","62,4337","297,9659","0,8987","0,0469","0,2089","0,0783",698,57174,60121,155,"1,4016","114,8072","120,7249","0,3112",111208,"0,0093"
0.01 .. 0.02,"0,4312","0,4816",212511,237329,"113,3997","126,6430","46,2826","36,3893",492832,"262,9840",1874,520286,132673,"0,2032",652959,"277,6339","70,7967","348,4306","0,8996","0,0438","0,2037","0,0626",8194,306147,214139,749,"4,3725","163,3655","114,2684","0,3997",604040,"0,0503"
0.02 .. 0.03,"0,4375","0,4734",440421,476618,"117,0088","126,6254","44,2718","32,7204",1006732,"267,4633",3764,1062626,271851,"0,2037",1334477,"282,3130","72,2240","354,5369","0,9019","0,0437","0,2048","0,0608",26881,682190,380436,1045,"7,1416","181,2407","101,0723","0,2776",1610772,"0,1340"
0.03 .. 0.04,"0,4365","0,4748",572551,622712,"114,5102","124,5175","41,8286","31,6831",1311630,"262,2735",5001,1384851,364497,"0,2084",1749348,"276,9148","72,8848","349,7996","0,9026","0,0434","0,2088","0,0608",48534,921431,463420,1926,"9,7049","184,2494","92,6655","0,3851",2922402,"0,2432"
0.04 .. 0.05,"0,4362","0,4758",569233,620952,"111,8776","122,0185","39,8709","31,6740",1305063,"256,4478",5089,1376620,368028,"0,2109",1744648,"270,5089","72,3183","342,8273","0,9012","0,0431","0,2115","0,0599",61829,943835,432785,1356,"12,1495","185,4657","85,0432","0,2665",4227465,"0,3518"
0.05 .. 0.06,"0,4391","0,4751",529665,573083,"109,1868","118,1371","39,5077","31,7968",1206286,"248,6675",4851,1271385,348046,"0,2149",1619431,"262,0872","71,7473","333,8345","0,9022","0,0426","0,2153","0,0609",69732,880786,390599,1643,"14,3748","181,5679","80,5193","0,3387",5433751,"0,4522"
0.06 .. 0.07,"0,4340","0,4833",447578,498364,"105,0653","116,9869","38,8199","32,5287",1031237,"242,0744",4260,1085866,305588,"0,2196",1391454,"254,8981","71,7343","326,6324","0,9003","0,0420","0,2205","0,0607",70540,749947,335919,1215,"16,5587","176,0439","78,8542","0,2852",6464988,"0,5380"
0.07 .. 0.08,"0,4350","0,4844",392454,437009,"103,3862","115,0932","38,9130","32,6251",902103,"237,5831",3797,949670,275365,"0,2248",1225035,"250,1106","72,5217","322,6323","0,8994","0,0417","0,2250","0,0617",71077,659887,289783,1152,"18,7193","173,7917","76,3189","0,3034",7367091,"0,6131"
0.08 .. 0.09,"0,4352","0,4872",335598,375726,"102,2853","114,4808","38,4344","32,6352",771154,"234,9647",3282,811432,238693,"0,2273",1050125,"247,2371","72,7279","319,9650","0,8982","0,0407","0,2278","0,0624",68824,553423,258009,829,"20,9701","168,6237","78,6133","0,2526",8138245,"0,6773"
0.09 .. 0.10,"0,4392","0,4845",284146,313402,"101,9907","112,4917","37,9632","33,6912",646917,"232,2028",2786,680350,205008,"0,2316",885358,"244,2032","73,5851","317,7882","0,8985","0,0409","0,2319","0,0610",64522,457764,222586,516,"23,1594","164,3087","79,8945","0,1852",8785162,"0,7311"
0.10 .. 0.11,"0,4417","0,4831",256022,280022,"101,0746","110,5495","38,8038","33,8113",579595,"228,8176",2533,609745,187289,"0,2350",797034,"240,7205","73,9396","314,6601","0,9016","0,0395","0,2349","0,0608",63875,404463,205282,408,"25,2171","159,6775","81,0430","0,1611",9364757,"0,7793"
0.11 .. 0.12,"0,4399","0,4863",210744,232947,"99,6897","110,1925","39,0597","33,9705",479054,"226,6102",2114,503532,156642,"0,2373",660174,"238,1892","74,0974","312,2867","0,9013","0,0381","0,2376","0,0616",57771,334935,168597,298,"27,3278","158,4366","79,7526","0,1410",9843811,"0,8192"
0.12 .. 0.13,"0,4434","0,4823",179819,195615,"99,9550","108,7354","39,7845","33,9199",405563,"225,4380",1799,425842,134819,"0,2405",560661,"236,7104","74,9411","311,6515","0,9027","0,0392","0,2403","0,0610",53147,283144,142698,286,"29,5425","157,3897","79,3207","0,1590",10249374,"0,8530"
0.13 .. 0.14,"0,4444","0,4827",149672,162593,"99,3838","107,8918","39,2347","34,6982",336809,"223,4964",1507,353556,114224,"0,2442",467780,"234,6092","75,7956","310,4048","0,9035","0,0393","0,2452","0,0606",47614,234943,118613,413,"31,5952","155,9011","78,7080","0,2741",10586183,"0,8810"
