closeDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,"0,5120","0,4047",89273,70575,"119,5087","94,4779","30,6309","26,0652",174372,"233,4297",747,182201,53346,"0,2265",235547,"243,9103","71,4137","315,3240","0,2259","0,0584",17054,137302,44899,150,"22,8300","183,8046","60,1058","0,2008",174372,"0,0184"
17:00:30,"0,5071","0,4078",147951,118983,"118,4556","95,2626","30,9538","26,5197",291780,"233,6109",1249,304775,89376,"0,2268",394151,"244,0152","71,5580","315,5733","0,2263","0,0589",27694,229522,75253,528,"22,1729","183,7646","60,2506","0,4227",466152,"0,0493"
17:01:00,"0,5083","0,4050",171796,136884,"122,4490","97,5652","30,1832","27,7358",338001,"240,9130",1403,353190,102792,"0,2254",455982,"251,7391","73,2659","325,0050","0,2249","0,0605",30475,263235,89955,627,"21,7213","187,6230","64,1162","0,4469",804153,"0,0850"
17:01:30,"0,5065","0,4058",163976,131378,"121,8247","97,6062","29,1917","27,0259",323728,"240,5111",1346,338513,99399,"0,2270",437912,"251,4955","73,8477","325,3432","0,2262","0,0614",29167,252381,86132,330,"21,6694","187,5045","63,9911","0,2452",1127881,"0,1193"
17:02:00,"0,5084","0,4046",153672,122309,"124,8351","99,3574","30,1617","26,7508",302259,"245,5394",1231,316112,92601,"0,2266",408713,"256,7929","75,2242","332,0171","0,2255","0,0581",26463,234827,81285,563,"21,4972","190,7612","66,0317","0,4574",1430140,"0,1512"
17:02:30,"0,5028","0,4080",150763,122353,"124,8038","101,2856","29,7087","27,2027",299854,"248,2235",1208,313636,92829,"0,2284",406465,"259,6325","76,8452","336,4776","0,2270","0,0610",26047,233385,80251,499,"21,5621","193,1995","66,4329","0,4131",1729994,"0,1829"
17:03:00,"0,5035","0,4094",135102,109866,"125,3265","101,9165","30,3764","28,0946",268330,"248,9147",1078,280596,83332,"0,2290",363928,"260,2931","77,3024","337,5955","0,2280","0,0598",23212,207221,73375,485,"21,5325","192,2273","68,0659","0,4499",1998324,"0,2113"
17:03:30,"0,5037","0,4090",121790,98897,"126,4694","102,6968","30,2872","27,6340",241781,"251,0706",963,253315,75461,"0,2295",328776,"263,0478","78,3603","341,4081","0,2285","0,0629",19890,186114,67201,387,"20,6542","193,2648","69,7830","0,4019",2240105,"0,2369"
17:04:00,"0,5051","0,4071",106592,85917,"128,1154","103,2656","31,7134","29,1840",211040,"253,6538",832,220775,65098,"0,2277",285873,"265,3546","78,2428","343,5974","0,2266","0,0604",17238,162032,58743,717,"20,7188","194,7500","70,6046","0,8618",2451145,"0,2592"
17:04:30,"0,5007","0,4112",92562,76025,"127,6717","104,8621","31,2375","25,8822",184868,"254,9903",725,193523,57602,"0,2294",251125,"266,9283","79,4510","346,3793","0,2285","0,0602",14937,142129,51394,449,"20,6028","196,0400","70,8883","0,6193",2636013,"0,2787"
