emissionDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,"0,5220","0,3921",1185,890,"131,6667","98,8889","34,9794","22,5460",2270,"252,2222",9,2348,581,"0,1984",2929,"260,8889","64,5556","325,4444","0,1980","0,0455",257,1867,481,0,"28,5556","207,4444","53,4444","0,0000",2270,"0,0002"
17:00:30,"0,5011","0,4111",2746,2253,"114,4167","93,8750","30,0138","25,7056",5480,"228,3333",24,5705,1727,"0,2324",7432,"237,7083","71,9583","309,6667","0,2349","0,0718",644,4547,1158,22,"26,8333","189,4583","48,2500","0,9167",7750,"0,0008"
17:01:00,"0,4970","0,4179",4795,4031,"119,8750","100,7750","28,2021","21,5540",9647,"241,1750",40,10080,2860,"0,2210",12940,"252,0000","71,5000","323,5000","0,2190","0,0569",925,7644,2436,3,"23,1250","191,1000","60,9000","0,0750",17397,"0,0018"
17:01:30,"0,5100","0,4098",16238,13046,"120,2815","96,6370","28,2666","25,0867",31837,"235,8296",135,33332,9473,"0,2213",42805,"246,9037","70,1704","317,0741","0,2213","0,0625",3198,24700,8632,11,"23,6889","182,9630","63,9407","0,0815",49234,"0,0052"
17:02:00,"0,5111","0,4045",49696,39326,"119,7494","94,7614","31,2161","25,6809",97228,"234,2843",415,101528,29145,"0,2230",130673,"244,6458","70,2289","314,8747","0,2224","0,0586",9123,77394,24134,67,"21,9831","186,4916","58,1542","0,1614",146462,"0,0155"
17:02:30,"0,5096","0,4069",81788,65295,"118,5333","94,6304","30,1652","27,0311",160483,"232,5841",690,167499,48505,"0,2246",216004,"242,7522","70,2971","313,0493","0,2237","0,0573",15531,127127,40372,219,"22,5087","184,2420","58,5101","0,3174",306945,"0,0325"
17:03:00,"0,5076","0,4073",111800,89726,"120,0859","96,3759","30,8983","26,9902",220270,"236,5951",931,230068,67176,"0,2260",297244,"247,1192","72,1547","319,2739","0,2260","0,0597",20585,173507,56561,451,"22,1106","186,3663","60,7530","0,4844",527215,"0,0558"
17:03:30,"0,5048","0,4088",136296,110377,"121,2598","98,2002","29,9354","27,3676",270022,"240,2331",1124,282414,82464,"0,2260",364878,"251,2580","73,3665","324,6246","0,2251","0,0609",24986,210624,71790,474,"22,2295","187,3879","63,8701","0,4217",797237,"0,0843"
17:04:00,"0,5106","0,4014",139485,109651,"123,6569","97,2083","30,3444","26,5721",273199,"242,1977",1128,285540,83515,"0,2263",369055,"253,1383","74,0381","327,1764","0,2260","0,0583",25017,212578,72962,473,"22,1782","188,4557","64,6826","0,4193",1070436,"0,1132"
17:04:30,"0,5080","0,4040",140429,111683,"124,9368","99,3621","30,1128","27,9962",276461,"245,9617",1124,289151,84418,"0,2260",373569,"257,2518","75,1050","332,3568","0,2252","0,0611",24712,215771,73380,394,"21,9858","191,9671","65,2847","0,3505",1346897,"0,1424"
