generationDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:01:00,"0,4414","0,4506",143,146,"143,0000","146,0000","0,0000","0,0000",324,"324,0000",1,330,99,"0,2308",429,"330,0000","99,0000","429,0000","0,2308",NaN,21,280,50,0,"21,0000","280,0000","50,0000","0,0000",324,"0,0000"
17:01:30,"0,5012","0,4179",1083,903,"108,3000","90,3000","32,1871","26,7509",2161,"216,1000",10,2256,683,"0,2324",2939,"225,6000","68,3000","293,9000","0,2414","0,0867",191,1684,572,0,"19,1000","168,4000","57,2000","0,0000",2485,"0,0003"
17:02:00,"0,4929","0,4189",2622,2228,"119,1818","101,2727","26,6298","22,2224",5319,"241,7727",22,5544,1736,"0,2385",7280,"252,0000","78,9091","330,9091","0,2358","0,0752",557,4174,1370,2,"25,3182","189,7273","62,2727","0,0909",7804,"0,0008"
17:02:30,"0,4997","0,4094",5113,4189,"118,9070","97,4186","34,3530","22,8414",10232,"237,9535",43,10734,3038,"0,2206",13772,"249,6279","70,6512","320,2791","0,2204","0,0653",907,8003,2731,8,"21,0930","186,1163","63,5116","0,1860",18036,"0,0019"
17:03:00,"0,4991","0,4164",21800,18185,"118,4783","98,8315","29,7928","26,8377",43676,"237,3696",184,45706,13296,"0,2253",59002,"248,4022","72,2609","320,6630","0,2244","0,0586",3894,33319,12387,28,"21,1630","181,0815","67,3207","0,1522",61712,"0,0065"
17:03:30,"0,5004","0,4155",43744,36322,"116,6507","96,8587","32,2956","26,4634",87426,"233,1360",375,91415,27311,"0,2300",118726,"243,7733","72,8293","316,6027","0,2294","0,0621",7583,68019,23396,143,"20,2213","181,3840","62,3893","0,3813",149138,"0,0158"
17:04:00,"0,5115","0,4044",80844,63920,"120,3036","95,1190","31,1197","27,5012",158044,"235,1845",672,165120,48777,"0,2280",213897,"245,7143","72,5848","318,2991","0,2274","0,0601",14174,123104,42016,185,"21,0923","183,1905","62,5238","0,2753",307182,"0,0325"
17:04:30,"0,5012","0,4114",106332,87278,"118,4098","97,1915","30,5750","27,8189",212137,"236,2327",898,221753,66556,"0,2308",288309,"246,9410","74,1158","321,0568","0,2302","0,0613",19045,164889,56864,586,"21,2082","183,6180","63,3229","0,6526",519319,"0,0549"
17:05:00,"0,5056","0,4067",125617,101059,"121,4865","97,7360","30,4597","26,9806",248473,"240,3027",1034,259568,75596,"0,2255",335164,"251,0329","73,1103","324,1431","0,2250","0,0593",22077,194054,65514,327,"21,3511","187,6731","63,3598","0,3162",767792,"0,0812"
17:05:30,"0,5102","0,4036",131862,104312,"124,1638","98,2222","30,5972","26,7015",258472,"243,3823",1062,270350,80853,"0,2302",351203,"254,5669","76,1328","330,6996","0,2292","0,0610",23402,200260,70090,422,"22,0358","188,5687","65,9981","0,3974",1026264,"0,1085"
17:06:00,"0,5056","0,4068",138120,111125,"124,4324","100,1126","28,8697","27,4977",273157,"246,0874",1110,285900,82853,"0,2247",368753,"257,5676","74,6423","332,2099","0,2239","0,0574",23652,211553,74347,322,"21,3081","190,5883","66,9793","0,2901",1299421,"0,1374"
17:06:30,"0,5059","0,4087",125743,101585,"125,1174","101,0796","30,0597","27,3553",248577,"247,3403",1005,259880,76509,"0,2274",336389,"258,5871","76,1284","334,7154","0,2264","0,0607",21631,193499,66381,394,"21,5234","192,5363","66,0507","0,3920",1547998,"0,1637"
17:07:00,"0,5049","0,4055",119424,95917,"124,5297","100,0177","30,1656","28,8206",236531,"246,6434",959,247350,72759,"0,2273",320109,"257,9249","75,8697","333,7946","0,2263","0,0605",20274,183660,63690,531,"21,1408","191,5120","66,4129","0,5537",1784529,"0,1887"
17:07:30,"0,5063","0,4064",110693,88845,"125,9306","101,0751","28,8387","26,7071",218629,"248,7247",879,228706,67397,"0,2276",296103,"260,1889","76,6746","336,8635","0,2265","0,0597",18526,169349,59357,548,"21,0762","192,6610","67,5279","0,6234",2003158,"0,2118"
17:08:00,"0,5018","0,4096",104236,85098,"126,0411","102,8996","31,4951","28,0896",207740,"251,1971",827,217274,64304,"0,2284",281578,"262,7255","77,7557","340,4813","0,2270","0,0615",18075,160131,57143,551,"21,8561","193,6288","69,0967","0,6663",2210898,"0,2338"
17:08:30,"0,5061","0,4077",94526,76144,"127,7378","102,8973","32,0226","26,5358",186783,"252,4095",740,195739,58469,"0,2300",254208,"264,5122","79,0122","343,5243","0,2296","0,0608",15766,145010,50729,437,"21,3054","195,9595","68,5527","0,5905",2397681,"0,2535"
17:09:00,"0,5044","0,4107",91044,74137,"126,2746","102,8252","31,2791","26,7664",180497,"250,3426",721,189124,56952,"0,2314",246076,"262,3079","78,9903","341,2982","0,2306","0,0603",15560,139694,49430,303,"21,5811","193,7503","68,5576","0,4202",2578178,"0,2726"
17:09:30,"0,5017","0,4111",83871,68719,"128,4395","105,2358","29,5036","27,6515",167178,"256,0153",653,174826,52335,"0,2304",227161,"267,7274","80,1455","347,8729","0,2289","0,0614",14412,129715,45111,413,"22,0704","198,6447","69,0827","0,6325",2745356,"0,2903"
17:10:00,"0,5026","0,4097",75744,61736,"130,1443","106,0756","30,9530","27,0456",150700,"258,9347",582,157698,46058,"0,2260",203756,"270,9588","79,1375","350,0962","0,2240","0,0595",13043,116530,41168,365,"22,4107","200,2234","70,7354","0,6271",2896056,"0,3062"
17:10:30,"0,4983","0,4142",68410,56868,"128,3490","106,6942","33,3056","29,1536",137299,"257,5966",533,143896,42487,"0,2280",186383,"269,9737","79,7129","349,6867","0,2272","0,0622",11723,105279,38617,324,"21,9944","197,5216","72,4522","0,6079",3033355,"0,3208"
17:11:00,"0,4987","0,4147",68417,56893,"130,5668","108,5744","30,0083","30,0443",137188,"261,8092",524,143664,42167,"0,2269",185831,"274,1679","80,4714","354,6393","0,2258","0,0581",11755,106238,37426,261,"22,4332","202,7443","71,4237","0,4981",3170543,"0,3353"
