onlyPresidentVotesRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,votersReleasedByCodeRatio,votersReleasedByCodeRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
1.0100 .. 1.0141,0.5211,0.3275,148,93,148.0000,93.0000,0.0000,0.0000,284,284.0000,1,293,49,0.1433,342,293.0000,49.0000,342.0000,0.1604,NaN,0.1433,NaN,47,293,0,0,47.0000,293.0000,0.0000,0.0000,284,0.0000
1.0000 .. 1.0041,0.4668,0.4177,295,264,98.3333,88.0000,20.8220,27.2764,632,210.6667,3,662,253,0.2765,915,220.6667,84.3333,305.0000,0.1874,0.1173,0.2772,0.0726,125,561,101,0,41.6667,187.0000,33.6667,0.0000,916,0.0001
1.00 .. 0.99,0.4142,0.4462,3850,4148,113.2353,122.0000,37.4308,39.0000,9296,273.4118,34,9606,2662,0.2170,12268,282.5294,78.2941,360.8235,0.1324,0.0869,0.2164,0.0628,1245,7949,1657,1,36.6176,233.7941,48.7353,0.0294,10212,0.0011
0.9800 .. 0.9801,0.4234,0.4458,18702,19692,120.6581,127.0452,40.2167,39.8444,44168,284.9548,155,45367,12901,0.2214,58268,292.6903,83.2323,375.9226,0.1275,0.0785,0.2204,0.0555,5558,37202,8165,4,35.8581,240.0129,52.6774,0.0258,54380,0.0058
0.98 .. 0.97,0.4307,0.4371,49989,50722,125.2857,127.1228,41.0149,36.3235,116055,290.8647,399,119218,36520,0.2345,155738,298.7920,91.5288,390.3208,0.1040,0.0702,0.2342,0.0577,11927,93616,25602,30,29.8922,234.6266,64.1654,0.0752,170435,0.0180
0.97 .. 0.96,0.4423,0.4354,91499,90073,126.3798,124.4102,41.7357,36.7183,206874,285.7376,724,212942,66070,0.2368,279012,294.1188,91.2569,385.3757,0.0970,0.0646,0.2361,0.0578,19974,165634,47308,177,27.5884,228.7762,65.3425,0.2445,377309,0.0399
0.96 .. 0.95,0.4606,0.4282,131352,122095,130.4389,121.2463,40.9930,37.9336,285150,283.1678,1007,294120,90327,0.2350,384447,292.0755,89.6991,381.7746,0.0937,0.0616,0.2342,0.0578,26201,226308,67812,242,26.0189,224.7349,67.3406,0.2403,662459,0.0701
0.95 .. 0.94,0.4893,0.4091,191634,160229,135.4304,113.2360,39.8214,34.7295,391664,276.7943,1415,405669,126339,0.2375,532008,286.6919,89.2855,375.9774,0.0948,0.0691,0.2366,0.0606,37026,308364,97305,463,26.1668,217.9251,68.7668,0.3272,1054123,0.1115
0.9300 .. 0.9300,0.5117,0.3976,252902,196510,139.6477,108.5091,38.0605,34.1040,494235,272.9072,1811,513449,156062,0.2331,669511,283.5168,86.1745,369.6913,0.0961,0.0681,0.2316,0.0589,47219,386970,126479,668,26.0734,213.6775,69.8393,0.3689,1548358,0.1637
0.93 .. 0.92,0.5227,0.3911,332773,249012,142.3323,106.5064,35.2888,31.8720,636641,272.3015,2338,663257,198961,0.2308,862218,283.6856,85.0988,368.7844,0.0958,0.0655,0.2292,0.0591,61241,493920,169337,900,26.1938,211.2575,72.4281,0.3849,2184999,0.2311
