votersReleasedByCodeRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,onlyPresidentVotesRatio,onlyPresidentVotesRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
0.00 .. 0.01,"0,4853","0,4350",31810,28513,"148,6449","133,2383","44,9333","43,1637",65548,"306,2991",214,68945,18344,"0,2102",87289,"322,1729","85,7196","407,8925","0,8694","0,0396","0,2098","0,0589",461,37573,31372,129,"2,1542","175,5748","146,5981","0,6028",65548,"0,0069"
0.01 .. 0.02,"0,4931","0,4230",164155,140815,"154,7172","132,7191","40,7553","38,5479",332883,"313,7446",1061,350334,91558,"0,2072",441892,"330,1923","86,2941","416,4863","0,8753","0,0424","0,2064","0,0534",5548,226272,124062,854,"5,2290","213,2630","116,9293","0,8049",398431,"0,0421"
0.02 .. 0.03,"0,5046","0,4108",377101,307010,"156,9946","127,8143","39,0174","33,2768",747376,"311,1474",2402,787158,212049,"0,2122",999207,"327,7094","88,2802","415,9896","0,8787","0,0407","0,2108","0,0556",19998,532489,254669,1509,"8,3256","221,6857","106,0237","0,6282",1145807,"0,1212"
0.03 .. 0.04,"0,5013","0,4133",511747,421888,"150,9578","124,4507","38,2038","32,8131",1020885,"301,1460",3390,1073042,307235,"0,2226",1380277,"316,5316","90,6298","407,1614","0,8836","0,0416","0,2211","0,0574",37616,743422,329620,2447,"11,0962","219,2985","97,2330","0,7218",2166692,"0,2291"
0.04 .. 0.05,"0,4971","0,4171",526218,441606,"144,9636","121,6545","37,3578","32,7672",1058659,"291,6416",3630,1111107,332238,"0,2302",1443345,"306,0901","91,5256","397,6157","0,8864","0,0429","0,2280","0,0575",49847,783392,327715,2374,"13,7320","215,8105","90,2796","0,6540",3225351,"0,3411"
0.05 .. 0.06,"0,4974","0,4156",475620,397392,"141,1335","117,9205","36,4528","31,6147",956215,"283,7433",3370,1001672,306695,"0,2344",1308367,"297,2320","91,0074","388,2395","0,8908","0,0409","0,2325","0,0591",54941,721412,280260,2066,"16,3030","214,0688","83,1632","0,6131",4181566,"0,4422"
0.06 .. 0.07,"0,4987","0,4155",362086,301650,"137,4662","114,5216","35,6262","31,9267",726029,"275,6374",2634,759026,232884,"0,2348",991910,"288,1648","88,4146","376,5793","0,8935","0,0424","0,2328","0,0577",49160,555404,203622,1614,"18,6636","210,8595","77,3052","0,6128",4907595,"0,5190"
0.07 .. 0.08,"0,5072","0,4084",290479,233932,"137,6678","110,8682","34,8573","30,3200",572744,"271,4427",2110,598707,182807,"0,2339",781514,"283,7474","86,6384","370,3858","0,8936","0,0401","0,2319","0,0570",44687,447631,151076,953,"21,1787","212,1474","71,6000","0,4517",5480339,"0,5795"
0.08 .. 0.09,"0,5126","0,4057",249177,197206,"135,4959","107,2355","34,8666","27,8174",486129,"264,3442",1839,508385,153178,"0,2315",661563,"276,4464","83,2942","359,7406","0,8931","0,0403","0,2293","0,0581",43076,382351,126034,999,"23,4236","207,9125","68,5340","0,5432",5966468,"0,6309"
0.09 .. 0.10,"0,5186","0,4035",210604,163850,"137,2013","106,7427","33,6737","28,0756",406088,"264,5524",1535,424444,124278,"0,2265",548722,"276,5107","80,9629","357,4736","0,8921","0,0401","0,2249","0,0568",40224,325530,98914,521,"26,2046","212,0717","64,4391","0,3394",6372556,"0,6739"
0.10 .. 0.11,"0,5277","0,3952",201676,151055,"137,6628","103,1092","34,6981","26,9381",382199,"260,8867",1465,399389,114808,"0,2233",514197,"272,6205","78,3672","350,9877","0,8906","0,0390","0,2218","0,0568",41842,306748,92641,477,"28,5611","209,3843","63,2362","0,3256",6754755,"0,7143"
0.11 .. 0.12,"0,5311","0,3925",180570,133449,"138,6866","102,4954","33,8918","26,2976",340017,"261,1498",1302,355710,101193,"0,2215",456903,"273,2028","77,7212","350,9240","0,8914","0,0390","0,2209","0,0553",40879,275601,80109,452,"31,3971","211,6751","61,5276","0,3472",7094772,"0,7502"
0.12 .. 0.13,"0,5285","0,3952",170490,127488,"138,2725","103,3966","32,0813","27,0675",322602,"261,6399",1233,337693,96945,"0,2230",434638,"273,8792","78,6253","352,5045","0,8911","0,0389","0,2217","0,0550",42177,262473,75220,294,"34,2068","212,8735","61,0057","0,2384",7417374,"0,7844"
0.13 .. 0.14,"0,5354","0,3893",171178,124461,"140,4249","102,1009","31,8283","25,1492",319737,"262,2945",1219,334879,96525,"0,2237",431404,"274,7162","79,1838","353,8999","0,8900","0,0385","0,2227","0,0555",45146,262545,72334,299,"37,0353","215,3774","59,3388","0,2453",7737111,"0,8182"
0.14 .. 0.15,"0,5273","0,3949",150652,112812,"137,4562","102,9307","33,3449","26,6632",285679,"260,6560",1096,299173,87299,"0,2259",386472,"272,9681","79,6524","352,6204","0,8902","0,0388","0,2251","0,0585",43320,237117,62056,340,"39,5255","216,3476","56,6204","0,3102",8022790,"0,8484"
0.15 .. 0.16,"0,5312","0,3916",142468,105014,"138,7225","102,2532","32,6773","26,1876",268194,"261,1431",1027,280861,81837,"0,2256",362698,"273,4771","79,6855","353,1626","0,8925","0,0381","0,2239","0,0578",43468,222952,57909,410,"42,3252","217,0906","56,3866","0,3992",8290984,"0,8767"
0.16 .. 0.17,"0,5292","0,3934",119979,89192,"138,2247","102,7558","31,5674","26,1055",226727,"261,2062",868,237289,70191,"0,2283",307480,"273,3744","80,8652","354,2396","0,8932","0,0407","0,2273","0,0560",39103,191105,46184,274,"45,0495","220,1671","53,2074","0,3157",8517711,"0,9007"
0.17 .. 0.18,"0,5278","0,3947",99391,74333,"138,0431","103,2403","31,8413","25,3062",188304,"261,5333",720,196995,58107,"0,2278",255102,"273,6042","80,7042","354,3083","0,8916","0,0395","0,2262","0,0550",34469,159408,37587,197,"47,8736","221,4000","52,2042","0,2736",8706015,"0,9206"
0.18 .. 0.19,"0,5283","0,3946",82245,61424,"136,6196","102,0332","30,7811","25,0593",155665,"258,5797",602,162985,50043,"0,2349",213028,"270,7392","83,1279","353,8671","0,8931","0,0417","0,2333","0,0595",30144,130785,32200,308,"50,0731","217,2508","53,4884","0,5116",8861680,"0,9371"
0.19 .. 0.20,"0,5326","0,3868",64321,46718,"135,9852","98,7696","31,7768","25,7103",120771,"255,3298",473,126319,38909,"0,2355",165228,"267,0592","82,2600","349,3192","0,8958","0,0398","0,2346","0,0578",24617,102367,23952,161,"52,0444","216,4207","50,6385","0,3404",8982451,"0,9499"
0.20 .. 0.21,"0,5261","0,3948",53796,40367,"135,1658","101,4246","31,3850","26,1352",102259,"256,9322",398,106996,33340,"0,2376",140336,"268,8342","83,7688","352,6030","0,8933","0,0413","0,2361","0,0589",21903,88531,18465,150,"55,0327","222,4397","46,3945","0,3769",9084710,"0,9607"
0.21 .. 0.22,"0,5237","0,3953",41882,31612,"132,9587","100,3556","30,6490","26,5393",79972,"253,8794",315,83441,25997,"0,2376",109438,"264,8921","82,5302","347,4222","0,8995","0,0423","0,2358","0,0579",17927,69283,14158,75,"56,9111","219,9460","44,9460","0,2381",9164682,"0,9691"
0.22 .. 0.23,"0,5352","0,3870",36419,26334,"135,8918","98,2612","33,1553","27,1136",68044,"253,8955",268,71142,22443,"0,2398",93585,"265,4552","83,7425","349,1978","0,8990","0,0388","0,2391","0,0583",16003,59083,12059,50,"59,7127","220,4590","44,9963","0,1866",9232726,"0,9763"
0.23 .. 0.24,"0,5311","0,3890",27269,19970,"134,9950","98,8614","34,2451","24,7252",51340,"254,1584",202,53692,17005,"0,2405",70697,"265,8020","84,1832","349,9851","0,9020","0,0386","0,2385","0,0566",12611,45160,8532,90,"62,4307","223,5644","42,2376","0,4455",9284066,"0,9817"
