closeDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,"0,6286","0,2875",301353,137806,"157,5290","72,0366","48,0903","29,2871",479369,"250,5849",1913,496157,105449,"0,1753",601606,"259,3607","55,1223","314,4830","0,1733","0,0481",46044,441786,54371,1030,"24,0690","230,9388","28,4219","0,5384",479369,"0,1107"
17:00:30,"0,6206","0,2947",412217,195761,"156,9752","74,5472","46,6665","29,9856",664241,"252,9478",2626,687923,148972,"0,1780",836895,"261,9661","56,7296","318,6957","0,1764","0,0474",61026,609196,78727,2178,"23,2391","231,9863","29,9798","0,8294",1143610,"0,2641"
17:01:00,"0,6205","0,2945",298237,141555,"158,2159","75,0557","46,6862","30,6837",480672,"254,8632",1886,497967,109341,"0,1800",607308,"264,0334","57,9751","322,0085","0,1786","0,0481",44199,439991,57976,2374,"23,4353","233,2932","30,7402","1,2587",1624282,"0,3750"
17:01:30,"0,6214","0,2936",214551,101377,"159,3990","75,3172","45,5514","29,9542",345269,"256,5149",1346,357611,78850,"0,1807",436461,"265,6842","58,5810","324,2652","0,1792","0,0488",31349,316587,41024,1168,"23,2905","235,2058","30,4785","0,8678",1969551,"0,4548"
17:02:00,"0,6194","0,2954",169119,80647,"162,7709","77,6198","45,1355","28,9355",273015,"262,7671",1039,282905,62416,"0,1807",345321,"272,2859","60,0731","332,3590","0,1788","0,0463",25485,251060,31845,1042,"24,5284","241,6362","30,6497","1,0029",2242566,"0,5178"
17:02:30,"0,6195","0,2943",116849,55518,"163,1969","77,5391","43,4334","26,6739",188626,"263,4441",716,195650,44589,"0,1856",240239,"273,2542","62,2751","335,5293","0,1844","0,0477",17930,172083,23567,1232,"25,0419","240,3394","32,9148","1,7207",2431192,"0,5613"
17:03:00,"0,6170","0,2993",97315,47208,"163,8300","79,4747","44,8032","30,7068",157723,"265,5269",594,163562,37438,"0,1863",201000,"275,3569","63,0269","338,3838","0,1854","0,0453",14635,143844,19718,836,"24,6380","242,1616","33,1953","1,4074",2588915,"0,5978"
17:03:30,"0,6219","0,2920",72398,33987,"166,8157","78,3111","44,2398","28,8360",116413,"268,2327",434,120584,27299,"0,1846",147883,"277,8433","62,9009","340,7442","0,1827","0,0471",10274,106913,13671,797,"23,6728","246,3433","31,5000","1,8364",2705328,"0,6246"
17:04:00,"0,6090","0,3044",62289,31137,"160,5387","80,2500","44,8303","29,0929",102283,"263,6160",388,106230,25051,"0,1908",131281,"273,7887","64,5644","338,3531","0,1905","0,0507",9338,93688,12542,856,"24,0670","241,4639","32,3247","2,2062",2807611,"0,6483"
17:04:30,"0,6161","0,3008",49432,24132,"167,0000","81,5270","42,8150","29,7358",80233,"271,0574",296,83268,19146,"0,1869",102414,"281,3108","64,6824","345,9932","0,1859","0,0469",7908,72445,10823,432,"26,7162","244,7466","36,5642","1,4595",2887844,"0,6668"
17:05:00,"0,6200","0,2969",49993,23940,"168,3266","80,6061","43,0470","29,1886",80635,"271,4983",297,83665,19434,"0,1885",103099,"281,7003","65,4343","347,1347","0,1871","0,0461",7813,73432,10233,692,"26,3064","247,2458","34,4545","2,3300",2968479,"0,6854"
17:05:30,"0,6182","0,3013",41836,20388,"166,6773","81,2271","43,4417","29,2058",67678,"269,6335",251,70185,16654,"0,1918",86839,"279,6215","66,3506","345,9721","0,1913","0,0495",6132,61463,8722,499,"24,4303","244,8725","34,7490","1,9880",3036157,"0,7010"
17:06:00,"0,6083","0,3077",34473,17437,"166,5362","84,2367","44,3586","32,9803",56667,"273,7536",207,58697,13527,"0,1873",72224,"283,5604","65,3478","348,9082","0,1865","0,0470",5322,51853,6844,186,"25,7101","250,4976","33,0628","0,8986",3092824,"0,7141"
17:06:30,"0,6215","0,2947",30387,14409,"172,6534","81,8693","43,4741","30,7802",48896,"277,8182",176,50652,11738,"0,1881",62390,"287,7955","66,6932","354,4886","0,1873","0,0477",4366,44479,6173,204,"24,8068","252,7216","35,0739","1,1591",3141720,"0,7254"
17:07:00,"0,6228","0,2968",22906,10916,"174,8550","83,3282","39,8287","27,7484",36780,"280,7634",131,38128,9050,"0,1918",47178,"291,0534","69,0840","360,1374","0,1904","0,0462",3765,33779,4349,612,"28,7405","257,8550","33,1985","4,6718",3178500,"0,7339"
17:07:30,"0,6152","0,3041",20869,10316,"172,4711","85,2562","37,3558","25,6072",33921,"280,3388",121,35187,8582,"0,1961",43769,"290,8017","70,9256","361,7273","0,1962","0,0513",3213,31229,3958,544,"26,5537","258,0909","32,7107","4,4959",3212421,"0,7417"
17:08:00,"0,6098","0,3067",19307,9712,"170,8584","85,9469","39,7941","30,8619",31663,"280,2035",113,32865,7964,"0,1951",40829,"290,8407","70,4779","361,3186","0,1933","0,0483",3117,29083,3782,100,"27,5841","257,3717","33,4690","0,8850",3244084,"0,7490"
17:08:30,"0,6022","0,3149",18254,9546,"169,0185","88,3889","42,8501","29,8145",30314,"280,6852",108,31537,7433,"0,1907",38970,"292,0093","68,8241","360,8333","0,1899","0,0413",2953,27770,3767,48,"27,3426","257,1296","34,8796","0,4444",3274398,"0,7560"
17:09:00,"0,6169","0,3040",15224,7502,"173,0000","85,2500","36,4903","23,7765",24680,"280,4545",88,25552,6375,"0,1997",31927,"290,3636","72,4432","362,8068","0,1985","0,0461",2520,22437,3115,34,"28,6364","254,9659","35,3977","0,3864",3299078,"0,7617"
17:09:30,"0,6047","0,3090",16542,8452,"174,1263","88,9684","36,7802","28,3781",27355,"287,9474",95,28322,6419,"0,1848",34741,"298,1263","67,5684","365,6947","0,1844","0,0408",2939,25181,3141,98,"30,9368","265,0632","33,0632","1,0316",3326433,"0,7681"
17:10:00,"0,5940","0,3234",11532,6278,"167,1304","90,9855","45,0330","27,1627",19414,"281,3623",69,20165,4801,"0,1923",24966,"292,2464","69,5797","361,8261","0,1923","0,0448",2086,18036,2129,34,"30,2319","261,3913","30,8551","0,4928",3345847,"0,7725"
17:10:30,"0,6231","0,3014",11938,5774,"173,0145","83,6812","44,0374","30,5474",19160,"277,6812",69,19896,4599,"0,1878",24495,"288,3478","66,6522","355,0000","0,1886","0,0430",2188,17307,2589,69,"31,7101","250,8261","37,5217","1,0000",3365007,"0,7770"
17:11:00,"0,6030","0,3179",13170,6943,"168,8462","89,0128","49,0667","31,7799",21839,"279,9872",78,22677,5341,"0,1906",28018,"290,7308","68,4744","359,2051","0,1897","0,0538",2125,20166,2511,59,"27,2436","258,5385","32,1923","0,7564",3386846,"0,7820"
17:11:30,"0,6156","0,3038",11644,5747,"179,1385","88,4154","36,9665","27,2261",18916,"291,0154",65,19579,4591,"0,1899",24170,"301,2154","70,6308","371,8462","0,1906","0,0438",1962,17124,2455,23,"30,1846","263,4462","37,7692","0,3538",3405762,"0,7864"
17:12:00,"0,6133","0,2980",12525,6086,"173,9583","84,5278","31,8658","24,9388",20423,"283,6528",72,21138,5620,"0,2100",26758,"293,5833","78,0556","371,6389","0,2096","0,0544",2318,18292,2846,76,"32,1944","254,0556","39,5278","1,0556",3426185,"0,7911"
17:12:30,"0,6089","0,3134",10516,5412,"175,2667","90,2000","34,9723","26,7674",17270,"287,8333",60,17947,4203,"0,1898",22150,"299,1167","70,0500","369,1667","0,1881","0,0422",1967,15456,2491,31,"32,7833","257,6000","41,5167","0,5167",3443455,"0,7951"
17:13:00,"0,6264","0,2944",12749,5993,"184,7681","86,8551","37,2898","30,5829",20354,"294,9855",69,21079,4922,"0,1893",26001,"305,4928","71,3333","376,8261","0,1888","0,0466",2279,18216,2863,59,"33,0290","264,0000","41,4928","0,8551",3463809,"0,7998"
17:13:30,"0,6162","0,2978",8665,4187,"176,8367","85,4490","33,7641","23,6186",14062,"286,9796",49,14570,3536,"0,1953",18106,"297,3469","72,1633","369,5102","0,1937","0,0410",1502,12736,1834,47,"30,6531","259,9184","37,4286","0,9592",3477871,"0,8030"
17:14:00,"0,6148","0,3121",8293,4210,"180,2826","91,5217","39,2792","34,2318",13490,"293,2609",46,13979,3255,"0,1889",17234,"303,8913","70,7609","374,6522","0,1881","0,0424",1743,12192,1787,36,"37,8913","265,0435","38,8478","0,7826",3491361,"0,8061"
17:14:30,"0,6118","0,3018",9222,4549,"184,4400","90,9800","35,3554","37,1712",15073,"301,4600",50,15595,3296,"0,1745",18891,"311,9000","65,9200","377,8200","0,1741","0,0468",1405,14052,1543,64,"28,1000","281,0400","30,8600","1,2800",3506434,"0,8096"
17:15:00,"0,6073","0,3115",9008,4621,"173,2308","88,8654","40,4311","26,0089",14833,"285,2500",52,15423,3896,"0,2017",19319,"296,5962","74,9231","371,5192","0,2008","0,0556",1755,13530,1893,31,"33,7500","260,1923","36,4038","0,5962",3521267,"0,8130"
17:15:30,"0,6055","0,3150",9839,5118,"178,8909","93,0545","41,2221","38,9626",16249,"295,4364",55,16858,3756,"0,1822",20614,"306,5091","68,2909","374,8000","0,1821","0,0482",1946,14528,2330,25,"35,3818","264,1455","42,3636","0,4545",3537516,"0,8168"
17:16:00,"0,6109","0,3122",8662,4426,"176,7755","90,3265","43,0227","42,1622",14179,"289,3673",49,14733,3410,"0,1880",18143,"300,6735","69,5918","370,2653","0,1872","0,0464",1376,12595,2138,53,"28,0816","257,0408","43,6327","1,0816",3551695,"0,8201"
17:16:30,"0,6229","0,2994",10045,4828,"176,2281","84,7018","36,1517","29,5385",16126,"282,9123",57,16739,4108,"0,1971",20847,"293,6667","72,0702","365,7368","0,1959","0,0453",2336,14316,2423,44,"40,9825","251,1579","42,5088","0,7719",3567821,"0,8238"
17:17:00,"0,5981","0,3144",8091,4253,"175,8913","92,4565","42,6351","32,8241",13527,"294,0652",46,14025,3381,"0,1942",17406,"304,8913","73,5000","378,3913","0,1939","0,0470",1332,12538,1487,17,"28,9565","272,5652","32,3261","0,3696",3581348,"0,8269"
17:17:30,"0,6108","0,3054",7132,3566,"178,3000","89,1500","37,9185","29,3041",11677,"291,9250",40,12101,2820,"0,1890",14921,"302,5250","70,5000","373,0250","0,1875","0,0498",1249,10686,1415,46,"31,2250","267,1500","35,3750","1,1500",3593025,"0,8296"
