emissionDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,"0,6465","0,2675",1489,616,"165,4444","68,4444","39,1269","25,6347",2303,"255,8889",9,2377,436,"0,1550",2813,"264,1111","48,4444","312,5556","0,1470","0,0609",259,2110,267,0,"28,7778","234,4444","29,6667","0,0000",2303,"0,0005"
17:00:30,"0,6203","0,3010",7561,3669,"151,2200","73,3800","57,3632","35,2005",12190,"243,8000",50,12668,2650,"0,1730",15318,"253,3600","53,0000","306,3600","0,1701","0,0442",1136,11118,1550,4,"22,7200","222,3600","31,0000","0,0800",14493,"0,0033"
17:01:00,"0,6271","0,2895",10617,4901,"168,5238","77,7937","47,1946","27,8244",16929,"268,7143",63,17483,3771,"0,1774",21254,"277,5079","59,8571","337,3651","0,1755","0,0500",1321,15463,2020,159,"20,9683","245,4444","32,0635","2,5238",31422,"0,0073"
17:01:30,"0,6306","0,2862",62307,28278,"157,7392","71,5899","46,2256","30,5892",98811,"250,1544",395,102326,21067,"0,1707",123393,"259,0532","53,3342","312,3873","0,1679","0,0503",9940,91585,10741,219,"25,1646","231,8608","27,1924","0,5544",130233,"0,0301"
17:02:00,"0,6327","0,2855",179407,80965,"157,3746","70,9597","47,2754","27,8576",283551,"248,5110",1141,293603,62972,"0,1766",356575,"257,3208","55,1902","312,5110","0,1747","0,0466",27488,260700,32903,583,"24,0911","228,4838","28,8370","0,5110",413784,"0,0955"
17:02:30,"0,6232","0,2929",264981,124563,"156,1467","73,4019","47,2523","29,2792",425218,"250,5704",1697,440517,94962,"0,1773",535479,"259,5857","55,9588","315,5445","0,1754","0,0491",40055,390892,49625,791,"23,6034","230,3430","29,2428","0,4661",839002,"0,1937"
17:03:00,"0,6208","0,2957",258709,123201,"156,7933","74,6673","47,2003","30,0923",416710,"252,5515",1650,431178,94197,"0,1793",525375,"261,3200","57,0891","318,4091","0,1777","0,0479",38958,381519,49659,1883,"23,6109","231,2236","30,0964","1,1412",1255712,"0,2899"
17:03:30,"0,6218","0,2914",235349,110289,"160,5382","75,2312","45,6228","31,2920",378481,"258,1726",1466,392099,85620,"0,1792",477719,"267,4618","58,4038","325,8656","0,1779","0,0502",35415,345440,46659,1486,"24,1576","235,6344","31,8274","1,0136",1634193,"0,3773"
17:04:00,"0,6169","0,2984",183551,88792,"160,3066","77,5476","46,2876","30,9001",297547,"259,8664",1145,308114,68714,"0,1823",376828,"269,0952","60,0122","329,1074","0,1808","0,0473",26754,272647,35467,1398,"23,3659","238,1197","30,9755","1,2210",1931740,"0,4460"
17:04:30,"0,6189","0,2972",157764,75760,"162,4758","78,0227","43,9226","29,0389",254909,"262,5221",971,264203,58924,"0,1824",323127,"272,0937","60,6838","332,7775","0,1810","0,0464",23178,232981,31222,1299,"23,8702","239,9392","32,1545","1,3378",2186649,"0,5049"
17:05:00,"0,6180","0,2955",119331,57056,"163,4671","78,1589","44,2487","28,6922",193086,"264,5014",730,200192,43989,"0,1801",244181,"274,2356","60,2589","334,4945","0,1784","0,0454",17751,177063,23129,841,"24,3164","242,5521","31,6836","1,1521",2379735,"0,5495"
17:05:30,"0,6172","0,2966",97444,46835,"161,8671","77,7990","44,6220","26,6963",157881,"262,2608",602,163785,37645,"0,1869",201430,"272,0681","62,5332","334,6013","0,1856","0,0437",14264,145188,18597,1022,"23,6944","241,1761","30,8920","1,6977",2537616,"0,5859"
17:06:00,"0,6161","0,2951",79343,38006,"165,2979","79,1792","42,1316","29,8396",128793,"268,3188",480,133454,30487,"0,1860",163941,"278,0292","63,5146","341,5437","0,1853","0,0466",11841,118264,15190,701,"24,6687","246,3833","31,6458","1,4604",2666409,"0,6157"
17:06:30,"0,6108","0,3022",63777,31551,"162,6964","80,4872","44,7141","31,6071",104420,"266,3776",392,108362,24760,"0,1860",133122,"276,4337","63,1633","339,5969","0,1858","0,0447",9267,95596,12766,1117,"23,6403","243,8673","32,5663","2,8495",2770829,"0,6398"
17:07:00,"0,6243","0,2932",56672,26617,"164,7442","77,3750","46,8313","27,8056",90779,"263,8924",344,94253,21925,"0,1887",116178,"273,9913","63,7355","337,7267","0,1867","0,0469",9076,82715,11538,590,"26,3837","240,4506","33,5407","1,7151",2861608,"0,6607"
17:07:30,"0,6162","0,2980",46968,22710,"166,5532","80,5319","44,9934","29,7533",76216,"270,2695",282,79076,18071,"0,1860",97147,"280,4113","64,0816","344,4929","0,1857","0,0482",6930,69088,9988,592,"24,5745","244,9929","35,4184","2,0993",2937824,"0,6783"
17:08:00,"0,6048","0,3109",38628,19855,"165,0769","84,8504","43,5020","33,7804",63872,"272,9573",234,66249,15718,"0,1918",81967,"283,1154","67,1709","350,2863","0,1900","0,0483",5871,58477,7772,379,"25,0897","249,9017","33,2137","1,6197",3001696,"0,6931"
