onlyPresidentVotesRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,votersReleasedByCodeRatio,votersReleasedByCodeRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
1.0500 .. 1.0543,"0,6957","0,2500",64,23,"64,0000","23,0000","0,0000","0,0000",92,"92,0000",1,99,15,"0,1316",114,"99,0000","15,0000","114,0000","0,1414",NaN,"0,1316",NaN,14,76,23,0,"14,0000","76,0000","23,0000","0,0000",92,"0,0000"
1.0300 .. 1.0313,"0,6979","0,1875",67,18,"67,0000","18,0000","0,0000","0,0000",96,"96,0000",1,102,9,"0,0811",111,"102,0000","9,0000","111,0000","0,2843",NaN,"0,0811",NaN,29,97,5,0,"29,0000","97,0000","5,0000","0,0000",188,"0,0000"
1.0200 .. 1.0201,"0,5745","0,3370",779,457,"97,3750","57,1250","48,3398","23,3529",1356,"169,5000",8,1437,241,"0,1436",1678,"179,6250","30,1250","209,7500","0,1579","0,0692","0,1320","0,0477",213,1159,278,0,"26,6250","144,8750","34,7500","0,0000",1544,"0,0004"
1.0100 .. 1.0106,"0,5897","0,3087",2111,1105,"111,1053","58,1579","49,2768","32,7161",3580,"188,4211",19,3733,689,"0,1558",4422,"196,4737","36,2632","232,7368","0,1329","0,0866","0,1590","0,0388",458,3268,465,0,"24,1053","172,0000","24,4737","0,0000",5124,"0,0012"
1.0000 .. 1.0030,"0,6066","0,2912",8608,4132,"151,0175","72,4912","44,6037","30,8472",14191,"248,9649",57,14780,3098,"0,1733",17878,"259,2982","54,3509","313,6491","0,1328","0,0760","0,1697","0,0505",1833,13000,1780,0,"32,1579","228,0702","31,2281","0,0000",19315,"0,0045"
1.00 .. 0.99,"0,5928","0,3083",57680,29996,"146,0253","75,9392","52,7907","37,3633",97305,"246,3418",395,100581,20090,"0,1665",120671,"254,6354","50,8608","305,4962","0,1158","0,0686","0,1640","0,0493",10955,89452,11129,8,"27,7342","226,4608","28,1747","0,0203",116620,"0,0269"
0.99 .. 0.98,"0,6156","0,2921",140371,66613,"162,8434","77,2773","49,7098","33,6981",228010,"264,5128",862,235420,48551,"0,1710",283971,"273,1090","56,3237","329,4327","0,1100","0,0694","0,1696","0,0440",24920,208767,26653,55,"28,9095","242,1891","30,9200","0,0638",344630,"0,0796"
0.98 .. 0.97,"0,6152","0,2950",263587,126416,"163,4141","78,3732","46,3414","32,5437",428486,"265,6454",1613,442526,93976,"0,1752",536502,"274,3497","58,2616","332,6113","0,1093","0,0660","0,1735","0,0431",46719,390015,52511,153,"28,9640","241,7948","32,5549","0,0949",773116,"0,1785"
0.97 .. 0.96,"0,6245","0,2898",366355,170008,"168,5166","78,2006","45,4243","32,0546",586651,"269,8487",2174,606444,131324,"0,1780",737768,"278,9531","60,4066","339,3597","0,1063","0,0676","0,1765","0,0454",62916,535160,71284,361,"28,9402","246,1638","32,7893","0,1661",1359767,"0,3140"
0.96 .. 0.95,"0,6314","0,2860",413207,187151,"168,9317","76,5131","43,0342","29,6773",654403,"267,5401",2446,677118,150469,"0,1818",827587,"276,8267","61,5164","338,3430","0,1048","0,0640","0,1802","0,0448",69119,595523,81595,425,"28,2580","243,4681","33,3585","0,1738",2014170,"0,4651"
0.95 .. 0.94,"0,6349","0,2844",401608,179906,"172,2900","77,1798","43,3411","28,9440",632546,"271,3625",2331,655270,146566,"0,1828",801836,"281,1111","62,8769","343,9880","0,1017","0,0652","0,1813","0,0461",64937,576749,78521,423,"27,8580","247,4256","33,6855","0,1815",2646716,"0,6111"
0.9300 .. 0.9300,"0,6321","0,2883",321291,146546,"169,9053","77,4966","43,8893","27,8205",508271,"268,7842",1891,527441,121308,"0,1870",648749,"278,9217","64,1502","343,0719","0,1012","0,0667","0,1853","0,0484",51840,465631,61810,444,"27,4141","246,2353","32,6864","0,2348",3154987,"0,7285"
0.93 .. 0.92,"0,6265","0,2951",246491,116117,"169,4096","79,8055","42,3713","27,9122",393450,"270,4124",1455,408647,94979,"0,1886",503626,"280,8570","65,2777","346,1347","0,0933","0,0637","0,1872","0,0467",37186,361103,47544,534,"25,5574","248,1808","32,6763","0,3670",3548437,"0,8193"
0.92 .. 0.91,"0,6196","0,3038",162809,79819,"165,6246","81,1994","44,3741","29,7122",262755,"267,2991",983,273114,65125,"0,1925",338239,"277,8372","66,2513","344,0885","0,0921","0,0613","0,1909","0,0507",24579,241904,31210,384,"25,0041","246,0875","31,7497","0,3906",3811192,"0,8800"
0.91 .. 0.90,"0,6151","0,3092",108293,54438,"161,6313","81,2507","44,1236","27,1560",176068,"262,7881",670,183117,46418,"0,2022",229535,"273,3090","69,2806","342,5896","0,0928","0,0629","0,2012","0,0503",16583,162081,21036,407,"24,7507","241,9119","31,3970","0,6075",3987260,"0,9206"
0.90 .. 0.89,"0,6069","0,3183",72135,37839,"158,5385","83,1626","43,7352","29,3626",118862,"261,2352",455,123743,32097,"0,2060",155840,"271,9626","70,5429","342,5055","0,0952","0,0667","0,2042","0,0498",11448,108434,15309,443,"25,1604","238,3165","33,6462","0,9736",4106122,"0,9481"
0.89 .. 0.88,"0,5928","0,3334",43922,24700,"149,9044","84,3003","48,5170","33,2803",74089,"252,8635",293,77238,20026,"0,2059",97264,"263,6109","68,3481","331,9590","0,0954","0,0721","0,2038","0,0528",7125,67652,9586,468,"24,3174","230,8942","32,7167","1,5973",4180211,"0,9652"
0.88 .. 0.87,"0,5810","0,3451",26469,15722,"147,8715","87,8324","46,7912","31,7083",45561,"254,5307",179,47703,13212,"0,2169",60915,"266,4972","73,8101","340,3073","0,0933","0,0576","0,2144","0,0632",4370,41468,6235,455,"24,4134","231,6648","34,8324","2,5419",4225772,"0,9757"
0.8600 .. 0.8602,"0,5584","0,3653",15995,10463,"144,0991","94,2613","44,7866","35,3667",28645,"258,0631",111,29814,7983,"0,2112",37797,"268,5946","71,9189","340,5135","0,1150","0,0937","0,2084","0,0573",3173,25889,3925,736,"28,5856","233,2342","35,3604","6,6306",4254417,"0,9823"
