votersReleasedByCodeRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,onlyPresidentVotesRatio,onlyPresidentVotesRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
0.00 .. 0.01,0.5401,0.3679,8308,5659,118.6857,80.8429,70.3401,48.9900,15383,219.7571,70,15923,3739,0.1902,19662,227.4714,53.4143,280.8857,0.9218,0.0576,0.1951,0.0939,102,11752,4171,128,1.4571,167.8857,59.5857,1.8286,15383,0.0036
0.01 .. 0.02,0.5903,0.3157,41520,22206,165.4183,88.4701,53.5060,42.7940,70335,280.2191,251,72851,15223,0.1728,88074,290.2430,60.6494,350.8924,0.9321,0.0327,0.1716,0.0507,1163,61152,11699,406,4.6335,243.6335,46.6096,1.6175,85718,0.0198
0.02 .. 0.03,0.6066,0.3003,114137,56509,173.7245,86.0107,45.5401,34.8510,188169,286.4064,657,195082,40373,0.1715,235455,296.9285,61.4505,358.3790,0.9306,0.0487,0.1712,0.0448,5029,174324,20758,2143,7.6545,265.3333,31.5951,3.2618,273887,0.0632
0.03 .. 0.04,0.6140,0.2941,207627,99452,175.6574,84.0676,43.3870,32.5971,338172,285.8597,1183,350832,73144,0.1725,423976,296.5613,61.8292,358.3905,0.9331,0.0579,0.1715,0.0452,12313,317480,33352,3712,10.4083,268.3686,28.1927,3.1378,612059,0.1413
0.04 .. 0.05,0.6134,0.2959,232279,112061,174.2528,84.0668,40.7925,31.9153,378669,284.0728,1333,392404,82822,0.1743,475226,294.3766,62.1320,356.5086,0.9376,0.0440,0.1732,0.0428,17652,356034,36370,2660,13.2423,267.0923,27.2843,1.9955,990728,0.2288
0.05 .. 0.06,0.6117,0.2981,248784,121238,171.5752,83.6124,40.5881,30.6186,406713,280.4917,1450,421732,90343,0.1764,512075,290.8497,62.3055,353.1552,0.9428,0.0404,0.1751,0.0421,23166,381482,40250,2228,15.9766,263.0910,27.7586,1.5366,1397441,0.3227
0.06 .. 0.07,0.6037,0.3074,217224,110597,165.9465,84.4897,40.8632,29.7450,359832,274.8908,1309,372909,82453,0.1811,455362,284.8808,62.9893,347.8701,0.9443,0.0327,0.1799,0.0451,24229,332607,40302,1344,18.5095,254.0924,30.7884,1.0267,1757273,0.4057
0.07 .. 0.08,0.6080,0.3079,199863,101198,164.2260,83.1537,41.4843,31.9328,328702,270.0920,1217,340360,75852,0.1822,416212,279.6713,62.3270,341.9984,0.9445,0.0374,0.1808,0.0456,25471,300154,40206,984,20.9293,246.6343,33.0370,0.8085,2085975,0.4816
0.08 .. 0.09,0.6171,0.3002,163819,79698,163.4920,79.5389,44.9189,29.3372,265467,264.9371,1002,274815,61928,0.1839,336743,274.2665,61.8044,336.0709,0.9448,0.0408,0.1825,0.0463,23352,241266,33549,894,23.3054,240.7844,33.4820,0.8922,2351442,0.5429
0.09 .. 0.10,0.6176,0.3023,149033,72941,164.1333,80.3315,42.8365,28.2293,241299,265.7478,908,249841,57103,0.1860,306944,275.1553,62.8888,338.0441,0.9455,0.0314,0.1848,0.0472,23704,217634,32207,193,26.1057,239.6850,35.4703,0.2126,2592741,0.5986
