closeDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,"0,5319","0,3602",545029,369012,"123,8139","83,8092","33,5488","27,9830",1024592,"232,7032",4403,1081960,312508,"0,2241",1394468,"245,7325","70,9762","316,7086","0,2248","0,0601",88372,916014,165946,1805,"20,0709","208,0432","37,6893","0,4099",1024592,"0,0399"
17:00:30,"0,5331","0,3607",935715,633197,"124,6125","84,3251","33,0360","27,8231",1755296,"233,7590",7509,1853732,533225,"0,2234",2386957,"246,8680","71,0115","317,8795","0,2242","0,0604",143142,1570020,283712,2634,"19,0627","209,0851","37,7829","0,3508",2779888,"0,1084"
17:01:00,"0,5277","0,3645",978305,675654,"125,5042","86,6668","33,0531","27,7923",1853807,"237,7895",7796,1958942,556199,"0,2211",2515141,"251,2753","71,3442","322,6194","0,2216","0,0580",148471,1654316,304626,2878,"19,0445","212,2006","39,0747","0,3692",4633695,"0,1806"
17:01:30,"0,5205","0,3694",875198,621159,"124,7609","88,5473","32,5571","28,7578",1681477,"239,6974",7015,1776777,500792,"0,2199",2277569,"253,2825","71,3887","324,6713","0,2206","0,0580",133037,1490019,286758,2524,"18,9646","212,4047","40,8778","0,3598",6315172,"0,2461"
17:02:00,"0,5124","0,3760",801159,587892,"124,1337","91,0754","33,1706","29,0581",1563479,"242,2121",6455,1652913,464824,"0,2195",2117737,"256,0671","72,0099","328,0770","0,2201","0,0573",123052,1367066,285847,2233,"19,0631","211,7840","44,2830","0,3459",7878651,"0,3071"
17:02:30,"0,5046","0,3823",687946,521232,"123,0893","93,2603","32,8592","29,4477",1363313,"243,9279",5589,1442363,402836,"0,2183",1845199,"258,0717","72,0766","330,1483","0,2189","0,0570",106548,1188418,253945,2209,"19,0639","212,6352","45,4366","0,3952",9241964,"0,3602"
17:03:00,"0,4993","0,3870",617503,478658,"122,3263","94,8213","33,3557","30,4531",1236732,"244,9945",5048,1308617,363639,"0,2175",1672256,"259,2347","72,0363","331,2710","0,2180","0,0556",95767,1076657,231960,2115,"18,9713","213,2839","45,9509","0,4190",10478696,"0,4084"
17:03:30,"0,4934","0,3912",537492,426138,"122,3241","96,9597","33,6995","31,1891",1089377,"247,8673",4395,1153053,315410,"0,2148",1468463,"262,3556","71,7656","334,1213","0,2155","0,0554",84719,940837,212216,2237,"19,2762","214,0699","48,2858","0,5090",11568073,"0,4509"
17:04:00,"0,4882","0,3955",467084,378421,"120,9749","98,0111","33,3388","31,7255",956838,"247,8213",3861,1014121,278180,"0,2153",1292301,"262,6576","72,0487","334,7063","0,2157","0,0533",74583,825234,188887,1791,"19,3170","213,7358","48,9218","0,4639",12524911,"0,4882"
17:04:30,"0,4791","0,4033",422384,355564,"119,7913","100,8406","33,6010","31,6719",881624,"250,0352",3526,934212,256274,"0,2153",1190486,"264,9495","72,6812","337,6307","0,2159","0,0537",67526,751866,182346,1634,"19,1509","213,2348","51,7147","0,4634",13406535,"0,5226"
17:05:00,"0,4742","0,4069",378934,325173,"119,1242","102,2235","33,2467","32,3289",799152,"251,2267",3181,847335,233998,"0,2164",1081333,"266,3738","73,5611","339,9349","0,2167","0,0538",61763,682946,164389,1450,"19,4162","214,6954","51,6784","0,4558",14205687,"0,5537"
17:05:30,"0,4645","0,4165",318909,285990,"116,5603","104,5285","32,9519","31,7874",686615,"250,9558",2736,727772,200512,"0,2160",928284,"265,9985","73,2865","339,2851","0,2166","0,0535",52171,584637,143135,1260,"19,0683","213,6831","52,3154","0,4605",14892302,"0,5805"
17:06:00,"0,4654","0,4174",279008,250226,"118,1236","105,9382","32,9189","32,6771",599499,"253,8099",2362,636380,174808,"0,2155",811188,"269,4242","74,0085","343,4327","0,2161","0,0537",45119,507637,128743,928,"19,1020","214,9183","54,5059","0,3929",15491801,"0,6038"
17:06:30,"0,4553","0,4265",239231,224091,"116,5843","109,2061","33,1938","33,4634",525386,"256,0361",2052,557622,150824,"0,2129",708446,"271,7456","73,5010","345,2466","0,2134","0,0520",39592,444202,113420,956,"19,2943","216,4727","55,2729","0,4659",16017187,"0,6243"
17:07:00,"0,4589","0,4211",226740,208061,"118,0938","108,3651","32,1293","32,3798",494048,"257,3167",1920,524576,142979,"0,2142",667555,"273,2167","74,4682","347,6849","0,2144","0,0524",38612,416028,108548,889,"20,1104","216,6813","56,5354","0,4630",16511235,"0,6436"
17:07:30,"0,4502","0,4299",196948,188068,"116,3995","111,1513","31,4052","32,8595",437509,"258,5751",1692,464587,126995,"0,2147",591582,"274,5786","75,0561","349,6348","0,2154","0,0517",33234,367702,96885,721,"19,6418","217,3180","57,2606","0,4261",16948744,"0,6606"
17:08:00,"0,4470","0,4324",177433,171646,"116,5788","112,7766","32,9938","32,8857",396935,"260,7983",1522,421668,113090,"0,2115",534758,"277,0486","74,3035","351,3522","0,2116","0,0513",29700,332463,89205,734,"19,5138","218,4382","58,6104","0,4823",17345679,"0,6761"
17:08:30,"0,4469","0,4317",157426,152061,"117,1324","113,1406","32,4949","32,2370",352276,"262,1101",1344,374234,102765,"0,2154",476999,"278,4479","76,4621","354,9100","0,2158","0,0528",26926,293953,80281,457,"20,0342","218,7150","59,7329","0,3400",17697955,"0,6898"
17:09:00,"0,4391","0,4394",141773,141868,"115,1690","115,2461","32,2342","32,7763",322882,"262,2924",1231,343516,93084,"0,2132",436600,"279,0544","75,6166","354,6710","0,2133","0,0496",24895,271442,72074,619,"20,2234","220,5053","58,5491","0,5028",18020837,"0,7024"
17:09:30,"0,4393","0,4391",131108,131057,"116,4369","116,3917","32,0260","31,2394",298462,"265,0639",1126,317010,85285,"0,2120",402295,"281,5364","75,7416","357,2780","0,2123","0,0497",22958,250627,66383,660,"20,3890","222,5817","58,9547","0,5861",18319299,"0,7140"
17:10:00,"0,4347","0,4447",114929,117562,"115,7392","118,3907","32,5335","31,5703",264365,"266,2286",993,280689,76326,"0,2138",357015,"282,6677","76,8640","359,5317","0,2137","0,0487",20400,223004,57685,568,"20,5438","224,5760","58,0916","0,5720",18583664,"0,7243"
