emissionDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:00:00,"0,4840","0,3891",1331,1070,"110,9167","89,1667","47,7955","36,7034",2750,"229,1667",12,2911,885,"0,2331",3796,"242,5833","73,7500","316,3333","0,2534","0,1010",285,2279,632,4,"23,7500","189,9167","52,6667","0,3333",2750,"0,0001"
17:00:30,"0,5198","0,3606",7076,4909,"126,3571","87,6607","36,8396","28,0289",13612,"243,0714",56,14344,4050,"0,2202",18394,"256,1429","72,3214","328,4643","0,2208","0,0572",1220,11848,2496,13,"21,7857","211,5714","44,5714","0,2321",16362,"0,0006"
17:01:00,"0,4969","0,3827",15424,11879,"118,6462","91,3769","34,9784","35,0172",31041,"238,7769",130,32745,9289,"0,2210",42034,"251,8846","71,4538","323,3385","0,2221","0,0619",2768,27473,5272,172,"21,2923","211,3308","40,5538","1,3231",47403,"0,0018"
17:01:30,"0,5143","0,3726",83138,60239,"121,7247","88,0687","34,5293","29,4520",161651,"236,3319",684,170778,47450,"0,2174",218228,"249,6754","69,3713","319,0468","0,2185","0,0568",14248,142240,28538,364,"20,8304","207,9532","41,7222","0,5322",209054,"0,0081"
17:02:00,"0,5286","0,3647",303260,209227,"122,9765","84,8447","33,0399","28,2854",573751,"232,6646",2466,606252,173168,"0,2222",779420,"245,8443","70,2222","316,0665","0,2230","0,0614",48850,514001,92251,1018,"19,8094","208,4351","37,4092","0,4128",782805,"0,0305"
17:02:30,"0,5310","0,3613",559413,380623,"124,8969","84,9795","32,8806","27,4807",1053469,"235,2018",4479,1112838,316439,"0,2214",1429277,"248,4568","70,6495","319,1063","0,2220","0,0593",87677,943318,169520,1512,"19,5751","210,6091","37,8477","0,3376",1836274,"0,0716"
17:03:00,"0,5282","0,3630",721646,496009,"124,7228","85,7257","33,1728","27,9115",1366301,"236,1391",5786,1443530,409918,"0,2212",1853448,"249,4867","70,8465","320,3332","0,2218","0,0592",110110,1219131,224399,1982,"19,0304","210,7036","38,7831","0,3426",3202575,"0,1248"
17:03:30,"0,5250","0,3667",766846,535558,"124,9138","87,2244","32,8581","27,8944",1460572,"237,8782",6140,1543062,439580,"0,2217",1982642,"251,3130","71,5928","322,9059","0,2221","0,0576",118001,1301809,241253,2059,"19,2184","212,0210","39,2920","0,3353",4663147,"0,1818"
17:04:00,"0,5160","0,3738",783278,567392,"124,0345","89,8341","32,7695","29,2518",1517869,"240,3212",6316,1604970,451825,"0,2197",2056795,"254,1118","71,5366","325,6484","0,2204","0,0578",119674,1340639,264331,2562,"18,9478","212,2608","41,8510","0,4056",6181016,"0,2409"
17:04:30,"0,5138","0,3751",725962,529915,"124,6501","90,9882","33,0408","29,1969",1412912,"242,6016",5824,1493863,416148,"0,2179",1910011,"256,5012","71,4540","327,9552","0,2188","0,0571",110220,1237405,256458,2236,"18,9251","212,4665","44,0347","0,3839",7593928,"0,2960"
17:05:00,"0,5087","0,3790",672124,500728,"123,8938","92,2831","33,3202","29,9059",1321325,"243,5173",5426,1397338,393334,"0,2197",1790672,"257,5264","72,4906","330,0170","0,2201","0,0572",103854,1155145,242193,2028,"19,1401","212,8907","44,6356","0,3738",8915253,"0,3475"
17:05:30,"0,5000","0,3860",588694,454487,"122,1864","94,3311","33,2070","30,6411",1177434,"244,3823",4818,1245616,346357,"0,2176",1591973,"258,5338","71,8881","330,4220","0,2181","0,0571",91133,1019313,226303,1966,"18,9151","211,5635","46,9703","0,4081",10092687,"0,3934"
17:06:00,"0,4951","0,3900",540217,425578,"122,0829","96,1758","33,2193","30,7039",1091234,"246,6066",4425,1154876,319158,"0,2165",1474034,"260,9889","72,1261","333,1150","0,2173","0,0544",84231,943580,211296,1983,"19,0353","213,2384","47,7505","0,4481",11183921,"0,4359"
17:06:30,"0,4937","0,3914",484680,384255,"121,7483","96,5222","33,4259","31,3521",981696,"246,5953",3981,1039670,288551,"0,2172",1328221,"261,1580","72,4820","333,6400","0,2180","0,0551",77114,850424,189246,1764,"19,3705","213,6207","47,5373","0,4431",12165617,"0,4742"
17:07:00,"0,4824","0,4007",414672,344438,"120,0208","99,6926","33,8294","32,1453",859527,"248,7777",3455,910787,251770,"0,2166",1162557,"263,6142","72,8712","336,4854","0,2171","0,0546",66552,736342,174445,1701,"19,2625","213,1236","50,4906","0,4923",13025144,"0,5077"
17:07:30,"0,4772","0,4055",376324,319798,"119,5059","101,5554","33,4807","32,4878",788691,"250,4576",3149,835951,227922,"0,2142",1063873,"265,4655","72,3792","337,8447","0,2148","0,0534",60146,675811,160140,1528,"19,1000","214,6113","50,8542","0,4852",13813835,"0,5384"
17:08:00,"0,4728","0,4097",331705,287405,"117,7930","102,0614","32,8551","32,3378",701560,"249,1335",2816,743880,206082,"0,2169",949962,"264,1619","73,1825","337,3445","0,2173","0,0553",53277,596940,146940,814,"18,9194","211,9815","52,1804","0,2891",14515395,"0,5658"
17:08:30,"0,4651","0,4172",295325,264951,"117,3788","105,3064","32,9182","32,9230",635022,"252,3935",2516,673773,186930,"0,2172",860703,"267,7953","74,2965","342,0918","0,2179","0,0522",48533,540222,133551,1241,"19,2897","214,7146","53,0807","0,4932",15150417,"0,5905"
