generationDate,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
17:01:00,"0,4926","0,3840",667,520,"95,2857","74,2857","59,5164","33,0182",1354,"193,4286",7,1425,358,"0,2008",1783,"203,5714","51,1429","254,7143","0,2404","0,1233",70,1219,206,4,"10,0000","174,1429","29,4286","0,5714",1354,"0,0001"
17:01:30,"0,5096","0,3707",3849,2800,"124,1613","90,3226","29,1914","37,7328",7553,"243,6452",31,7964,2264,"0,2214",10228,"256,9032","73,0323","329,9355","0,2240","0,0591",443,6512,1452,4,"14,2903","210,0645","46,8387","0,1290",8907,"0,0003"
17:02:00,"0,5219","0,3693",14332,10142,"119,4333","83,8182","34,6609","29,2114",27462,"226,9587",121,28991,8642,"0,2296",37633,"239,5950","71,4215","311,0165","0,2275","0,0614",2024,24388,4603,62,"16,7273","201,5537","38,0413","0,5124",36369,"0,0014"
17:02:30,"0,5261","0,3614",67171,46137,"121,2473","83,2798","35,6361","30,2944",127672,"230,4549",554,134984,38974,"0,2240",173958,"243,6534","70,3502","314,0036","0,2264","0,0621",8235,114025,20959,285,"14,8646","205,8213","37,8321","0,5144",164041,"0,0064"
17:03:00,"0,5333","0,3589",194413,130846,"122,7355","82,6048","33,7412","28,3211",364576,"230,1616",1584,384781,111073,"0,2240",495854,"242,9173","70,1218","313,0391","0,2249","0,0647",25977,324994,59787,609,"16,3996","205,1730","37,7443","0,3845",528617,"0,0206"
17:03:30,"0,5338","0,3593",393878,265088,"123,7054","83,2563","32,8780","28,1293",737808,"231,7236",3184,778594,225052,"0,2242",1003646,"244,5333","70,6822","315,2155","0,2252","0,0607",54890,663634,114960,1136,"17,2393","208,4278","36,1055","0,3568",1266425,"0,0494"
17:04:00,"0,5316","0,3625",561867,383058,"124,3069","84,7286","32,9632","27,9533",1056840,"233,7624",4521,1116421,321251,"0,2235",1437672,"246,9412","71,0575","317,9987","0,2238","0,0599",83342,947606,168815,1528,"18,4344","209,6010","37,3402","0,3380",2323265,"0,0906"
17:04:30,"0,5277","0,3645",701036,484215,"125,3193","86,5597","33,0307","28,1123",1328364,"237,4623",5594,1403313,396852,"0,2205",1800165,"250,8604","70,9424","321,8028","0,2211","0,0587",104346,1187970,215343,2049,"18,6532","212,3650","38,4954","0,3663",3651629,"0,1423"
17:05:00,"0,5218","0,3689",696338,492357,"124,4350","87,9837","32,9196","28,5113",1334594,"238,4907",5596,1410835,401985,"0,2217",1812820,"252,1149","71,8343","323,9492","0,2224","0,0577",106238,1186764,224071,1855,"18,9846","212,0736","40,0413","0,3315",4986223,"0,1943"
17:05:30,"0,5153","0,3744",717689,521398,"124,0818","90,1293","32,8096","29,2225",1392747,"240,7514",5785,1472625,412181,"0,2187",1884806,"254,5592","71,2500","325,8092","0,2194","0,0569",110037,1225384,247241,2299,"19,0211","211,8209","42,7383","0,3974",6378970,"0,2486"
17:06:00,"0,5120","0,3772",673590,496204,"123,9128","91,2643","33,3469","29,3769",1315619,"241,9752",5437,1391504,390345,"0,2191",1781849,"255,9323","71,7942","327,7265","0,2196","0,0569",105103,1147873,243631,2066,"19,3311","211,1225","44,8098","0,3800",7694589,"0,2999"
17:06:30,"0,5061","0,3817",623109,469916,"123,5347","93,1634","33,2483","29,6662",1231188,"244,0896",5044,1302382,364208,"0,2185",1666590,"258,2042","72,2062","330,4104","0,2192","0,0576",97960,1078665,223717,2152,"19,4211","213,8511","44,3531","0,4266",8925777,"0,3479"
17:07:00,"0,4980","0,3870",560537,435570,"122,1480","94,9161","33,1513","30,0586",1125618,"245,2861",4589,1190784,329523,"0,2167",1520307,"259,4866","71,8071","331,2937","0,2172","0,0552",89120,972216,218568,1737,"19,4204","211,8579","47,6287","0,3785",10051395,"0,3918"
17:07:30,"0,4982","0,3876",509604,396488,"123,1225","95,7932","33,1146","30,4165",1022894,"247,1355",4139,1082593,297194,"0,2154",1379787,"261,5591","71,8033","333,3624","0,2159","0,0553",80038,885871,196722,1769,"19,3375","214,0302","47,5289","0,4274",11074289,"0,4316"
17:08:00,"0,4875","0,3953",451252,365940,"120,4624","97,6882","33,7325","31,7663",925730,"247,1249",3746,980606,271148,"0,2166",1251754,"261,7742","72,3833","334,1575","0,2174","0,0549",73987,799417,181189,1849,"19,7509","213,4055","48,3687","0,4936",12000019,"0,4677"
17:08:30,"0,4825","0,4010",415722,345454,"120,4991","100,1316","33,7340","32,0580",861518,"249,7154",3450,913134,251036,"0,2156",1164170,"264,6765","72,7641","337,4406","0,2163","0,0541",67831,739740,173394,1420,"19,6612","214,4174","50,2591","0,4116",12861537,"0,5013"
17:09:00,"0,4780","0,4056",367357,311710,"118,9242","100,9097","32,8469","32,0978",768599,"248,8181",3089,814763,225474,"0,2168",1040237,"263,7627","72,9926","336,7553","0,2170","0,0536",59927,655555,159208,1437,"19,4001","212,2224","51,5403","0,4652",13630136,"0,5313"
17:09:30,"0,4701","0,4111",325711,284843,"118,4404","103,5793","33,3867","32,2075",692838,"251,9411",2750,734815,201957,"0,2156",936772,"267,2055","73,4389","340,6444","0,2162","0,0539",53768,590065,144750,1348,"19,5520","214,5691","52,6364","0,4902",14322974,"0,5583"
17:10:00,"0,4693","0,4117",290955,255262,"118,3225","103,8072","32,2896","32,1436",619986,"252,1293",2459,657690,180080,"0,2150",837770,"267,4624","73,2330","340,6954","0,2152","0,0528",49031,528057,129633,892,"19,9394","214,7446","52,7178","0,3627",14942960,"0,5824"
17:10:30,"0,4630","0,4196",267585,242492,"118,8738","107,7263","32,3723","32,8266",577915,"256,7370",2251,613069,166280,"0,2134",779349,"272,3541","73,8694","346,2235","0,2140","0,0510",44578,491596,121473,1213,"19,8036","218,3900","53,9640","0,5389",15520875,"0,6050"
17:11:00,"0,4624","0,4183",227163,205537,"118,1909","106,9391","32,3833","33,0705",491309,"255,6238",1922,521203,143952,"0,2164",665155,"271,1774","74,8970","346,0744","0,2169","0,0541",37615,415696,105507,825,"19,5708","216,2830","54,8944","0,4292",16012184,"0,6241"
17:11:30,"0,4547","0,4256",214539,200820,"116,9150","109,4387","33,1761","32,5643",471868,"257,1488",1835,500894,136370,"0,2140",637264,"272,9668","74,3161","347,2828","0,2144","0,0537",36906,399484,101410,899,"20,1123","217,7025","55,2643","0,4899",16484052,"0,6425"
17:12:00,"0,4536","0,4264",187842,176583,"116,7446","109,7470","33,2820","33,2460",414126,"257,3810",1609,439255,120744,"0,2156",559999,"272,9988","75,0429","348,0416","0,2159","0,0519",32309,348889,90366,915,"20,0802","216,8359","56,1628","0,5687",16898178,"0,6586"
17:12:30,"0,4502","0,4293",170683,162745,"117,4694","112,0062","33,0465","33,2346",379105,"260,9119",1453,402359,110365,"0,2153",512724,"276,9160","75,9566","352,8727","0,2159","0,0511",29379,318064,84295,495,"20,2195","218,9016","58,0145","0,3407",17277283,"0,6734"
17:13:00,"0,4494","0,4312",156128,149791,"117,8325","113,0498","31,9536","32,0823",347421,"262,2045",1325,369171,99483,"0,2123",468654,"278,6196","75,0815","353,7011","0,2133","0,0515",27219,292277,76894,723,"20,5426","220,5864","58,0332","0,5457",17624704,"0,6870"
17:13:30,"0,4462","0,4329",143728,139439,"116,5677","113,0892","32,7929","32,1158",322094,"261,2279",1233,342185,92911,"0,2135",435096,"277,5223","75,3536","352,8759","0,2137","0,0503",25876,272991,69194,526,"20,9862","221,4039","56,1184","0,4266",17946798,"0,6995"
17:14:00,"0,4407","0,4379",126429,125633,"116,0964","115,3655","32,4199","33,8401",286910,"263,4619",1089,304715,82574,"0,2132",387289,"279,8118","75,8255","355,6373","0,2134","0,0507",22752,239820,64895,708,"20,8926","220,2204","59,5914","0,6501",18233708,"0,7107"
17:14:30,"0,4386","0,4384",114839,114766,"115,6485","115,5750","32,0704","33,4671",261802,"263,6475",993,278369,74508,"0,2111",352877,"280,3313","75,0332","355,3646","0,2115","0,0478",20661,221311,57058,409,"20,8066","222,8711","57,4602","0,4119",18495510,"0,7209"
17:15:00,"0,4373","0,4439",111953,113635,"116,1338","117,8786","33,0179","34,3389",255997,"265,5571",964,271682,73193,"0,2122",344875,"281,8278","75,9263","357,7541","0,2131","0,0487",20249,216053,55629,416,"21,0052","224,1214","57,7064","0,4315",18751507,"0,7309"
17:15:30,"0,4367","0,4448",98455,100283,"116,1026","118,2583","32,6658","33,5631",225470,"265,8844",848,239716,65124,"0,2136",304840,"282,6840","76,7972","359,4811","0,2146","0,0519",18088,189897,49819,401,"21,3302","223,9351","58,7488","0,4729",18976977,"0,7397"
17:16:00,"0,4400","0,4413",94963,95242,"118,1132","118,4602","33,3695","33,3075",215824,"268,4378",804,229363,61663,"0,2119",291026,"285,2774","76,6953","361,9726","0,2123","0,0492",17777,182446,46917,478,"22,1107","226,9229","58,3545","0,5945",19192801,"0,7481"
