onlyPresidentVotesRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,votersReleasedByCodeRatio,votersReleasedByCodeRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
1.0200 .. 1.0214,0.4580,0.3893,300,255,75.0000,63.7500,36.5445,41.6856,655,163.7500,4,693,189,0.2143,882,173.2500,47.2500,220.5000,0.0406,0.0290,0.2366,0.0686,37,591,102,0,9.2500,147.7500,25.5000,0.0000,655,0.0000
1.0100 .. 1.0101,0.4566,0.3429,1976,1484,104.0000,78.1053,44.2445,39.7861,4328,227.7895,19,4511,1389,0.2354,5900,237.4211,73.1053,310.5263,0.1142,0.0683,0.2475,0.0873,462,3806,705,0,24.3158,200.3158,37.1053,0.0000,4983,0.0002
1.0000 .. 1.0028,0.4733,0.3376,7860,5607,120.9231,86.2615,40.3867,32.7913,16607,255.4923,65,17277,4940,0.2224,22217,265.8000,76.0000,341.8000,0.1010,0.0521,0.2272,0.0639,1716,14644,2633,5,26.4000,225.2923,40.5077,0.0769,21590,0.0008
1.00 .. 0.99,0.4746,0.3396,69957,50059,122.7316,87.8228,41.8660,33.8379,147407,258.6088,570,152804,42962,0.2195,195766,268.0772,75.3719,343.4491,0.1065,0.0625,0.2233,0.0661,16009,129787,23017,24,28.0860,227.6965,40.3807,0.0421,168997,0.0066
0.99 .. 0.98,0.4807,0.3448,165457,118675,123.3833,88.4974,38.7924,33.1283,344212,256.6831,1341,356848,102777,0.2236,459625,266.1059,76.6421,342.7479,0.1027,0.0612,0.2267,0.0620,35925,301930,54918,93,26.7897,225.1529,40.9530,0.0694,513209,0.0200
0.98 .. 0.97,0.5034,0.3374,322203,215974,128.4189,86.0797,37.5389,30.6798,640054,255.1032,2509,665238,190092,0.2222,855330,265.1407,75.7640,340.9047,0.0966,0.0599,0.2244,0.0621,63199,560592,104646,356,25.1889,223.4324,41.7083,0.1419,1153263,0.0450
0.97 .. 0.96,0.5075,0.3473,491214,336094,127.6875,87.3652,36.1180,30.5194,967830,251.5805,3847,1009863,288857,0.2224,1298720,262.5066,75.0863,337.5929,0.0918,0.0569,0.2244,0.0609,90878,849345,160518,736,23.6231,220.7811,41.7255,0.1913,2121093,0.0827
0.96 .. 0.95,0.5180,0.3494,712623,480730,129.1452,87.1203,34.3932,28.6399,1375690,249.3095,5518,1441124,415376,0.2237,1856500,261.1678,75.2765,336.4444,0.0895,0.0551,0.2251,0.0594,126723,1214332,226792,1143,22.9654,220.0674,41.1004,0.2071,3496783,0.1363
0.95 .. 0.94,0.5139,0.3626,952241,671942,127.3390,89.8558,34.6300,30.9154,1852889,247.7787,7478,1948290,565679,0.2250,2513969,260.5362,75.6458,336.1820,0.0862,0.0542,0.2262,0.0592,164866,1634627,313663,1655,22.0468,218.5915,41.9448,0.2213,5349672,0.2085
0.9300 .. 0.9300,0.5056,0.3765,1138236,847584,125.9668,93.8008,34.3412,32.2869,2251411,249.1601,9036,2375055,678270,0.2221,3053325,262.8436,75.0631,337.9067,0.0847,0.0563,0.2229,0.0576,197419,1976004,399051,2456,21.8481,218.6813,44.1624,0.2718,7601083,0.2963
0.93 .. 0.92,0.4911,0.3949,1281470,1030359,123.4081,99.2256,33.9017,34.2029,2609218,251.2729,10384,2760189,774945,0.2192,3535134,265.8117,74.6288,340.4405,0.0824,0.0531,0.2200,0.0561,223293,2273325,486864,3262,21.5036,218.9258,46.8860,0.3141,10210301,0.3980
0.92 .. 0.91,0.4774,0.4116,1345983,1160365,121.0961,104.3869,33.1178,35.0251,2819221,253.6183,11116,2991778,828519,0.2169,3820297,269.1416,74.5339,343.6755,0.0799,0.0551,0.2174,0.0542,235342,2439109,552669,3601,21.1715,219.4233,49.7183,0.3239,13029522,0.5079
0.91 .. 0.90,0.4666,0.4250,1294748,1179307,119.3206,108.6819,32.9686,35.9546,2774921,255.7295,10851,2949305,802414,0.2139,3751719,271.8003,73.9484,345.7487,0.0766,0.0519,0.2143,0.0517,222114,2380237,569068,3676,20.4694,219.3565,52.4438,0.3388,15804443,0.6160
