votersReleasedByCodeRatio,ratio:22,ratio:13,votes:22,votes:13,votes.mean:22,votes.mean:13,votes.stdv:22,votes.stdv:13,votes:*,votes:*.mean,bus,turnout,abstentions,abstentionsRatio,eligibleVoters,turnout.mean,abstentions.mean,eligibleVoters.mean,onlyPresidentVotesRatio,onlyPresidentVotesRatio.stdv,presidentAbstentionRatio,presidentAbstentionRatio.stdv,votersByCode,votersBiometric,votersWithoutBiometrics,votersInTransit,votersByCode.mean,votersBiometric.mean,votersWithoutBiometrics.mean,votersInTransit.mean,total,totalRatio
0.00 .. 0.01,"0,4268","0,4665",132154,144463,"107,9690","117,9290","39,9863","42,1878",309658,"252,7820",1225,328593,81998,"0,1997",410591,"268,2392","66,9371","335,1763","0,8976","0,0394","0,2010","0,0553",1857,174106,154487,597,"1,5159","142,1273","126,1118","0,4873",309658,"0,0121"
0.01 .. 0.02,"0,4462","0,4475",429885,431062,"116,2480","116,5663","34,2939","38,1783",963330,"260,5003",3698,1022481,252862,"0,1983",1275343,"276,4957","68,3780","344,8737","0,8972","0,0358","0,1988","0,0477",16158,721080,301401,1762,"4,3694","194,9919","81,5038","0,4765",1272988,"0,0496"
0.02 .. 0.03,"0,4542","0,4372",915217,881037,"119,3709","114,8979","33,8410","36,4754",2015004,"262,7809",7668,2138549,528689,"0,1982",2667238,"278,8927","68,9474","347,8401","0,9006","0,0353","0,1984","0,0464",54249,1641052,497497,3659,"7,0747","214,0130","64,8796","0,4772",3287992,"0,1282"
0.03 .. 0.04,"0,4602","0,4291",1229674,1146813,"120,5445","112,4216","33,4830","35,7371",2672332,"261,9677",10201,2835971,718672,"0,2022",3554643,"278,0091","70,4511","348,4602","0,9040","0,0351","0,2026","0,0491",99393,2247356,588615,4852,"9,7435","220,3074","57,7017","0,4756",5960324,"0,2323"
0.04 .. 0.05,"0,4687","0,4185",1337193,1194108,"121,7844","108,7530","33,6916","35,8464",2853204,"259,8546",10980,3026152,789396,"0,2069",3815548,"275,6058","71,8940","347,4998","0,9069","0,0351","0,2072","0,0500",135912,2446756,579396,4941,"12,3781","222,8375","52,7683","0,4500",8813528,"0,3435"
0.05 .. 0.06,"0,4765","0,4090",1275762,1095063,"122,0825","104,7807","33,5084","34,8475",2677478,"256,1935",10451,2838380,768275,"0,2130",3606655,"271,5893","73,5121","345,1014","0,9099","0,0351","0,2135","0,0525",155872,2329516,508864,4278,"14,9146","222,8989","48,6905","0,4093",11491006,"0,4479"
0.06 .. 0.07,"0,4813","0,4028",1115563,933622,"122,4682","102,4945","33,4070","34,5015",2317694,"254,4400",9109,2457174,679647,"0,2167",3136821,"269,7523","74,6127","344,3650","0,9112","0,0357","0,2173","0,0539",159393,2029604,427570,3998,"17,4984","222,8130","46,9393","0,4389",13808700,"0,5382"
0.07 .. 0.08,"0,4849","0,3992",972417,800492,"122,9662","101,2256","32,9706","34,0164",2005203,"253,5664",7908,2124249,601123,"0,2206",2725372,"268,6203","76,0145","344,6348","0,9127","0,0361","0,2213","0,0535",158918,1762320,361929,3615,"20,0959","222,8528","45,7675","0,4571",15813903,"0,6164"
0.08 .. 0.09,"0,4878","0,3968",843092,685817,"122,8281","99,9151","33,1876","33,7858",1728489,"251,8195",6864,1830457,522057,"0,2219",2352514,"266,6750","76,0573","342,7322","0,9133","0,0362","0,2229","0,0552",155217,1525076,305381,2450,"22,6132","222,1847","44,4902","0,3569",17542392,"0,6838"
0.09 .. 0.10,"0,4880","0,3965",682736,554666,"122,3322","99,3847","33,1684","34,0550",1398929,"250,6592",5581,1481631,422806,"0,2220",1904437,"265,4777","75,7581","341,2358","0,9136","0,0355","0,2230","0,0559",140423,1235997,245634,2666,"25,1609","221,4651","44,0125","0,4777",18941321,"0,7383"
0.10 .. 0.11,"0,4842","0,4003",623606,515458,"121,4186","100,3618","32,8624","34,7093",1287783,"250,7366",5136,1363988,391004,"0,2228",1754992,"265,5740","76,1301","341,7040","0,9137","0,0361","0,2236","0,0547",142979,1142794,221194,2412,"27,8386","222,5066","43,0674","0,4696",20229104,"0,7885"
0.11 .. 0.12,"0,4863","0,3978",494185,404240,"122,0813","99,8370","33,1325","33,1710",1016215,"250,9793",4049,1075588,308320,"0,2228",1383908,"265,6429","76,1472","341,7901","0,9148","0,0360","0,2237","0,0550",123468,903502,172086,1877,"30,4935","223,1420","42,5009","0,4636",21245319,"0,8281"
0.12 .. 0.13,"0,4848","0,3997",424152,349691,"120,9099","99,6839","33,1036","33,0809",874932,"249,4105",3508,927168,267957,"0,2242",1195125,"264,3010","76,3845","340,6856","0,9140","0,0349","0,2247","0,0537",115664,782477,144691,1585,"32,9715","223,0550","41,2460","0,4518",22120251,"0,8622"
0.13 .. 0.14,"0,4864","0,3965",356250,290407,"120,4361","98,1768","32,0860","32,8864",732389,"247,5960",2958,775867,227805,"0,2270",1003672,"262,2945","77,0132","339,3076","0,9147","0,0351","0,2272","0,0535",104586,657993,117874,1198,"35,3570","222,4452","39,8492","0,4050",22852640,"0,8907"
0.14 .. 0.15,"0,4929","0,3877",285661,224695,"121,1455","95,2905","32,5845","32,1753",579568,"245,7880",2358,613641,183512,"0,2302",797153,"260,2379","77,8253","338,0632","0,9177","0,0350","0,2305","0,0566",88909,522809,90832,890,"37,7053","221,7171","38,5208","0,3774",23432208,"0,9133"
