id,name
27006,PARIPUEIRA
27014,ÁGUA BRANCA
27022,PARICONHA
27030,ANADIA
27049,ESTRELA DE ALAGOAS
27057,ARAPIRACA
27065,JEQUIÁ DA PRAIA
27073,ATALAIA
27081,CAMPESTRE
27090,BARRA DE SANTO ANTÔNIO
27111,BARRA DE SÃO MIGUEL
27138,BATALHA
27154,BELÉM
27170,BELO MONTE
27197,BOCA DA MATA
27219,BRANQUINHA
27235,CACIMBINHAS
27251,CAJUEIRO
27278,CAMPO ALEGRE
27294,CAMPO GRANDE
27316,CANAPI
27332,CAPELA
27359,CARNEIROS
27375,CHÃ PRETA
27391,COITÉ DO NÓIA
27413,COLÔNIA LEOPOLDINA
27430,COQUEIRO SECO
27456,CORURIPE
27472,DELMIRO GOUVEIA
27499,DOIS RIACHOS
27510,FEIRA GRANDE
27537,FELIZ DESERTO
27553,FLEXEIRAS
27570,GIRAU DO PONCIANO
27596,IBATEGUARA
27618,IGACI
27634,IGREJA NOVA
27650,INHAPI
27677,JACARÉ DOS HOMENS
27693,JACUÍPE
27715,JAPARATINGA
27731,JARAMATAIA
27758,JOAQUIM GOMES
27774,JUNDIÁ
27790,JUNQUEIRO
27812,LAGOA DA CANOA
27839,LIMOEIRO DE ANADIA
27855,MACEIÓ
27871,MAJOR ISIDORO
27898,MARAGOGI
27910,MARAVILHA
27936,MARECHAL DEODORO
27952,MARIBONDO
27979,MAR VERMELHO
27995,MATA GRANDE
28010,MATRIZ DE CAMARAGIBE
28037,MESSIAS
28053,MINADOR DO NEGRÃO
28070,MONTEIRÓPOLIS
28096,MURICI
28118,NOVO LINO
28134,OLHO D'ÁGUA DAS FLORES
28150,OLHO D'ÁGUA DO CASADO
28177,OLHO D'ÁGUA GRANDE
28193,OLIVENÇA
28215,OURO BRANCO
28231,PALESTINA
28258,PALMEIRA DOS ÍNDIOS
28274,PÃO DE AÇÚCAR
28290,PASSO DE CAMARAGIBE
28312,PAULO JACINTO
28339,PENEDO
28355,PIAÇABUÇU
28371,PILAR
28398,PINDOBA
28410,PIRANHAS
28436,POÇO DAS TRINCHEIRAS
28452,PORTO CALVO
28479,PORTO DE PEDRAS
28495,PORTO REAL DO COLÉGIO
28517,QUEBRANGULO
28533,RIO LARGO
28550,ROTEIRO
28576,SANTA LUZIA DO NORTE
28592,SANTANA DO IPANEMA
28614,SANTANA DO MUNDAÚ
28630,SÃO BRÁS
28657,SÃO JOSÉ DA LAJE
28673,SÃO JOSÉ DA TAPERA
28690,SÃO LUÍS DO QUITUNDE
28711,SÃO MIGUEL DOS CAMPOS
28738,SÃO MIGUEL DOS MILAGRES
28754,SÃO SEBASTIÃO
28770,SATUBA
28797,TANQUE D'ARCA
28819,TAQUARANA
28835,TRAIPU
28851,UNIÃO DOS PALMARES
28878,VIÇOSA
28894,CRAÍBAS
28916,SENADOR RUI PALMEIRA
28932,TEOTÔNIO VILELA
