id,name
56006,SÃO DOMINGOS DO NORTE
56014,AFONSO CLÁUDIO
56022,ÁGUA DOCE DO NORTE
56030,ALEGRE
56049,IRUPI
56057,ALFREDO CHAVES
56065,ALTO RIO NOVO
56073,ANCHIETA
56081,VILA PAVÃO
56090,APIACÁ
56103,MARECHAL FLORIANO
56111,ARACRUZ
56120,MARATAÍZES
56138,ATÍLIO VIVÁCQUA
56146,BREJETUBA
56154,BAIXO GUANDU
56162,SÃO ROQUE DO CANAÃ
56170,BARRA DE SÃO FRANCISCO
56189,SOORETAMA
56197,BOA ESPERANÇA
56200,PONTO BELO
56219,BOM JESUS DO NORTE
56227,VILA VALÉRIO
56235,CACHOEIRO DE ITAPEMIRIM
56251,CARIACICA
56278,CASTELO
56294,COLATINA
56308,GOVERNADOR LINDENBERG
56316,CONCEIÇÃO DA BARRA
56332,CONCEIÇÃO DO CASTELO
56359,DIVINO DE SÃO LOURENÇO
56375,DOMINGOS MARTINS
56391,DORES DO RIO PRETO
56413,ECOPORANGA
56430,FUNDÃO
56456,GUAÇUÍ
56472,GUARAPARI
56499,IBIRAÇU
56502,IBITIRAMA
56510,ICONHA
56537,ITAGUAÇU
56553,ITAPEMIRIM
56570,ITARANA
56596,IÚNA
56618,JERÔNIMO MONTEIRO
56626,JOÃO NEIVA
56634,LINHARES
56650,MANTENÓPOLIS
56677,MIMOSO DO SUL
56693,MONTANHA
56715,MUCURICI
56731,MUNIZ FREIRE
56758,MUQUI
56774,NOVA VENÉCIA
56790,PANCAS
56812,PINHEIROS
56839,PIÚMA
56855,PRESIDENTE KENNEDY
56871,RIO NOVO DO SUL
56898,SANTA LEOPOLDINA
56910,SANTA TERESA
56936,SÃO GABRIEL DA PALHA
56952,SÃO JOSÉ DO CALÇADO
56979,SÃO MATEUS
56995,SERRA
57010,VIANA
57037,VILA VELHA
57053,VITÓRIA
57070,MARILÂNDIA
57096,IBATIBA
57118,RIO BANANAL
57134,JAGUARÉ
57150,PEDRO CANÁRIO
57916,LARANJA DA TERRA
57932,SANTA MARIA DE JETIBÁ
57959,VARGEM ALTA
57975,VENDA NOVA DO IMIGRANTE
57991,ÁGUIA BRANCA
