id,name
92010,ABADIÂNIA
92029,BONFINÓPOLIS
92037,ÁGUA LIMPA
92053,ALEXÂNIA
92061,CAMPOS VERDES
92096,ALOÂNDIA
92100,CEZARINA
92118,ALTO PARAÍSO DE GOIÁS
92126,COLINAS DO SUL
92150,ALVORADA DO NORTE
92169,MORRO AGUDO DE GOIÁS
92177,AMORINÓPOLIS
92207,EDEALINA
92215,ANÁPOLIS
92223,FAINA
92231,ANHANGÜERA
92258,ANICUNS
92266,GOUVELÂNDIA
92274,APARECIDA DE GOIÂNIA
92282,ITAGUARI
92290,APORÉ
92312,ARAÇU
92320,MATRINCHÃ
92339,ARAGARÇAS
92347,MIMOSO DE GOIÁS
92355,ARAGOIÂNIA
92363,MONTIVIDIU
92444,NOVO PLANALTO
92460,PALESTINA DE GOIÁS
92495,ARUANÃ
92517,AURILÂNDIA
92550,AVELINÓPOLIS
92568,SANTA FÉ DE GOIÁS
92614,BALIZA
92622,SÃO JOÃO DA PARAÚNA
92630,BARRO ALTO
92649,SÃO LUIZ DO NORTE
92657,BELA VISTA DE GOIÁS
92665,SÃO MIGUEL DO PASSA QUATRO
92673,BOM JARDIM DE GOIÁS
92690,BOM JESUS DE GOIÁS
92703,SENADOR CANEDO
92711,BRAZABRANTES
92720,SIMOLÂNDIA
92754,BRITÂNIA
92762,TERESINA DE GOIÁS
92770,BURITI ALEGRE
92789,TROMBAS
92797,CABECEIRAS
92800,TURVELÂNDIA
92819,CACHOEIRA ALTA
92827,RIO QUENTE
92835,CACHOEIRA DE GOIÁS
92851,CAÇU
92860,GUARINOS
92878,CAIAPÔNIA
92886,COCALZINHO DE GOIÁS
92894,CALDAS NOVAS
92908,SANTO ANTÔNIO DE GOIÁS
92916,CAMPESTRE DE GOIÁS
92924,CHAPADÃO DO CÉU
92932,CAMPINORTE
92940,ALTO HORIZONTE
92959,CAMPO ALEGRE DE GOIÁS
92967,CASTELÂNDIA
92975,CAMPOS BELOS
92983,JESÚPOLIS
92991,CARMO DO RIO VERDE
93009,APARECIDA DO RIO DOCE
93017,CATALÃO
93025,CIDADE OCIDENTAL
93033,CATURAÍ
93041,PROFESSOR JAMIL
93050,CAVALCANTE
93068,PEROLÂNDIA
93076,CERES
93084,NOVA IGUAÇU DE GOIÁS
93092,DIVINÓPOLIS DE GOIÁS
93106,BURITI DE GOIÁS
93122,CALDAZINHA
93149,GUARAÍTA
93157,CÓRREGO DO OURO
93165,INACIOLÂNDIA
93173,CORUMBÁ DE GOIÁS
93181,MONTIVIDIU DO NORTE
93190,CORUMBAÍBA
93203,SANTO ANTÔNIO DA BARRA
93220,TEREZÓPOLIS DE GOIÁS
93246,UIRAPURU
93254,CRISTALINA
93262,BURITINÓPOLIS
93270,CRISTIANÓPOLIS
93289,VILA BOA
93297,CRIXÁS
93300,VALPARAÍSO DE GOIÁS
93319,CROMÍNIA
93327,NOVO GAMA
93335,CUMARI
