id,name
7005,ÁGUA DOCE DO MARANHÃO
7013,AFONSO CUNHA
7021,ALTO ALEGRE DO MARANHÃO
7030,ALCÂNTARA
7048,ALTO ALEGRE DO PINDARÉ
7056,ALDEIAS ALTAS
7064,APICUM-AÇU
7072,ALTAMIRA DO MARANHÃO
7080,AMAPÁ DO MARANHÃO
7099,ALTO PARNAÍBA
7102,ARAGUANÃ
7110,AMARANTE DO MARANHÃO
7129,BACABEIRA
7137,ANAJATUBA
7145,BACURITUBA
7153,ANAPURUS
7161,BELÁGUA
7170,ARAIOSES
7188,BELA VISTA DO MARANHÃO
7196,ARARI
7200,BERNARDO DO MEARIM
7218,AXIXÁ
7226,CACHOEIRA GRANDE
7234,BACABAL
7242,DAVINÓPOLIS
7250,BACURI
7269,BOM JESUS DAS SELVAS
7277,BALSAS
7285,BOM LUGAR
7293,BARÃO DE GRAJAÚ
7307,BREJO DE AREIA
7315,BARRA DO CORDA
7323,BOA VISTA DO GURUPI
7331,BARREIRINHAS
7340,BURITICUPU
7358,BENEDITO LEITE
7366,BURITIRANA
7374,BEQUIMÃO
7382,CAMPESTRE DO MARANHÃO
7390,BREJO
7404,CAPINZAL DO NORTE
7412,BURITI
7420,CENTRAL DO MARANHÃO
7439,BURITI BRAVO
7447,CENTRO DO GUILHERME
7455,CAJAPIÓ
7463,CENTRO NOVO DO MARANHÃO
7471,CAJARI
7480,CIDELÂNDIA
7498,CÂNDIDO MENDES
7501,CONCEIÇÃO DO LAGO-AÇU
7510,CANTANHEDE
7528,FEIRA NOVA DO MARANHÃO
7536,CAROLINA
7544,FERNANDO FALCÃO
7552,CARUTAPERA
7560,FORMOSA DA SERRA NEGRA
7579,CAXIAS
7595,CEDRAL
7609,GOVERNADOR EDISON LOBÃO
7617,CHAPADINHA
7625,GOVERNADOR LUIZ ROCHA
7633,CODÓ
7641,GOVERNADOR NEWTON BELLO
7650,COELHO NETO
7668,GOVERNADOR NUNES FREIRE
7676,COLINAS
7684,IGARAPÉ DO MEIO
7692,COROATÁ
7706,ITAIPAVA DO GRAJAÚ
7714,CURURUPU
7722,ITINGA DO MARANHÃO
7730,DOM PEDRO
7749,JATOBÁ
7757,DUQUE BACELAR
7765,JENIPAPO DOS VIEIRAS
7773,ESPERANTINÓPOLIS
7781,JUNCO DO MARANHÃO
7790,FORTALEZA DOS NOGUEIRAS
7803,LAGO DOS RODRIGUES
7811,FORTUNA
7820,LAGOA DO MATO
7838,GODOFREDO VIANA
7846,LAGOA GRANDE DO MARANHÃO
7854,GONÇALVES DIAS
7862,LAJEADO NOVO
7870,GOVERNADOR ARCHER
7889,MARACAÇUMÉ
7897,GOVERNADOR EUGÊNIO BARROS
7900,MARAJÁ DO SENA
7919,GRAÇA ARANHA
7927,MARANHÃOZINHO
7935,GRAJAÚ
7943,MATÕES DO NORTE
7951,GUIMARÃES
7960,MILAGRES DO MARANHÃO
7978,HUMBERTO DE CAMPOS
7986,NOVA COLINAS
7994,ICATU
8001,NOVA OLINDA DO MARANHÃO
8010,IGARAPÉ GRANDE
