id,name
40002,ALFREDO VASCONCELOS
40010,ABADIA DOS DOURADOS
40029,ARAPORÃ
40037,ABAETÉ
40045,BRASILÂNDIA DE MINAS
40053,ABRE CAMPO
40061,CAPITÃO ANDRADE
40070,ACAIACA
40088,CARNEIRINHO
40096,AÇUCENA
40100,CATUJI
40118,ÁGUA BOA
40126,DIVISA ALEGRE
40134,ÁGUA COMPRIDA
40142,DIVISÓPOLIS
40150,AGUANIL
40169,DURANDÉ
40177,ÁGUAS FORMOSAS
40185,ENTRE FOLHAS
40193,ÁGUAS VERMELHAS
40207,FERVEDOURO
40215,AIMORÉS
40223,FRANCISCÓPOLIS
40231,AIURUOCA
40240,ICARAÍ DE MINAS
40258,ALAGOA
40266,IPABA
40274,ALBERTINA
40282,JAÍBA
40290,ALÉM PARAÍBA
40304,JAMPRUCA
40312,ALFENAS
40320,JUATUBA
40339,ALMENARA
40347,LAGOA GRANDE
40355,ALPERCATA
40363,LIMEIRA DO OESTE
40371,ALPINÓPOLIS
40380,LONTRA
40398,ALTEROSA
40401,MAMONAS
40410,ALTO RIO DOCE
40428,MATA VERDE
40436,ALVARENGA
40444,MATIAS CARDOSO
40452,ALVINÓPOLIS
40460,MONTEZUMA
40479,ALVORADA DE MINAS
40487,NAQUE
40495,AMPARO DO SERRA
40509,NOVO ORIENTE DE MINAS
40517,ANDRADAS
40525,PALMÓPOLIS
40533,CACHOEIRA DE PAJEÚ
40541,PEDRAS DE MARIA DA CRUZ
40550,ANDRELÂNDIA
40568,PERIQUITO
40576,ANTÔNIO CARLOS
40584,PONTO DOS VOLANTES
40592,ANTÔNIO DIAS
40606,RIACHINHO
40614,ANTÔNIO PRADO DE MINAS
40622,ROSÁRIO DA LIMEIRA
40630,ARAÇAÍ
40649,SANTA BÁRBARA DO LESTE
40657,ARACITABA
40665,SANTA RITA DE MINAS
40673,ARAÇUAÍ
40681,SANTANA DO PARAÍSO
40690,ARAGUARI
40703,SÃO JOÃO DA LAGOA
40711,ARANTINA
40720,SÃO JOÃO DO MANHUAÇU
40738,ARAPONGA
40746,SÃO JOÃO DO MANTENINHA
40754,ARAPUÁ
40762,SÃO JOÃO DO PACUÍ
40770,ARAÚJOS
40789,SÃO JOSÉ DA LAPA
40797,ARAXÁ
40800,SARZEDO
40819,ARCEBURGO
40827,SEM PEIXE
40835,ARCOS
40843,SENADOR AMARAL
40851,AREADO
40860,UBAPORANGA
40878,ARGIRITA
40886,URUCUIA
40894,ARINOS
40908,VARGEM ALEGRE
40916,ASTOLFO DUTRA
40924,JOSENÓPOLIS
40932,ATALÉIA
40940,JUVENÍLIA
40959,AUGUSTO DE LIMA
40967,LEME DO PRADO
40975,BAEPENDI
40983,LUISBURGO
40991,BALDIM
41009,LUISLÂNDIA
41017,BAMBUÍ
41025,MÁRIO CAMPOS
41033,BANDEIRA
41041,MARTINS SOARES
41050,BANDEIRA DO SUL
41068,MIRAVÂNIA
41076,BARÃO DE COCAIS
41084,MONTE FORMOSO
41092,BARÃO DE MONTE ALTO
41106,NATALÂNDIA
41114,BARBACENA
41122,NINHEIRA
41130,BARRA LONGA
41149,NOVA BELÉM
41157,TRÊS MARIAS
41165,NOVA PORTEIRINHA
41173,BARROSO
41181,NOVORIZONTE
41190,BELA VISTA DE MINAS
41203,OLHOS D'ÁGUA
41211,BELMIRO BRAGA
41220,ORATÓRIOS
41238,BELO HORIZONTE
41246,ORIZÂNIA
41254,BELO ORIENTE
41262,PADRE CARVALHO
41270,BELO VALE
41289,PAI PEDRO
41297,BERILO
41300,PATIS
41319,BERTÓPOLIS
41327,PEDRA BONITA
41335,BETIM
41343,PIEDADE DE CARATINGA
41351,BIAS FORTES
41360,PINGO D'ÁGUA
41378,BICAS
41386,PINTÓPOLIS
41394,BIQUINHAS
41408,PONTO CHIQUE
41416,BOA ESPERANÇA
41424,REDUTO
41432,BOCAINA DE MINAS
41440,SANTA BÁRBARA DO MONTE VERDE
41459,BOCAIÚVA
41467,SANTA CRUZ DE MINAS
41475,BOM DESPACHO
41483,SANTA CRUZ DE SALINAS
41491,BOM JARDIM DE MINAS
41505,SANTA HELENA DE MINAS
41513,BOM JESUS DA PENHA
41521,SANTO ANTÔNIO DO RETIRO
41530,BOM JESUS DO AMPARO
41548,SÃO DOMINGOS DAS DORES
41556,BOM JESUS DO GALHO
41564,SÃO FÉLIX DE MINAS
41572,BOM REPOUSO
41580,SÃO GERALDO DO BAIXIO
41599,BOM SUCESSO
41602,SÃO JOÃO DAS MISSÕES
41610,BONFIM
41629,SÃO JOAQUIM DE BICAS
41637,BONFINÓPOLIS DE MINAS
41645,SÃO JOSÉ DA BARRA
41653,BORDA DA MATA
41661,ALTO CAPARAÓ
41670,BOTELHOS
41688,ANGELÂNDIA
41696,BOTUMIRIM
41700,ARICANDUVA
41718,BRASÍLIA DE MINAS
41726,BERIZAL
41734,BRÁS PIRES
41742,BONITO DE MINAS
41750,BRAÚNAS
41769,BUGRE
41777,BRAZÓPOLIS
41785,CABECEIRA GRANDE
41793,BRUMADINHO
41807,CAMPO AZUL
