id,name
55000,NOVA ALVORADA DO SUL
55018,ALCINÓPOLIS
55026,LAGUNA CARAPÃ
55034,JAPORÃ
55042,NOVO HORIZONTE DO SUL
55050,PARAÍSO DAS ÁGUAS
55069,FIGUEIRÃO
90034,ÁGUA CLARA
90115,AMAMBAI
90131,ANASTÁCIO
90158,ANAURILÂNDIA
90174,ANTÔNIO JOÃO
90190,APARECIDA DO TABOADO
90212,AQUIDAUANA
90298,BANDEIRANTES
90379,BATAGUASSU
90395,BATAYPORÃ
90417,BELA VISTA
90433,BONITO
90450,BRASILÂNDIA
90492,CAMAPUÃ
90514,CAMPO GRANDE
90530,CARACOL
90557,CAARAPÓ
90573,CASSILÂNDIA
90611,CORGUINHO
90638,CORUMBÁ
90654,COXIM
90735,DOURADOS
90751,FÁTIMA DO SUL
90794,GLÓRIA DE DOURADOS
90816,GUIA LOPES DA LAGUNA
90859,IGUATEMI
90875,INOCÊNCIA
90891,ITAPORÃ
90930,IVINHEMA
90972,JARAGUARI
90999,JARDIM
91014,JATEÍ
91030,LADÁRIO
91073,MARACAJU
91111,MIRANDA
91138,NAVIRAÍ
91154,NIOAQUE
91235,NOVA ANDRADINA
91251,PARANAÍBA
91278,PEDRO GOMES
91316,PONTA PORÃ
91375,PORTO MURTINHO
91413,RIBAS DO RIO PARDO
91430,RIO BRILHANTE
91456,RIO NEGRO
91472,RIO VERDE DE MATO GROSSO
91499,ROCHEDO
91570,SIDROLÂNDIA
91596,TERENOS
91650,TRÊS LAGOAS
91693,ANGÉLICA
91715,ARAL MOREIRA
91731,ELDORADO
91758,DEODÁPOLIS
91782,CHAPADÃO DO SUL
91790,MUNDO NOVO
91804,DOIS IRMÃOS DO BURITI
91820,JUTI
91847,PARANHOS
91863,SANTA RITA DO PARDO
91880,SONORA
91901,VICENTINA
98019,BODOQUENA
98035,COSTA RICA
98051,DOURADINA
98078,ITAQUIRAÍ
98094,SÃO GABRIEL DO OESTE
98116,SELVÍRIA
98132,SETE QUEDAS
98159,TACURU
98175,TAQUARUSSU
98590,CORONEL SAPUCAIA
