id,name
89788,COLNIZA
89796,COLÍDER
89800,CURVELÂNDIA
89818,NOVA BRASILÂNDIA
89826,NOVA SANTA HELENA
89834,PARANATINGA
89843,SANTO ANTÔNIO DO LESTE
89850,SINOP
89877,ALTA FLORESTA
89893,ARAPUTANGA
89915,JAURU
89931,SÃO JOSÉ DOS QUATRO MARCOS
89958,RIO BRANCO
89960,RONDOLÂNDIA
89974,SALTO DO CÉU
89990,PONTES E LACERDA
90018,ACORIZAL
90026,SÃO JOSÉ DO POVO
90042,ALTO BOA VISTA
90050,ALTO ARAGUAIA
90069,QUERÊNCIA
90077,ALTO GARÇAS
90085,CANABRAVA DO NORTE
90093,ALTO PARAGUAI
90107,SANTA CARMEM
90123,NOVA MARINGÁ
90140,NOVA GUARITA
90166,NOVA MARILÂNDIA
90182,PORTO ESTRELA
90204,GLÓRIA D'OESTE
90220,TABAPORÃ
90239,ARAGUAINHA
90247,SÃO JOSÉ DO XINGU
90255,ARENÁPOLIS
90263,APIACÁS
90271,ARIPUANÃ
90280,CONFRESA
90301,LAMBARI D'OESTE
90310,BARÃO DE MELGAÇO
90328,SANTO AFONSO
90336,BARRA DO BUGRES
90344,PLANALTO DA SERRA
90352,BARRA DO GARÇAS
90360,NOVA MONTE VERDE
90387,NOVA BANDEIRANTES
90409,SÃO PEDRO DA CIPA
90425,COTRIGUAÇU
90441,RIBEIRÃOZINHO
90468,BRASNORTE
90476,CÁCERES
90484,CAMPO NOVO DO PARECIS
90506,CAMPO VERDE
90522,CLÁUDIA
90549,CASTANHEIRA
90565,JANGADA
90581,JURUENA
90590,CHAPADA DOS GUIMARÃES
90603,LUCAS DO RIO VERDE
90620,MATUPÁ
90646,NOVA MUTUM
90662,RIBEIRÃO CASCALHEIRA
90670,CUIABÁ
90689,TAPURAH
90697,DIAMANTINO
90700,PONTAL DO ARAGUAIA
90719,DOM AQUINO
90727,SAPEZAL
90743,CAMPOS DE JÚLIO
90760,CARLINDA
90778,GENERAL CARNEIRO
90786,FELIZ NATAL
90808,NOVO MUNDO
90824,GAÚCHA DO NORTE
90832,GUIRATINGA
90840,UNIÃO DO SUL
90867,NOVA LACERDA
90883,NOVA UBIRATÃ
90905,BOM JESUS DO ARAGUAIA
90913,ITIQUIRA
90921,SERRA NOVA DOURADA
90948,NOVO SANTO ANTÔNIO
90956,JACIARA
90964,NOVA NAZARÉ
90980,SANTA CRUZ DO XINGU
91006,CONQUISTA D'OESTE
91022,VALE DE SÃO DOMINGOS
91049,SANTA RITA DO TRIVELATO
91057,LUCIARA
91081,IPIRANGA DO NORTE
91090,VILA BELA DA SANTÍSSIMA TRINDADE
91103,ITANHANGÁ
91170,NOBRES
91197,NORTELÂNDIA
91219,NOSSA SENHORA DO LIVRAMENTO
91294,POCONÉ
91332,PONTE BRANCA
91359,PORTO DOS GAÚCHOS
91391,POXORÉU
91510,RONDONÓPOLIS
91537,ROSÁRIO OESTE
91553,SANTO ANTÔNIO DO LEVERGER
91618,TESOURO
91634,TORIXORÉU
91677,VÁRZEA GRANDE
91774,MIRASSOL D'OESTE
91812,PEDRA PRETA
91839,SÃO FÉLIX DO ARAGUAIA
91855,TANGARÁ DA SERRA
91898,JUSCIMEIRA
91910,ÁGUA BOA
91936,CANARANA
91952,NOVA XAVANTINA
91979,SANTA TEREZINHA
91995,SÃO JOSÉ DO RIO CLARO
98191,JUARA
98310,JUÍNA
98337,DENISE
98612,ALTO TAQUARI
98639,ARAGUAIANA
98655,CAMPINÁPOLIS
98671,COCALINHO
98698,ITAÚBA
98710,MARCELÂNDIA
98736,NOVA OLÍMPIA
98752,NOVA CANAÃ DO NORTE
98779,NOVO SÃO JOAQUIM
98795,NOVO HORIZONTE DO NORTE
98817,PEIXOTO DE AZEVEDO
98833,PARANAÍTA
98850,PORTO ALEGRE DO NORTE
98876,PORTO ESPERIDIÃO
98892,PRIMAVERA DO LESTE
98914,RESERVA DO CABAÇAL
98930,SORRISO
98957,TERRA NOVA DO NORTE
98973,VERA
98990,VILA RICA
99015,COMODORO
99031,FIGUEIRÓPOLIS D'OESTE
99058,GUARANTÃ DO NORTE
99074,INDIAVAÍ
