id,name
4006,GOIANÉSIA DO PARÁ
4014,ABAETETUBA
4022,TAILÂNDIA
4030,ACARÁ
4049,BOM JESUS DO TOCANTINS
4057,AFUÁ
4065,SÃO JOÃO DE PIRABAS
4073,ALENQUER
4081,TUCUMÃ
4090,ALMEIRIM
4103,MÃE DO RIO
4111,ALTAMIRA
4120,ELDORADO DOS CARAJÁS
4138,ANAJÁS
4146,SANTA LUZIA DO PARÁ
4154,ANANINDEUA
4162,PALESTINA DO PARÁ
4170,AUGUSTO CORRÊA
4189,IPIXUNA DO PARÁ
4197,AVEIRO
4200,JACAREACANGA
4219,BAGRE
4227,BRASIL NOVO
4235,BAIÃO
4243,SANTA BÁRBARA DO PARÁ
4251,BARCARENA
4260,ÁGUA AZUL DO NORTE
4278,BELÉM
4286,TRAIRÃO
4294,BENEVIDES
4308,PAU D'ARCO
4316,BONITO
4324,ULIANÓPOLIS
4332,BRAGANÇA
4340,AURORA DO PARÁ
4359,BREVES
4367,TERRA SANTA
4375,BUJARU
4383,NOVO PROGRESSO
4391,CACHOEIRA DO ARARI
4405,VITÓRIA DO XINGU
4413,CAMETÁ
4421,NOVO REPARTIMENTO
4430,CAPANEMA
4448,BREU BRANCO
4456,CAPITÃO POÇO
4464,SÃO DOMINGOS DO ARAGUAIA
4472,CASTANHAL
4480,NOVA ESPERANÇA DO PIRIÁ
4499,CHAVES
4502,ABEL FIGUEIREDO
4510,COLARES
4529,CUMARU DO NORTE
4537,CONCEIÇÃO DO ARAGUAIA
4545,TERRA ALTA
4553,CURRALINHO
4561,FLORESTA DO ARAGUAIA
4570,CURUÇÁ
4588,BANNACH
4596,FARO
4600,NOVA IPIXUNA
4618,GURUPÁ
4626,PLACAS
4634,IGARAPÉ-AÇU
4642,MARITUBA
4650,IGARAPÉ-MIRI
4669,TRACUATEUA
4677,INHANGAPI
4685,QUATIPURU
4693,IRITUIA
4707,CANAÃ DOS CARAJÁS
4715,ITAITUBA
4723,ANAPU
4731,ITUPIRANGA
4740,CURUÁ
4758,JACUNDÁ
4766,CACHOEIRA DO PIRIÁ
4774,JURUTI
4782,PIÇARRA
4790,LIMOEIRO DO AJURU
4804,BELTERRA
4812,MAGALHÃES BARATA
4820,SÃO JOÃO DA PONTA
4839,MARABÁ
4847,SAPUCAIA
4855,MARACANÃ
4863,MOJUÍ DOS CAMPOS
4871,MARAPANIM
4898,MELGAÇO
4910,MOCAJUBA
4936,MOJU
4952,MONTE ALEGRE
4979,MUANÁ
4995,NOVA TIMBOTEUA
5010,ÓBIDOS
5037,OEIRAS DO PARÁ
5053,ORIXIMINÁ
5070,OURÉM
5096,PARAGOMINAS
5118,PEIXE-BOI
5134,PONTA DE PEDRAS
5150,PORTEL
5177,PORTO DE MOZ
5193,PRAINHA
5215,PRIMAVERA
5231,SALINÓPOLIS
5258,SALVATERRA
5274,SANTA CRUZ DO ARARI
5290,SANTA ISABEL DO PARÁ
5312,SANTA MARIA DO PARÁ
5339,SANTANA DO ARAGUAIA
5355,SANTARÉM
5371,SANTARÉM NOVO
5398,SANTO ANTÔNIO DO TAUÁ
5410,SÃO CAETANO DE ODIVELAS
5436,SÃO DOMINGOS DO CAPIM
5452,SÃO FÉLIX DO XINGU
5479,SÃO FRANCISCO DO PARÁ
5495,SÃO JOÃO DO ARAGUAIA
5517,SÃO MIGUEL DO GUAMÁ
5533,SÃO SEBASTIÃO DA BOA VISTA
5550,SENADOR JOSÉ PORFÍRIO
5576,SOURE
5592,TOMÉ-AÇU
5614,TUCURUÍ
5630,VIGIA
5657,VISEU
5673,REDENÇÃO
5690,RIO MARIA
5711,XINGUARA
5738,RONDON DO PARÁ
5754,URUARÁ
5770,MEDICILÂNDIA
5797,SÃO GERALDO DO ARAGUAIA
5819,CONCÓRDIA DO PARÁ
5835,PARAUAPEBAS
5851,CURIONÓPOLIS
5878,GARRAFÃO DO NORTE
5894,RURÓPOLIS
5916,PACAJÁ
5932,BREJO GRANDE DO ARAGUAIA
5959,OURILÂNDIA DO NORTE
5975,DOM ELISEU
5991,SANTA MARIA DAS BARREIRAS
