id,name
10006,BRASILEIRA
10014,AGRICOLÂNDIA
10022,ALEGRETE DO PIAUÍ
10030,ÁGUA BRANCA
10049,BAIXA GRANDE DO RIBEIRO
10057,ALTO LONGÁ
10065,BOM PRINCÍPIO DO PIAUÍ
10073,ALTOS
10081,BONFIM DO PIAUÍ
10090,AMARANTE
10103,BURITI DOS MONTES
10111,ANGICAL DO PIAUÍ
10120,CABECEIRAS DO PIAUÍ
10138,ANÍSIO DE ABREU
10146,CALDEIRÃO GRANDE DO PIAUÍ
10154,ANTÔNIO ALMEIDA
10162,CANAVIEIRA
10170,AROAZES
10189,COIVARAS
10197,ARRAIAL
10200,COLÔNIA DO GURGUÉIA
10219,AVELINO LOPES
10227,COLÔNIA DO PIAUÍ
10235,BARRAS
10243,CORONEL JOSÉ DIAS
10251,BARREIRAS DO PIAUÍ
10260,FARTURA DO PIAUÍ
10278,BARRO DURO
10286,JACOBINA DO PIAUÍ
10294,BATALHA
10308,JARDIM DO MULATO
10316,BENEDITINOS
10324,LAGOA ALEGRE
10332,BERTOLÍNIA
10340,LAGOA DO BARRO DO PIAUÍ
10359,BOCAINA
10367,MARCOLÂNDIA
10375,BOM JESUS
10383,PATOS DO PIAUÍ
10391,BURITI DOS LOPES
10405,PASSAGEM FRANCA DO PIAUÍ
10413,CAMPINAS DO PIAUÍ
10421,QUEIMADA NOVA
10430,CAMPO MAIOR
10448,SANTA CRUZ DOS MILAGRES
10456,CANTO DO BURITI
10464,SANTA ROSA DO PIAUÍ
10472,CAPITÃO DE CAMPOS
10480,SANTANA DO PIAUÍ
10499,CARACOL
10502,SÃO BRAZ DO PIAUÍ
10510,CASTELO DO PIAUÍ
10529,SÃO JOSÉ DO DIVINO
10537,COCAL
10545,SIGEFREDO PACHECO
10553,CONCEIÇÃO DO CANINDÉ
10561,SÃO LOURENÇO DO PIAUÍ
10570,CORRENTE
10588,VÁRZEA BRANCA
10596,CRISTALÂNDIA DO PIAUÍ
10600,BARRA D'ALCÂNTARA
10618,CRISTINO CASTRO
10626,BELA VISTA DO PIAUÍ
10634,CURIMATÁ
10642,BREJO DO PIAUÍ
10650,DEMERVAL LOBÃO
10669,BOA HORA
10677,DOM EXPEDITO LOPES
10685,DOM INOCÊNCIO
10693,ELESBÃO VELOSO
10707,CAPITÃO GERVÁSIO OLIVEIRA
10715,ELISEU MARTINS
10723,CAMPO GRANDE DO PIAUÍ
10731,ESPERANTINA
10740,CAMPO LARGO DO PIAUÍ
10758,FLORES DO PIAUÍ
10766,CURRAIS
10774,FLORIANO
10782,GEMINIANO
10790,FRANCINÓPOLIS
10804,GUARIBAS
10812,FRANCISCO AYRES
10820,ILHA GRANDE
10839,FRANCISCO SANTOS
10847,JUREMA
10855,FRONTEIRAS
10863,LAGOA DE SÃO FRANCISCO
10871,GILBUÉS
10880,MORRO CABEÇA NO TEMPO
10898,GUADALUPE
10901,NOVO SANTO ANTÔNIO
10910,HUGO NAPOLEÃO
10928,NOSSA SENHORA DE NAZARÉ
10936,INHUMA
10944,PAQUETÁ
10952,IPIRANGA DO PIAUÍ
10960,NOVA SANTA RITA
10979,ISAÍAS COELHO
10987,SÃO JOÃO DO ARRAIAL
10995,ITAINÓPOLIS
11010,ITAUEIRA
11037,JAICÓS
11053,JERUMENHA
11070,JOAQUIM PIRES
11088,SÃO JOÃO DA CANABRAVA
11096,JOSÉ DE FREITAS
11118,LANDRI SALES
11134,LUIS CORREIA
11150,LUZILÂNDIA
11177,MANOEL EMÍDIO
11193,MARCOS PARENTE
11215,MATIAS OLÍMPIO
11231,MIGUEL ALVES
11258,MIGUEL LEÃO
11274,MONSENHOR GIL
11290,MONSENHOR HIPÓLITO
11312,MONTE ALEGRE DO PIAUÍ
11339,NAZARÉ DO PIAUÍ
11355,NOSSA SENHORA DOS REMÉDIOS
11371,NOVO ORIENTE DO PIAUÍ
11398,OEIRAS
11410,DOMINGOS MOURÃO
11436,PADRE MARCOS
11452,PAES LANDIM
11479,PALMEIRA DO PIAUÍ
11495,PALMEIRAIS
11517,PARNAGUÁ
11533,PARNAÍBA
11550,PAULISTANA
11576,PEDRO II
11592,PICOS
11614,PIMENTEIRAS
11630,PIO IX
11657,PIRACURUCA
11673,PIRIPIRI
11690,PORTO
11711,PRATA DO PIAUÍ
11738,REDENÇÃO DO GURGUÉIA
11754,REGENERAÇÃO
11770,RIBEIRO GONÇALVES
11797,RIO GRANDE DO PIAUÍ
11819,SANTA CRUZ DO PIAUÍ
11835,SANTA FILOMENA
11851,SANTA LUZ
11878,SANTO ANTÔNIO DE LISBOA
11894,SANTO INÁCIO DO PIAUÍ
11916,SÃO FÉLIX DO PIAUÍ
11932,SÃO FRANCISCO DO PIAUÍ
11959,SÃO GONÇALO DO PIAUÍ
11975,SÃO JOÃO DA SERRA
11991,SÃO JOÃO DO PIAUÍ
12009,SÃO JOÃO DA FRONTEIRA
12017,SÃO JOSÉ DO PEIXE
12025,SÃO JOÃO DA VARJOTA
12033,SÃO JOSÉ DO PIAUÍ
12041,SEBASTIÃO BARROS
12050,SÃO JULIÃO
12068,SEBASTIÃO LEAL
12076,SÃO MIGUEL DO TAPUIO
12084,ALVORADA DO GURGUÉIA
12092,SÃO PEDRO DO PIAUÍ
12106,ASSUNÇÃO DO PIAUÍ
12114,SÃO RAIMUNDO NONATO
12122,BETÂNIA DO PIAUÍ
12130,SIMÕES
12149,BOQUEIRÃO DO PIAUÍ
12157,SIMPLÍCIO MENDES
12165,CARIDADE DO PIAUÍ
12173,SOCORRO DO PIAUÍ
12181,CURRAL NOVO DO PIAUÍ
12190,TERESINA
12203,JÚLIO BORGES
12211,UNIÃO
12220,LAGOA DO SÍTIO
12238,URUÇUÍ
12246,MILTON BRANDÃO
12254,VALENÇA DO PIAUÍ
12262,PAJEÚ DO PIAUÍ
12270,VÁRZEA GRANDE
12289,PAVUSSU
12297,DIRCEU ARCOVERDE
12300,RIACHO FRIO
12319,ALAGOINHA DO PIAUÍ
12327,ACAUÃ
12335,BELÉM DO PIAUÍ
12343,CAJAZEIRAS DO PIAUÍ
12351,CAMPO ALEGRE DO FIDALGO
12360,COCAL DE TELHA
12378,FRANCISCO MACEDO
12386,JOÃO COSTA
12394,JATOBÁ DO PIAUÍ
