id,name
74004,GODOY MOREIRA
74012,ABATIÁ
74020,IBEMA
74039,ADRIANÓPOLIS
74047,LINDOESTE
74055,AGUDOS DO SUL
74063,OURO VERDE DO OESTE
74071,ALMIRANTE TAMANDARÉ
74080,SANTA TEREZA DO OESTE
74098,ALTO PARANÁ
74101,ANAHY
74110,ALTO PIQUIRI
74128,ÂNGULO
74136,ALVORADA DO SUL
74144,BOA ESPERANÇA DO IGUAÇU
74152,AMAPORÃ
74160,BOM SUCESSO DO SUL
74179,AMPÉRE
74187,BRASILÂNDIA DO SUL
74195,ANDIRÁ
74209,CAFEZAL DO SUL
74217,ANTONINA
74225,CANDÓI
74233,ANTONIO OLINTO
74241,CRUZEIRO DO IGUAÇU
74250,APUCARANA
74268,DIAMANTE DO SUL
74276,ARAPONGAS
74284,ENTRE RIOS DO OESTE
74292,ARAPOTI
74306,FAROL
74314,ARARUNA
74322,FAZENDA RIO GRANDE
74330,MARILÂNDIA DO SUL
74349,FLOR DA SERRA DO SUL
74357,ARAUCÁRIA
74365,HONÓRIO SERPA
74373,ASSAÍ
74381,IGUATU
74390,ASTORGA
74403,IRACEMA DO OESTE
74411,ATALAIA
74420,NOVO ITACOLOMI
74438,BALSA NOVA
74446,ITAPERUÇU
74454,BANDEIRANTES
74462,IVATÉ
74470,BARBOSA FERRAZ
74489,LIDIANÓPOLIS
74497,BARRACÃO
74500,MARIPÁ
74519,BARRA DO JACARÉ
74527,MATO RICO
74535,BELA VISTA DO PARAÍSO
74543,MAUÁ DA SERRA
74551,BITURUNA
74560,MERCEDES
74578,BOA ESPERANÇA
74586,NOVA LARANJEIRAS
74594,BOCAIÚVA DO SUL
74608,NOVA SANTA BÁRBARA
74616,BOM SUCESSO
74624,PATO BRAGADO
74632,BORRAZÓPOLIS
74640,PINHAL DE SÃO BENTO
74659,CAFEARA
74667,PITANGUEIRAS
74675,CALIFÓRNIA
74683,QUATRO PONTES
74691,CAMBARÁ
74705,RAMILÂNDIA
74713,CAMBÉ
74721,RANCHO ALEGRE D'OESTE
74730,CAMBIRA
