id,name
16004,TENENTE LAURENTINO CRUZ
16012,ACARI
16020,SERRA DO MEL
16039,ASSÚ
16047,CAIÇARA DO NORTE
16055,AFONSO BEZERRA
16063,SÃO MIGUEL DO GOSTOSO
16071,ÁGUA NOVA
16080,ITAJÁ
16098,ALEXANDRIA
16101,BODÓ
16110,ALMINO AFONSO
16128,TRIUNFO POTIGUAR
16136,ALTO DO RODRIGUES
16144,FERNANDO PEDROZA
16152,ANGICOS
16160,MAJOR SALES
16179,ANTÔNIO MARTINS
16187,VENHA-VER
16195,APODI
16209,SERRINHA DOS PINTOS
16217,AREIA BRANCA
16225,TIBAU
16233,AREZ
16241,SANTA MARIA
16250,CAMPO GRANDE
16268,RIO DO FOGO
16276,BAÍA FORMOSA
16284,PORTO DO MANGUE
16292,BARCELONA
16306,JUNDIÁ
16314,BENTO FERNANDES
16330,BOM JESUS
16357,BREJINHO
16373,CAIÇARA DO RIO DO VENTO
16390,CAICÓ
16411,CAMPO REDONDO
16438,CANGUARETAMA
16454,CARAÚBAS
16470,CARNAÚBA DOS DANTAS
16497,CARNAUBAIS
16519,CEARÁ-MIRIM
16535,CERRO CORÁ
16551,CORONEL EZEQUIEL
16578,CORONEL JOÃO PESSOA
16594,CRUZETA
16616,CURRAIS NOVOS
16632,DOUTOR SEVERIANO
16659,ENCANTO
16675,EQUADOR
16691,ESPÍRITO SANTO
16713,EXTREMOZ
16730,FELIPE GUERRA
16756,FLORÂNIA
16772,FRANCISCO DANTAS
16799,GALINHOS
16810,GOIANINHA
16837,GOVERNADOR DIX-SEPT ROSADO
16853,GROSSOS
16870,GUAMARÉ
16896,IELMO MARINHO
16918,IPANGUAÇU
16934,IPUEIRA
16950,ITAÚ
16977,JAÇANÃ
16993,JANDAÍRA
17019,JANDUÍS
17035,BOA SAÚDE
17051,JAPI
17078,JARDIM DE ANGICOS
17094,JARDIM DE PIRANHAS
17116,JARDIM DO SERIDÓ
17132,JOÃO CÂMARA
17159,JOÃO DIAS
17175,JOSÉ DA PENHA
17191,JUCURUTU
17213,MESSIAS TARGINO
17230,LAGOA D'ANTA
17256,LAGOA DE PEDRAS
17272,LAGOA DE VELHOS
17299,LAGOA NOVA
17310,LAGOA SALGADA
17337,LAJES
17353,LAJES PINTADAS
17370,LUCRÉCIA
17396,LUÍS GOMES
17418,MACAÍBA
17434,MACAU
17450,MARCELINO VIEIRA
17477,MARTINS
17493,MAXARANGUAPE
17515,FRUTUOSO GOMES
17531,MONTANHAS
17558,MONTE ALEGRE
17574,MONTE DAS GAMELEIRAS
17590,MOSSORÓ
17612,NATAL
17639,NÍSIA FLORESTA
17655,NOVA CRUZ
17671,OLHO D'ÁGUA DO BORGES
17698,OURO BRANCO
17710,PARANÁ
17736,PARAÚ
17752,PARAZINHO
17779,PARELHAS
17795,PARNAMIRIM
17817,PASSA E FICA
17833,PASSAGEM
17850,PATU
17876,PAU DOS FERROS
17892,PEDRA GRANDE
17914,PEDRA PRETA
17930,PEDRO AVELINO
17957,PEDRO VELHO
17973,PENDÊNCIAS
17990,PILÕES
18015,POÇO BRANCO
18031,PORTALEGRE
18058,SERRA CAIADA
18074,PUREZA
18090,RAFAEL FERNANDES
18112,RIACHO DA CRUZ
18139,RIACHO DE SANTANA
18155,RIACHUELO
18171,RODOLFO FERNANDES
18198,RUY BARBOSA
18210,SÃO FRANCISCO DO OESTE
18236,SANTA CRUZ
18252,SANTANA DO SERIDÓ
18279,SANTANA DO MATOS
18295,SANTO ANTÔNIO
18317,SÃO BENTO DO NORTE
18333,SÃO BENTO DO TRAIRÍ
18350,SÃO FERNANDO
18376,SÃO GONÇALO DO AMARANTE
18392,SÃO JOÃO DO SABUGI
18414,SÃO JOSÉ DE MIPIBU
18430,SÃO JOSÉ DO CAMPESTRE
18457,SÃO JOSÉ DO SERIDÓ
18473,SÃO MIGUEL
18490,SÃO PAULO DO POTENGI
18511,SÃO PEDRO
18538,SÃO RAFAEL
18554,SÃO TOMÉ
18570,SÃO VICENTE
18597,SENADOR ELÓI DE SOUZA
18619,SENADOR GEORGINO AVELINO
18635,SERRA DE SÃO BENTO
18651,SERRA NEGRA DO NORTE
18678,SERRINHA
18694,SEVERIANO MELO
18716,SÍTIO NOVO
18732,TABOLEIRO GRANDE
18759,TAIPU
18775,TANGARÁ
18791,TENENTE ANANIAS
18813,TIBAU DO SUL
18830,TIMBAÚBA DOS BATISTAS
18856,TOUROS
18872,UMARIZAL
18899,UPANEMA
18910,VÁRZEA
18937,RAFAEL GODEIRO
18953,VERA CRUZ
18970,VIÇOSA
18996,VILA FLOR
30031,BARAÚNA
