id,name
19,GUAJARÁ-MIRIM
35,PORTO VELHO
51,JI-PARANÁ
78,ARIQUEMES
94,CACOAL
116,PIMENTA BUENO
132,VILHENA
159,JARU
175,OURO PRETO DO OESTE
191,PRESIDENTE MÉDICI
213,COSTA MARQUES
230,COLORADO DO OESTE
256,ESPIGÃO DO OESTE
272,CEREJEIRAS
299,ROLIM DE MOURA
310,ALTA FLORESTA D'OESTE
337,ALVORADA DO OESTE
353,SANTA LUZIA D'OESTE
370,NOVA BRASILÂNDIA D'OESTE
396,MACHADINHO D'OESTE
418,SÃO MIGUEL DO GUAPORÉ
434,NOVA MAMORÉ
450,CABIXI
477,CANDEIAS DO JAMARI
493,ITAPUÃ DO OESTE
515,NOVO HORIZONTE DO OESTE
531,CASTANHEIRAS
558,VALE DO PARAÍSO
566,URUPÁ
574,MIRANTE DA SERRA
582,SERINGUEIRAS
590,THEOBROMA
604,MINISTRO ANDREAZZA
612,GOVERNADOR JORGE TEIXEIRA
620,CACAULÂNDIA
639,ALTO PARAÍSO
647,RIO CRESPO
655,CORUMBIARA
663,MONTE NEGRO
671,CAMPO NOVO DE RONDÔNIA
680,CUJUBIM
698,VALE DO ANARI
701,PARECIS
710,SÃO FELIPE D'OESTE
728,PRIMAVERA DE RONDÔNIA
736,ALTO ALEGRE DOS PARECIS
744,NOVA UNIÃO
752,TEIXEIRÓPOLIS
779,BURITIS
787,PIMENTEIRAS DO OESTE
795,SÃO FRANCISCO DO GUAPORÉ
809,CHUPINGUAIA
