id,name
84735,ÁUREA
84743,TRÊS ARROIOS
84751,NOVA ROMA DO SUL
84760,PROGRESSO
84778,PIRAPÓ
84786,JABOTICABA
84794,SÃO JORGE
84808,ALTO ALEGRE
84816,NOVA HARTZ
84824,DOIS LAJEADOS
84832,SÃO DOMINGOS DO SUL
84840,TUNAS
84859,SÃO JOÃO DA URTIGA
84867,GUABIJU
84875,QUINZE DE NOVEMBRO
84883,DOUTOR MAURÍCIO CARDOSO
84891,CAPELA DE SANTANA
84905,JAQUIRANA
84913,VANINI
84921,BOQUEIRÃO DO LEÃO
84930,FAGUNDES VARELA
84948,ÁGUA SANTA
84956,SILVEIRA MARTINS
84964,IBIRAPUITÃ
84972,IBARAMA
84980,PANTANO GRANDE
84999,IPÊ
85006,TRINDADE DO SUL
85014,AGUDO
85022,ERNESTINA
85030,AJURICABA
85049,DEZESSEIS DE NOVEMBRO
85057,ALECRIM
85065,BROCHIER
85073,ALEGRETE
85081,EREBANGO
85090,ALPESTRE
85103,ENTRE-IJUÍS
85111,ALVORADA
85120,NOVA ESPERANÇA DO SUL
85138,ANTA GORDA
85146,PAVERAMA
85154,ANTÔNIO PRADO
85162,TERRA DE AREIA
85170,ARATIBA
85189,HARMONIA
85197,ARROIO DO MEIO
85200,CAMPOS BORGES
85219,ARROIO DOS RATOS
85227,CERRO GRANDE
85235,ARROIO DO TIGRE
85243,IPIRANGA DO SUL
85251,ARROIO GRANDE
85260,LAGOÃO
85278,ARVOREZINHA
85286,ESTAÇÃO
85294,AUGUSTO PESTANA
85308,ARROIO DO SAL
85316,BAGÉ
85324,SÃO JOSÉ DO HORTÊNCIO
85332,BARÃO DE COTEGIPE
85340,PINHAL
85359,BARRACÃO
85367,TRÊS CACHOEIRAS
85375,BARRA DO RIBEIRO
85383,SÃO VENDELINO
85391,BARROS CASSAL
85405,PROTÁSIO ALVES
85413,BENTO GONÇALVES
85421,POUSO NOVO
85430,BOA VISTA DO BURICÁ
85448,EUGÊNIO DE CASTRO
85456,BOM JESUS
85464,CRISTAL
85472,BOM RETIRO DO SUL
85480,SÃO MIGUEL DAS MISSÕES
85499,BOSSOROCA
85502,GLORINHA
85510,BRAGA
85529,SEGREDO
85537,BUTIÁ
85545,ALEGRIA
85553,CAÇAPAVA DO SUL
85561,SALDANHA MARINHO
85570,CACEQUI
85588,SÃO JOSÉ DO HERVAL
85596,CACHOEIRA DO SUL
85600,VISTA ALEGRE
85618,CACHOEIRINHA
85626,IVORÁ
85634,CACIQUE DOBLE
85642,VILA MARIA
85650,CAIBATÉ
85669,TAQUARUÇU DO SUL
85677,CAIÇARA
85685,IMBÉ
85693,CAMAQUÃ
85707,SEDE NOVA
85715,CAMBARÁ DO SUL
85723,TUPANDI
85731,CAMPINA DAS MISSÕES
85740,RIOZINHO
85758,CAMPINAS DO SUL
85766,RELVADO
85774,CAMPO BOM
85782,IMIGRANTE
85790,CAMPO NOVO
85804,CIDREIRA
85812,CANDELÁRIA
85820,MONTAURI
85839,CÂNDIDO GODÓI
85847,VISTA GAÚCHA
85855,CANELA
85863,VISTA ALEGRE DO PRATA
85871,CANGUÇU
85880,CASEIROS
85898,CANOAS
85901,ITACURUBI
85910,CARAZINHO
85928,ENTRE RIOS DO SUL
85936,CARLOS BARBOSA
85944,CERRO GRANDE DO SUL
85952,CASCA
85960,CAMARGO
85979,CATUÍPE
85987,PARAÍSO DO SUL
85995,CAXIAS DO SUL
86010,CERRO LARGO
86029,FAXINALZINHO
86037,CHAPADA
86045,AMARAL FERRADOR
86053,CHIAPETTA
86061,VILA FLORES
86070,CIRÍACO
86088,CERRO BRANCO
86096,COLORADO
86100,ANDRÉ DA ROCHA
86118,CONDOR
86126,POÇO DAS ANTAS
86134,CONSTANTINA
86142,TRÊS PALMEIRAS
86150,CORONEL BICACO
86169,NOVA ALVORADA
86177,CRISSIUMAL
86185,MORRO REDONDO
86193,CRUZ ALTA
86207,SANTA MARIA DO HERVAL
86215,CRUZEIRO DO SUL
86223,BARÃO
86231,DAVID CANABARRO
86240,ELDORADO DO SUL
86258,DOIS IRMÃOS
86274,DOM FELICIANO
86282,ALTO FELIZ
86290,DOM PEDRITO
86304,AMETISTA DO SUL
86312,DONA FRANCISCA
86320,ARAMBARÉ
86339,ENCANTADO
86347,BARÃO DO TRIUNFO
86355,ENCRUZILHADA DO SUL
86363,BARRA DO GUARITA
86371,ERECHIM
86380,BARRA DO RIO AZUL
86398,HERVAL
86401,BARRA FUNDA
86410,ERVAL GRANDE
86428,BOA VISTA DAS MISSÕES
86436,ERVAL SECO
86444,BOM PROGRESSO
86452,ESMERALDA
86460,CAMPESTRE DA SERRA
86479,ESPUMOSO
86487,CANDIOTA
86495,ESTÂNCIA VELHA
86509,CAPITÃO
86517,ESTEIO
86525,CARLOS GOMES
86533,ESTRELA
86541,CENTENÁRIO
86550,FARROUPILHA
86568,CHARRUA
86576,FAXINAL DO SOTURNO
86584,COLINAS
86592,FELIZ
86606,COQUEIROS DO SUL
86614,FLORES DA CUNHA
86622,CORONEL BARROS
86630,FONTOURA XAVIER
86649,COXILHA
86657,FORMIGUEIRO
86665,DERRUBADAS
86673,FREDERICO WESTPHALEN
86681,DOIS IRMÃOS DAS MISSÕES
86690,GARIBALDI
86703,ENGENHO VELHO
86711,GAURAMA
86720,GARRUCHOS
86738,GENERAL CÂMARA
86746,GENTIL
86754,SÃO VICENTE DO SUL
86762,GRAMADO DOS LOUREIROS
86770,GETÚLIO VARGAS
86789,GRAMADO XAVIER
86797,GIRUÁ
86800,HULHA NEGRA
86819,GRAMADO
86827,INHACORÁ
86835,GRAVATAÍ
86843,ITAPUCA
86851,GUAÍBA
86860,LAJEADO DO BUGRE
86878,GUAPORÉ
86886,LAGOA DOS TRÊS CANTOS
86894,GUARANI DAS MISSÕES
86908,LINDOLFO COLLOR
86916,HORIZONTINA
86924,LINHA NOVA
86932,CHARQUEADAS
86940,MANOEL VIANA
86959,HUMAITÁ
86967,MAQUINÉ
86975,IBIAÇÁ
86983,MARATÁ
86991,IBIRAIARAS
87009,MARIANA PIMENTEL
87017,IBIRUBÁ
87025,MATO CASTELHANO
87033,IGREJINHA
87041,MATO LEITÃO
87050,IJUÍ
87068,MINAS DO LEÃO
87076,ILÓPOLIS
87084,MONTE BELO DO SUL
87092,INDEPENDÊNCIA
87106,MORMAÇO
87114,IRAÍ
87122,MORRINHOS DO SUL
87130,ITAQUI
87149,MORRO REUTER
87157,ITATIBA DO SUL
87165,MULITERNO
87173,IVOTI
87181,NICOLAU VERGUEIRO
87190,JACUTINGA
87203,NOVA BOA VISTA
87211,JAGUARÃO
87220,NOVA PÁDUA
87238,JAGUARI
87246,NOVA SANTA RITA
87254,JÚLIO DE CASTILHOS
87262,NOVO BARREIRO
87270,LAGOA VERMELHA
87289,NOVO MACHADO
87297,LAJEADO
87300,NOVO TIRADENTES
87319,LAVRAS DO SUL
87327,PARECI NOVO
87335,LIBERATO SALZANO
87343,PASSO DO SOBRADO
87351,MACHADINHO
87360,PICADA CAFÉ
87378,MARAU
87386,PINHAL GRANDE
87394,MARCELINO RAMOS
87408,PINHEIRINHO DO VALE
87416,MARIANO MORO
87424,PONTÃO
87432,MATA
87440,PONTE PRETA
87459,MAXIMILIANO DE ALMEIDA
87467,PORTO MAUÁ
87475,MIRAGUAÍ
87483,PORTO VERA CRUZ
87491,MONTENEGRO
87505,PRESIDENTE LUCENA
87513,MOSTARDAS
87521,QUEVEDOS
87530,MUÇUM
87548,RIO DOS ÍNDIOS
87556,NÃO-ME-TOQUE
87564,SAGRADA FAMÍLIA
87572,NONOAI
87580,SALVADOR DAS MISSÕES
87599,NOVA ARAÇÁ
87602,SANTA CLARA DO SUL
87610,NOVA BASSANO
87629,SANTA TEREZA
87637,NOVA BRÉSCIA
87645,SANTO ANTÔNIO DO PALMA
87653,NOVA PALMA
87661,SANTO ANTÔNIO DO PLANALTO
87670,NOVA PETRÓPOLIS
87688,SANTO EXPEDITO DO SUL
87696,NOVA PRATA
87700,SÃO JOÃO DO POLÊSINE
87718,NOVO HAMBURGO
87726,SÃO JOSÉ DOS AUSENTES
87734,OSÓRIO
87742,SÃO JOSÉ DO INHACORÁ
87750,PAIM FILHO
87769,SÃO JOSÉ DAS MISSÕES
87777,PALMEIRA DAS MISSÕES
87785,SÃO MARTINHO DA SERRA
87793,PALMITINHO
87807,SÃO PEDRO DA SERRA
87815,PANAMBI
87823,SÃO PEDRO DO BUTIÁ
87831,PARAÍ
87840,SÃO VALENTIM DO SUL
87858,PASSO FUNDO
87866,SÃO VALÉRIO DO SUL
87874,PEDRO OSÓRIO
87882,SENTINELA DO SUL
87890,PEJUÇARA
87904,SÉRIO
87912,PELOTAS
87920,SERTÃO SANTANA
87939,PINHEIRO MACHADO
87947,SINIMBU
87955,PIRATINI
87963,TIRADENTES DO SUL
87971,PLANALTO
87980,TRAVESSEIRO
87998,PORTÃO
88005,TRÊS FORQUILHAS
88013,PORTO ALEGRE
88021,TUPANCI DO SUL
88030,PORTO LUCENA
88048,UNIÃO DA SERRA
88056,PORTO XAVIER
88064,VALE DO SOL
88072,PUTINGA
88080,VALE REAL
88099,QUARAÍ
88102,VILA NOVA DO SUL
88110,REDENTORA
88129,VITÓRIA DAS MISSÕES
88137,RESTINGA SÊCA
88145,XANGRI-LÁ
88153,RIO GRANDE
88161,BOA VISTA DO SUL
88170,RIO PARDO
88188,DILERMANDO DE AGUIAR
88196,ROCA SALES
88200,CAPIVARI DO SUL
88218,RODEIO BONITO
88226,NOVA CANDELÁRIA
88234,ROLANTE
88242,FLORIANO PEIXOTO
88250,RONDA ALTA
88269,CHUVISCA
88277,RONDINHA
88285,ESPERANÇA DO SUL
88293,ROQUE GONZALES
88307,DOUTOR RICARDO
88315,ROSÁRIO DO SUL
88323,HERVEIRAS
88331,SALVADOR DO SUL
88340,CARAÁ
88358,SANANDUVA
88366,FAZENDA VILANOVA
88374,SANTA BÁRBARA DO SUL
88382,ITAARA
88390,SANTA CRUZ DO SUL
88404,ESTRELA VELHA
88412,SANTA MARIA
88420,BENJAMIN CONSTANT DO SUL
88439,SANTANA DA BOA VISTA
88447,MAÇAMBARÁ
88455,SANT'ANA DO LIVRAMENTO
88463,DOM PEDRO DE ALCÂNTARA
88471,SANTA ROSA
88480,UNISTALDA
88498,SANTA VITÓRIA DO PALMAR
88501,TURUÇU
88510,SANTIAGO
88528,CRISTAL DO SUL
88536,SANTO ÂNGELO
88544,MUITOS CAPÕES
88552,SANTO ANTÔNIO DA PATRULHA
88560,NOVA RAMADA
88579,SANTO ANTÔNIO DAS MISSÕES
88587,JARI
88595,SANTO AUGUSTO
88609,UBIRETAMA
88617,SANTO CRISTO
88625,BARRA DO QUARAÍ
88633,SÃO BORJA
88641,CERRITO
88650,SÃO FRANCISCO DE ASSIS
88668,VALE VERDE
88676,SÃO FRANCISCO DE PAULA
88684,NOVO CABRAIS
88692,SÃO GABRIEL
88706,SETE DE SETEMBRO
88714,SÃO JERÔNIMO
88722,TABAÍ
88730,SÃO JOSÉ DO NORTE
88749,VILA LÂNGARO
88757,SÃO JOSÉ DO OURO
88765,SENADOR SALGADO FILHO
88773,SÃO LEOPOLDO
88781,VESPASIANO CORRÊA
88790,SÃO LOURENÇO DO SUL
88803,MONTE ALEGRE DOS CAMPOS
88811,SÃO LUIZ GONZAGA
88820,MARQUES DE SOUZA
88838,SÃO MARCOS
