id,name
80004,MONTE CARLO
80012,ABELARDO LUZ
80020,IPORÃ DO OESTE
80039,AGROLÂNDIA
80047,LINDÓIA DO SUL
80055,AGRONÔMICA
80063,APIÚNA
80071,ÁGUA DOCE
80080,DOUTOR PEDRINHO
80098,ÁGUAS DE CHAPECÓ
80101,JOSÉ BOITEUX
80110,ÁGUAS MORNAS
80128,VITOR MEIRELES
80136,ALFREDO WAGNER
80144,UNIÃO DO OESTE
80152,ANCHIETA
80160,URUPEMA
80179,ANGELINA
80187,IRACEMINHA
80195,ANITA GARIBALDI
80209,TIMBÓ GRANDE
80217,ANITÁPOLIS
80225,ABDON BATISTA
80233,ANTÔNIO CARLOS
80241,SANTA ROSA DO SUL
80250,ARAQUARI
80268,CELSO RAMOS
80276,ARARANGUÁ
80284,SERRA ALTA
80292,ARMAZÉM
80306,COCAL DO SUL
80314,ARROIO TRINTA
80322,NOVA ITABERABA
80330,ASCURRA
80349,SANTA TEREZINHA
80357,ATALANTA
80365,MIRIM DOCE
80373,AURORA
80381,CERRO NEGRO
80390,BALNEÁRIO CAMBORIÚ
80403,PASSO DE TORRES
80411,BARRA VELHA
80420,BRAÇO DO TROMBUDO
80438,BENEDITO NOVO
80446,SUL BRASIL
80454,BIGUAÇU
80462,VARGEM
80470,BLUMENAU
80489,ARABUTÃ
80497,BOM RETIRO
80500,ÁGUAS FRIAS
80519,BOTUVERÁ
80527,GUATAMBÚ
80535,BRAÇO DO NORTE
80543,PLANALTO ALEGRE
80551,BRUSQUE
80560,RIQUEZA
80578,CAÇADOR
80586,LAJEADO GRANDE
80594,CAIBI
80608,RIO RUFINO
80616,CAMBORIÚ
80624,PASSOS MAIA
80632,CAMPO ALEGRE
80640,SÃO JOÃO DO OESTE
80659,CAMPO BELO DO SUL
80667,CALMON
80675,CAMPO ERÊ
80683,BALNEÁRIO BARRA DO SUL
80691,CAMPOS NOVOS
80705,PARAÍSO
80713,CANELINHA
80721,SANTA HELENA
80730,CANOINHAS
80748,BELMONTE
80756,CAPINZAL
80764,NOVO HORIZONTE
80772,CATANDUVAS
80780,SÃO MIGUEL DA BOA VISTA
80799,CAXAMBU DO SUL
80802,ARVOREDO
80810,CHAPECÓ
80829,IPUAÇU
80837,CONCÓRDIA
80845,OURO VERDE
80853,CORONEL FREITAS
80861,IRATI
80870,CORUPÁ
80888,FORMOSA DO SUL
80896,CRICIÚMA
80900,MACIEIRA
80918,CUNHA PORÃ
80926,PONTE ALTA DO NORTE
80934,CURITIBANOS
80942,SÃO CRISTÓVÃO DO SUL
80950,DESCANSO
80969,VARGEM BONITA
80977,DIONÍSIO CERQUEIRA
80985,BOMBINHAS
80993,DONA EMMA
81000,SANGÃO
81019,ERVAL VELHO
81027,CAPIVARI DE BAIXO
81035,FAXINAL DOS GUEDES
81043,CORDILHEIRA ALTA
81051,FLORIANÓPOLIS
81060,FORQUILHINHA
81078,FRAIBURGO
81086,MORRO GRANDE
81094,GALVÃO
81108,CORONEL MARTINS
81116,GOVERNADOR CELSO RAMOS
81124,SÃO JOÃO DO ITAPERIÚ
81132,GAROPABA
81140,JARDINÓPOLIS
81159,GARUVA
81167,ERMO
81175,GASPAR
81183,SÃO PEDRO DE ALCÂNTARA
81191,GRÃO-PARÁ
81205,SANTIAGO DO SUL
81213,GRAVATAL
81221,BELA VISTA DO TOLDO
81230,GUABIRUBA
81248,CAPÃO ALTO
81256,GUARACIABA
81264,PAINEL
81272,GUARAMIRIM
81280,BOCAINA DO SUL
81299,GUARUJÁ DO SUL
81302,ALTO BELA VISTA
81310,HERVAL D'OESTE
81329,FREI ROGÉRIO
81337,IBICARÉ
81345,TREVISO
81353,IBIRAMA
81361,IOMERÊ
81370,IÇARA
81388,BOM JESUS
81396,ILHOTA
81400,IBIAM
81418,IMARUÍ
81426,ENTRE RIOS
81434,IMBITUBA
81442,PAIAL
81450,IMBUIA
81469,BOM JESUS DO OESTE
81477,INDAIAL
81485,SÃO BERNARDINO
81493,IPIRA
81507,SANTA TEREZINHA DO PROGRESSO
81515,IPUMIRIM
81523,SALTINHO
81531,IRANI
81540,JUPIÁ
81558,IRINEÓPOLIS
81566,PALMEIRA
81574,ITÁ
81582,BANDEIRANTE
81590,ITAIÓPOLIS
81604,FLOR DO SERTÃO
81612,ITAJAÍ
81620,CUNHATAÍ
81639,ITAPEMA
81647,PRINCESA
81655,ITAPIRANGA
81663,ITAPOÁ
81671,ITUPORANGA
81680,TIGRINHOS
81698,JABORÁ
81701,CHAPADÃO DO LAGEADO
81710,JACINTO MACHADO
81728,BALNEÁRIO ARROIO DO SILVA
81736,JAGUARUNA
81744,BALNEÁRIO GAIVOTA
81752,JARAGUÁ DO SUL
81760,BARRA BONITA
81779,JOAÇABA
81787,BRUNÓPOLIS
81795,JOINVILLE
81809,LUZERNA
81817,LACERDÓPOLIS
81825,ZORTÉA
81833,LAGES
81850,LAGUNA
81876,LAURENTINO
81892,LAURO MÜLLER
81914,LEBON RÉGIS
81930,LEOBERTO LEAL
81957,LONTRAS
81973,LUIZ ALVES
81990,MAFRA
82015,MAJOR GERCINO
82031,MAJOR VIEIRA
82058,MARAVILHA
82066,MAREMA
82074,MASSARANDUBA
82090,MATOS COSTA
82112,MELEIRO
82139,MODELO
82155,MONDAÍ
82171,MONTE CASTELO
82198,MORRO DA FUMAÇA
82210,NAVEGANTES
82236,NOVA ERECHIM
82252,NOVA TRENTO
82279,NOVA VENEZA
82295,ORLEANS
82317,OURO
82333,PALHOÇA
82350,PALMA SOLA
82376,PALMITOS
82392,PAPANDUVA
82414,PAULO LOPES
82430,PEDRAS GRANDES
82457,PENHA
82473,PERITIBA
82490,PETROLÂNDIA
82511,BALNEÁRIO PIÇARRAS
82538,PINHALZINHO
82554,PINHEIRO PRETO
82570,PIRATUBA
82597,POMERODE
82619,PONTE ALTA
82635,PONTE SERRADA
82651,PORTO BELO
82678,PORTO UNIÃO
82694,POUSO REDONDO
82716,PRAIA GRANDE
82732,PRESIDENTE CASTELLO BRANCO
82759,PRESIDENTE GETÚLIO
82775,PRESIDENTE NEREU
82791,QUILOMBO
82813,RANCHO QUEIMADO
82830,RIO DAS ANTAS
82856,RIO DO CAMPO
82872,RIO DO OESTE
82899,RIO DOS CEDROS
82910,RIO DO SUL
82937,RIO FORTUNA
82953,RIO NEGRINHO
82970,RODEIO
82996,ROMELÂNDIA
83011,SALETE
83038,SALTO VELOSO
83054,SANTA CECÍLIA
