id,name
73008,ABREULÂNDIA
73016,PIRAQUÊ
73024,RIACHINHO
73032,DARCINÓPOLIS
73040,PALMEIRAS DO TOCANTINS
73059,MAURILÂNDIA DO TOCANTINS
73067,CACHOEIRINHA
73075,ANGICO
73083,PALMEIRANTE
73091,CAMPOS LINDOS
73105,SÃO FÉLIX DO TOCANTINS
73113,LAGOA DO TOCANTINS
73121,BOM JESUS DO TOCANTINS
73130,SANTA MARIA DO TOCANTINS
73148,NOVO ALEGRE
73156,SANDOLÂNDIA
73164,TAIPAS DO TOCANTINS
73172,NOVO JARDIM
73180,SÃO MIGUEL DO TOCANTINS
73199,TABOCÃO
73202,ITAPIRATINS
73210,CENTENÁRIO
73229,RECURSOLÂNDIA
73237,TUPIRATINS
73245,BRASILÂNDIA DO TOCANTINS
73253,JUARINA
73261,PAU D'ARCO
73270,MATEIROS
73288,SÃO BENTO DO TOCANTINS
73296,ESPERANTINA
73300,CARIRI DO TOCANTINS
73318,ARAGUANÃ
73326,CARMOLÂNDIA
73334,ARAGOMINAS
73342,MURICILÂNDIA
73350,SANTA FÉ DO ARAGUAIA
73369,JAÚ DO TOCANTINS
73377,SUCUPIRA
73385,LAGOA DA CONFUSÃO
73393,SÃO SALVADOR DO TOCANTINS
73407,LAJEADO
73415,RIO DOS BOIS
73423,CARRASCO BONITO
73431,RIO DA CONCEIÇÃO
73440,PALMAS
73458,TUPIRAMA
73466,OLIVEIRA DE FÁTIMA
73474,CHAPADA DE AREIA
73482,CHAPADA DA NATIVIDADE
73504,TALISMÃ
73512,AGUIARNÓPOLIS
73520,LUZINÓPOLIS
73539,SANTA TEREZINHA DO TOCANTINS
73547,SANTA RITA DO TOCANTINS
73555,CRIXÁS DO TOCANTINS
73563,MONTE SANTO DO TOCANTINS
73571,PUGMIL
73580,BANDEIRANTES DO TOCANTINS
73598,IPUEIRAS
73601,LAVANDEIRA
73610,BARRA DO OURO
92002,BERNARDO SAYÃO
92045,BURITI DO TOCANTINS
92070,ALMAS
92088,CASEARA
92134,ALVORADA
92142,COMBINADO
92185,DIVINÓPOLIS DO TOCANTINS
92193,ANANÁS
92240,GOIANORTE
92304,MARIANÓPOLIS DO TOCANTINS
92371,ARAGUACEMA
92398,ARAGUAÇU
92401,NOVA ROSALÂNDIA
92410,ARAGUAÍNA
92436,ARAGUATINS
92452,ARAPOEMA
92479,ARRAIAS
92487,PEQUIZEIRO
92509,PORTO ALEGRE DO TOCANTINS
92525,PRAIA NORTE
92533,AURORA DO TOCANTINS
92541,SAMPAIO
92576,AXIXÁ DO TOCANTINS
92584,SANTA ROSA DO TOCANTINS
92592,BABAÇULÂNDIA
92606,SANTA TEREZA DO TOCANTINS
92681,SÃO VALÉRIO
92738,BREJINHO DE NAZARÉ
93114,COLINAS DO TOCANTINS
93130,CONCEIÇÃO DO TOCANTINS
93211,COUTO MAGALHÃES
93238,CRISTALÂNDIA
93416,DIANÓPOLIS
93459,DOIS IRMÃOS DO TOCANTINS
93475,DUERÉ
93556,FILADÉLFIA
93653,FORMOSO DO ARAGUAIA
93858,GURUPI
94056,ITACAJÁ
94099,ITAGUATINS
94170,ITAPORÃ DO TOCANTINS
94617,MIRACEMA DO TOCANTINS
94633,MIRANORTE
94692,MONTE DO CARMO
94811,NATIVIDADE
94838,NAZARÉ
94994,NOVO ACORDO
95192,PARAÍSO DO TOCANTINS
95214,PARANÃ
95257,PEDRO AFONSO
95273,PEIXE
95290,COLMÉIA
95338,GOIATINS
95370,PINDORAMA DO TOCANTINS
95478,PIUM
95516,PONTE ALTA DO BOM JESUS
95532,PONTE ALTA DO TOCANTINS
95591,PORTO NACIONAL
95699,LIZARDA
96032,SÃO SEBASTIÃO DO TOCANTINS
96130,SÍTIO NOVO DO TOCANTINS
96156,TAGUATINGA
96199,TOCANTÍNIA
96210,TOCANTINÓPOLIS
96270,GUARAÍ
96296,PRESIDENTE KENNEDY
96431,XAMBIOÁ
96490,PALMEIRÓPOLIS
96598,SILVANÓPOLIS
96636,NOVA OLINDA
96652,WANDERLÂNDIA
96679,FIGUEIRÓPOLIS
96792,RIO SONO
96830,FÁTIMA
96857,AUGUSTINÓPOLIS
96954,ALIANÇA DO TOCANTINS
96970,APARECIDA DO RIO NEGRO
96997,BARROLÂNDIA
